1.4.7 Lesser Antilles / Creole Caribbean	2.2.1.3.24.23	1.4.7 Lesser Antilles / Creole Caribbean
Lard	2.5.5.2.10.13	Lard
Lard	2.5.5.3.10.6	Lard
Lard	2.5.6.1.10.13	Lard
Lard	2.5.6.2.10.11	Lard
Lard	2.5.6.3.10.10	Lard
Lard	2.9.8.2.10.5	Lard
Lard	2.9.8.3.10.2	Lard
Lard	3.6.1.2.10.6	Lard
Lard	3.6.1.4.10.6	Lard
Lard	3.6.3.1.10.8	Lard
Lard	3.6.3.2.10.8	Lard
Lard	3.6.3.3.10.8	Lard
Lard	3.6.3.4.10.9	Lard
Lard	3.6.4.1.10.7	Lard
Lard	3.6.4.3.10.6	Lard
Lard	3.6.4.4.10.6	Lard
Lard	3.6.5.1.10.7	Lard
Lard	3.6.5.2.10.7	Lard
lard	1.1.10.1.10.6	lard
lard	1.1.10.2.10.7	lard
lard	1.1.10.3.10.3	lard
lard	1.1.10.4.10.5	lard
lard	1.1.10.5.10.4	lard
lard	1.1.11.1.10.6	lard
lard	1.1.11.2.10.6	lard
lard	1.1.11.3.10.6	lard
lard	1.1.11.4.10.3	lard
lard	1.1.11.5.10.6	lard
lard	1.1.12.1.10.9	lard
lard	1.1.12.2.10.9	lard
lard	1.1.12.3.10.10	lard
lard	1.1.12.4.10.9	lard
lard	1.1.13.1.10.4	lard
lard	1.1.13.2.10.5	lard
lard	1.1.13.3.10.3	lard
lard	1.1.14.1.10.3	lard
lard	1.1.14.2.10.4	lard
lard	1.1.14.3.10.2	lard
lard	1.1.14.4.10.2	lard
lard	1.1.14.5.10.2	lard
lard	1.1.5.5.10.2	lard
lard	1.1.6.1.10.3	lard
lard	1.1.6.2.10.3	lard
lard	1.1.6.3.10.3	lard
lard	1.1.6.4.10.3	lard
lard	1.1.6.5.10.2	lard
lard	1.1.6.6.10.3	lard
lard	1.1.7.1.10.3	lard
lard	1.1.7.2.10.2	lard
lard	1.1.7.3.10.2	lard
lard	1.1.7.4.10.5	lard
lard	1.1.7.5.10.2	lard
lard	1.1.8.1.10.1	lard
lard	1.1.8.2.10.2	lard
lard	1.1.8.3.10.2	lard
lard	1.1.8.4.10.2	lard
lard	1.1.8.5.10.2	lard
lard	1.1.8.6.10.2	lard
lard	1.1.9.1.10.1	lard
lard	1.1.9.2.10.1	lard
lard	1.1.9.3.10.1	lard
lard	1.1.9.4.10.1	lard
lard	1.1.9.5.10.3	lard
lard	1.3.2.1.10.9	lard
lard	1.3.2.2.10.8	lard
lard	1.3.2.3.10.10	lard
lard	1.3.2.4.10.7	lard
lard	2.1.1.1.10.2	lard
lard	2.1.1.2.10.2	lard
lard	2.1.1.3.10.3	lard
lard	2.1.1.4.10.3	lard
lard	2.1.1.5.10.3	lard
lard	2.1.2.1.10.3	lard
lard	2.1.2.2.10.3	lard
lard	2.1.2.3.10.2	lard
lard	2.3.7.1.10.3	lard
lard	2.3.7.2.10.3	lard
lard	2.3.7.3.10.3	lard
lard	2.3.8.1.10.4	lard
lard	2.3.8.3.10.3	lard
lard	2.3.9.2.10.3	lard
lard	2.5.4.2.6.2	lard
lard	2.6.1.1.10.5	lard
lard	2.6.1.2.10.5	lard
lard	2.6.1.3.10.4	lard
lard	2.6.2.1.10.8	lard
lard	2.6.2.3.10.3	lard
lard	2.6.2.4.10.3	lard
lard	2.6.3.1.10.3	lard
lard	2.6.3.2.10.1	lard
lard	2.6.3.3.10.1	lard
lard	2.6.4.2.10.5	lard
lard	2.6.4.3.10.3	lard
lard	2.6.5.1.10.1	lard
lard	2.6.5.2.10.2	lard
lard	2.6.5.3.10.2	lard
lard	2.6.6.1.10.4	lard
lard	2.7.1.5.10.4	lard
lard	2.8.1.1.10.4	lard
lard	2.8.1.2.10.1	lard
lard	2.8.1.4.10.1	lard
lard	2.8.1.5.10.1	lard
lard	2.8.2.1.10.1	lard
lard	2.8.2.2.10.1	lard
lard	2.8.2.4.10.1	lard
lard	2.8.2.5.10.1	lard
lard	2.8.2.5.6.4	lard
lard	2.8.3.1.10.1	lard
lard	2.8.3.2.10.1	lard
lard	2.8.3.3.10.1	lard
lard	2.8.4.1.10.1	lard
lard	2.8.4.2.10.1	lard
lard	2.8.4.3.10.1	lard
lard	2.8.4.5.10.1	lard
lard	2.8.5.1.10.2	lard
lard	2.8.5.2.10.2	lard
lard	2.8.5.3.10.2	lard
lard	2.8.5.4.10.4	lard
lard	2.8.5.5.10.2	lard
lard	2.8.6.1.10.2	lard
lard	2.8.6.2.10.2	lard
lard	2.8.6.3.10.2	lard
lard	2.8.6.4.10.2	lard
lard	2.8.7.1.10.3	lard
lard	2.8.7.2.10.5	lard
lard	2.8.7.3.10.3	lard
lard	2.8.7.4.10.4	lard
lard	3.7.1.1.10.6	lard
lard	3.7.1.2.10.5	lard
lard	3.7.1.4.10.7	lard
lard	3.7.6.2.10.6	lard
lard	6.1.1.1.10.3	lard
lard	6.1.1.2.10.4	lard
lard	6.1.1.3.10.5	lard
lard	6.1.2.1.10.4	lard
lard	6.1.2.2.10.5	lard
lard	6.1.2.3.10.6	lard
lard	6.1.3.1.10.4	lard
lard	6.1.3.2.10.6	lard
lard	6.1.3.3.10.5	lard
lard	6.1.3.4.10.5	lard
lard	6.1.4.1.10.5	lard
lard	6.1.4.2.10.6	lard
lard	6.1.4.4.10.6	lard
lard	6.3.1.1.10.2	lard
lard	6.3.1.2.10.2	lard
lard	6.3.1.3.10.2	lard
lard	6.3.1.4.10.2	lard
lard	6.3.2.1.10.3	lard
lard	6.3.2.3.10.4	lard
lard	6.3.2.4.10.2	lard
lard	6.3.3.1.10.1	lard
lard	6.3.3.2.10.1	lard
lard	6.3.3.3.10.3	lard
lard	6.3.3.4.10.2	lard
lard	6.3.4.1.10.3	lard
lard	6.3.4.2.10.3	lard
lard	6.3.4.3.10.7	lard
lard	6.3.5.1.10.5	lard
lard	6.3.5.2.10.5	lard
lard	6.3.5.3.10.4	lard
lard	6.3.5.4.10.1	lard
lard	6.6.1.2.10.3	lard
lard	6.6.1.3.10.3	lard
lard	6.6.2.1.10.4	lard
lard	6.6.2.2.10.5	lard
lard	6.6.2.4.10.4	lard
lard	6.6.2.5.10.4	lard
lard	6.6.3.1.10.4	lard
lard	6.6.3.2.10.4	lard
lard	6.7.3.2.10.4	lard
lard	6.7.4.1.10.2	lard
lard	6.7.5.2.10.4	lard
lard	6.7.6.3.10.1	lard
lard	6.7.6.4.10.3	lard
lard	6.7.7.1.10.1	lard
lard	6.7.7.2.10.1	lard
lard	6.7.7.3.10.1	lard
lard	7.1.3.1.10.5	lard
lard	7.1.3.3.10.1	lard
lard	7.1.3.4.10.4	lard
lard	7.1.5.1.10.3	lard
lard	7.1.5.2.10.4	lard
lard	7.1.5.3.10.2	lard
lard	7.1.5.4.10.3	lard
lard	7.1.6.1.10.4	lard
lard	7.1.6.2.10.4	lard
lard	7.1.6.3.10.3	lard
lard	7.1.6.4.10.3	lard
lard	7.1.7.1.10.1	lard
lard	7.1.7.2.10.1	lard
lard	7.1.8.1.10.1	lard
lard	7.1.8.2.10.1	lard
lard	7.1.8.3.10.2	lard
lard	7.1.8.4.10.1	lard
lard	7.1.9.1.10.3	lard
lard	7.1.9.2.10.1	lard
lard	7.1.9.3.10.2	lard
lard	7.2.1.1.10.5	lard
lard	7.2.2.1.10.1	lard
lard	7.2.2.2.10.5	lard
lard	7.2.4.1.10.6	lard
lard	7.2.4.2.10.5	lard
lard	8.2.3.2.10.5	lard
lard	9.2.1.1.10.2	lard
lard	9.2.1.2.10.3	lard
lard	9.2.1.3.10.3	lard
lard	9.2.2.2.10.10	lard
lard oil	7.2.2.1.10.2	lard oil
Lard sec du Valais IGP	2.5.4.2.14.25	Dry bacon from Valais PGI
Lard sec du Valais IGP	2.5.4.2.6.47	Dry bacon from Valais PGI
lard sec du Valais IGP	2.5.4.2.14.2	dry bacon from Valais PGI
lard sec du Valais IGP	2.5.4.2.6.7	dry bacon from Valais PGI
lard spread	2.6.1.3.13.7	lard spread
lard spread	2.6.3.2.13.5	lard spread
lard with pork cracklings	2.8.1.5.10.3	lard with pork cracklings
lardo	2.4.1.1.10.6	lardo
lardo	2.4.1.2.10.6	lardo
lardo	2.4.1.3.10.7	lardo
lardo	2.4.2.1.10.7	lardo
lardo	2.4.2.2.10.4	lardo
lardo	2.4.2.3.10.5	lardo
lardo	2.4.2.4.10.7	lardo
lardo	2.4.3.1.10.8	lardo
lardo	2.4.3.2.10.8	lardo
lardo	2.4.3.3.10.11	lardo
lardo	2.4.3.4.10.3	lardo
lardo	2.4.4.1.10.4	lardo
lardo	2.4.4.2.10.11	lardo
lardo	2.4.5.1.10.12	lardo
lardo	2.4.5.3.10.8	lardo
lardo	2.4.5.4.10.16	lardo
lardo	2.4.6.1.10.7	lardo
lardo	2.4.6.2.10.10	lardo
lardo	2.4.6.3.10.9	lardo
lardo	2.4.7.1.10.5	lardo
lardo	2.4.7.2.10.7	lardo
lardo	2.4.7.3.10.7	lardo
lardo	2.4.7.4.10.7	lardo
lardo	2.5.4.3.14.7	lardo
lardo	2.5.4.3.6.10	lardo
lardo affumicato	2.4.2.2.14.10	lardo affumicato
lardo affumicato	2.4.2.2.6.9	lardo affumicato
lardo del Montefeltro	2.4.3.3.14.10	Montefeltro lard
lardo del Montefeltro	2.4.3.3.6.28	Montefeltro lard
Lardo di Colonnata IGP	2.4.3.1.14.4	Lardo di Colonnata PGI
Lardo di Colonnata IGP	2.4.3.1.18.9	Lardo di Colonnata PGI
Lardo di Colonnata IGP	2.4.3.1.6.8	Lardo di Colonnata PGI
lardo pestato	2.4.3.1.13.8	lardo pestato
lardo pestato	2.4.3.2.13.8	lardo pestato
lardo pestato	2.4.4.2.13.8	lardo pestato
Lardons	2.3.3.2.14.4	Lardons
Lardons	2.3.3.2.6.5	Lardons
Lardons	2.3.5.1.6.9	Lardons
Lardons fumés	2.3.5.1.14.3	Smoked bacon
lareira	2.2.2.2.24.6	lareira
large beans of Sisani	2.7.1.5.4.9	large beans of Sisani
Large cardamom	5.5.1.3.8.6	Large cardamom
Large cardamom	5.5.5.4.19.6	Large cardamom
Large cardamom	5.5.5.4.8.7	Large cardamom
Large cardamom	5.5.5.5.8.7	Large cardamom
Large cardamom	5.7.1.2.8.1	Large cardamom
Large cardamom	5.7.1.3.8.9	Large cardamom
Large cardamom	5.7.2.4.8.8	Large cardamom
Large cardamom	5.7.3.2.18.10	Large cardamom
Large cardamom	5.7.3.2.8.1	Large cardamom
Large cardamom	5.7.3.3.8.7	Large cardamom
Large chili	7.5.2.3.2.5	Large chili
Large chili	7.5.2.3.8.2	Large chili
Large chili	7.5.2.3.9.6	Large chili
large clams	6.7.5.3.6.7	large clams
Large green chillies	5.6.5.1.2.3	Large green chillies
Large green chillies	5.6.5.1.9.6	Large green chillies
Large hotplate	4.5.6.1.23.4	Large hotplate
large prawns	6.1.2.1.6.10	large prawns
Large skillets	4.5.5.3.23.4	Large skillets
large tagine plate	3.1.1.3.23.2	large tagine plate
large termite	3.7.5.4.6.22	large termite
large tomato	9.4.1.1.2.25	large tomato
large yellow croaker	6.2.1.2.6.1	large yellow croaker
large yellow croaker	6.2.2.1.6.10	large yellow croaker
large yellow croaker	6.3.3.1.6.19	large yellow croaker
large yellow croaker	6.3.3.2.6.18	large yellow croaker
large yellow croaker	6.3.3.4.6.20	large yellow croaker
large-leaf celery	6.1.3.1.2.17	large-leaf celery
large-leaf celery	6.1.3.1.7.6	large-leaf celery
largehead hairtail	6.7.6.2.6.20	largehead hairtail
Largemouth bass	1.1.2.5.6.17	Largemouth bass
Largemouth bass	1.1.3.4.6.8	Largemouth bass
Largemouth bass	1.1.3.5.6.6	Largemouth bass
Largemouth bass	1.1.4.5.6.12	Largemouth bass
largemouth bass	1.1.11.4.6.15	largemouth bass
largemouth bass	1.1.11.5.6.14	largemouth bass
largemouth bass	1.1.8.2.6.14	largemouth bass
largemouth bass	1.1.8.3.6.12	largemouth bass
largemouth bass	1.1.8.4.6.20	largemouth bass
largemouth bass	1.1.8.6.6.16	largemouth bass
largemouth bass	1.1.9.2.6.16	largemouth bass
largemouth bass	1.1.9.4.6.24	largemouth bass
largemouth bass	6.3.1.2.6.13	largemouth bass
Largemouth nannygai	9.1.4.2.6.12	Largemouth nannygai
largemouth yellowfish	3.7.1.7.6.13	largemouth yellowfish
largemouth yellowfish	3.7.2.4.6.14	largemouth yellowfish
largescale yellowfish	3.7.1.6.6.14	largescale yellowfish
largesour plum pulp	3.7.3.1.12.5	largesour plum pulp
Laricio pine embers	2.3.6.4.24.3	Laricio pine embers
Laro	7.4.1.5.13.7	Laro
Laro	7.4.1.5.18.7	Laro
larré pulp	3.4.2.1.18.6	funny pulp
larré pulp	3.4.2.1.19.8	funny pulp
larré pulp	3.4.2.1.3.16	funny pulp
larré yé	3.4.2.1.20.4	on them
Larves de guêpes	3.8.3.1.18.4	Wasp larvae
lasagne ricce	2.4.6.1.1.17	lasagne ricce
lasagne ricce	2.4.6.2.1.30	lasagne ricce
lasagne ricce	2.4.6.3.1.23	lasagne ricce
lasagne sheets	2.7.1.2.1.10	lasagne sheets
lasagne verdi	2.4.3.4.1.26	lasagne verdi
Lasan ni chutney	5.4.1.4.13.2	Lasan ni chutney
Lasan ni sev	5.4.1.4.17.3	Lasan ni sev
Lasary	3.8.1.1.13.2	Lasary
Lasary	3.8.1.1.17.2	Lasary
Lasary	3.8.1.2.13.2	Lasary
Lasary	3.8.1.2.17.2	Lasary
Lasary	3.8.1.3.13.2	Lasary
Lasary	3.8.1.3.17.2	Lasary
Lasary	3.8.1.4.13.2	Lasary
Lasbela bananas	5.1.3.1.18.3	Lasbela bananas
Lasbela mangoes	5.1.3.1.18.4	Lasbela mangoes
lascas de madeira para defumação	1.7.6.4.24.4	wood chips for smoking
lascas de tucumã	1.7.1.1.17.4	tucumã chips
lasdusu	1.3.2.1.13.11	lasdusu
Lasé	2.4.1.3.11.15	Lasé
Lasina	2.6.2.2.20.4	Lasina
Lasithi potatoes	2.7.2.5.1.19	Lasithi potatoes
Lasithi potatoes	2.7.2.5.18.15	Lasithi potatoes
Lasithi potatoes	2.7.2.5.2.10	Lasithi potatoes
Laški rizling	2.6.1.3.20.2	Laška Riesling
Lasoda	5.3.1.2.3.18	Lasoda
Lasoda	5.4.5.3.3.11	Lasoda
Lasoda fruit	5.3.4.2.3.13	Lasoda fruit
Lasora	5.3.4.1.18.6	Lasora
Lasora	5.3.4.1.2.6	Lasora
Lasora	5.3.4.3.2.22	Lasora
Lasora	5.3.5.3.3.13	Lasora
Lasora fruit	5.3.4.1.3.15	Lasora fruit
Lasora pickle	5.3.4.1.14.9	Lasora pickle
Lasos piman	3.8.4.1.13.1	Lasos piman
Lasos piman	3.8.4.2.13.1	Lasos piman
Lasos piman	3.8.4.2.17.7	Lasos piman
Lassi	5.3.1.2.20.5	Lassi
Lassi	5.3.2.1.11.5	Lassi
Lassi	5.3.2.2.11.4	Lassi
Lassi	5.3.2.3.11.7	Lassi
Lassi	5.3.2.3.16.5	Lassi
Lassi	5.3.3.1.11.7	Lassi
Lassi	5.3.3.2.11.6	Lassi
Lassi	5.3.3.2.16.5	Lassi
Lassi	5.3.3.3.11.7	Lassi
Lassi	5.3.3.4.11.7	Lassi
Lassi	5.4.1.2.20.3	Lassi
Lassi	5.4.1.3.20.3	Lassi
Lassi	5.4.2.4.20.3	Lassi
Lassi	5.4.4.1.20.4	Lassi
Lassi	5.4.4.3.20.6	Lassi
Lassi	5.4.5.1.20.4	Lassi
Lassi	5.5.3.3.20.8	Lassi
Lassi	5.5.5.2.20.3	Lassi
Lassi	5.7.1.1.20.1	Lassi
lassi	4.6.5.3.20.5	lassi
lassi	5.1.3.1.20.5	lassi
lassi	5.2.1.1.11.4	lassi
lassi	5.2.1.2.11.3	lassi
lassi	5.2.1.2.20.1	lassi
lassi	5.2.1.3.11.5	lassi
lassi	5.2.1.3.20.1	lassi
lassi	5.2.1.4.11.4	lassi
lassi	5.2.2.1.11.4	lassi
lassi	5.2.2.2.11.4	lassi
lassi	5.2.2.3.11.4	lassi
lassi	5.2.2.4.11.6	lassi
lassi	5.2.2.4.16.6	lassi
lassi	5.2.2.4.20.1	lassi
lassi	5.2.3.1.11.4	lassi
lassi	5.2.3.1.20.1	lassi
lassi	5.2.3.2.11.4	lassi
lassi	5.2.3.2.20.1	lassi
lassi	5.2.3.3.11.5	lassi
lassi	5.2.3.3.20.7	lassi
lassi	5.2.3.4.20.4	lassi
lassi	5.2.4.1.11.6	lassi
lassi	5.2.4.1.20.1	lassi
lassi	5.2.4.2.11.4	lassi
lassi	5.2.4.2.20.1	lassi
lassi	5.2.4.3.11.6	lassi
lassi	5.2.4.3.20.1	lassi
lassi	5.2.4.4.11.5	lassi
lassi	5.2.4.4.20.1	lassi
lasunun	4.6.1.1.1.13	lasunun
lasunun	4.6.1.1.23.5	lasunun
lat	7.3.6.3.18.3	lat
Lata	5.5.1.2.6.8	Lata
lata de conserva	2.2.2.3.23.3	can
lata de conserva	2.2.2.4.23.5	can
lata de conserva	2.2.3.1.23.5	can
lata de conserva	2.2.3.2.23.3	can
lata de conserva	2.2.3.4.23.4	can
latas herméticas	2.2.2.1.23.5	airtight cans
latchiri	3.4.2.2.18.1	latchiri
latchiri maize granules	3.4.2.2.1.7	latchiri maize granules
late choy sum	6.3.1.1.2.1	late choy sum
late indica rice	6.2.3.3.1.3	late indica rice
late millet	3.4.1.4.1.8	late millet
late tomatoes	2.6.7.3.2.1	late tomatoes
late tomatoes	2.6.7.3.9.4	late tomatoes
Late Valencia orange	6.5.2.4.3.7	Late Valencia orange
late yam	9.5.2.3.1.5	late yam
late yam	9.5.2.4.1.7	late yam
Lates	3.4.7.2.6.6	Lates
Latgale herbal teas	2.9.7.4.18.5	Latgale herbal teas
Latgalian beer	2.9.7.4.20.5	Latgalian beer
lathiri	2.7.2.3.4.2	lathiri
Lathyrus clymenum	2.7.2.1.4.2	Lathyrus clymenum
latka clay casserole	2.8.7.5.23.6	latka clay casserole
Lato	7.4.3.3.18.4	Lato
latok	7.2.4.1.18.2	latok
latok	7.2.4.1.19.2	latok
latok	7.2.4.1.2.22	latok
Latowicz garlic	2.8.1.2.2.5	Latowicz garlic
latte	2.4.1.1.16.4	latte
latte	2.4.2.3.16.4	latte
latte	2.4.4.1.16.5	latte
latte	2.5.4.3.16.5	latte
latte caprino	2.4.1.1.11.3	latte caprino
latte caprino	2.4.1.2.11.4	latte caprino
latte caprino	2.4.1.2.16.4	latte caprino
latte caprino	2.4.1.3.11.3	latte caprino
latte caprino	2.4.2.2.11.10	latte caprino
latte caprino	2.4.2.2.16.4	latte caprino
latte caprino	2.4.2.3.11.2	latte caprino
latte caprino	2.4.3.3.11.15	latte caprino
latte caprino	2.4.4.2.11.12	latte caprino
latte caprino	2.4.5.3.11.10	latte caprino
latte caprino	2.4.5.4.11.28	latte caprino
latte caprino	2.4.5.4.16.5	latte caprino
latte caprino	2.4.6.3.11.13	latte caprino
latte caprino	2.4.7.1.11.14	latte caprino
latte caprino	2.4.7.2.11.15	latte caprino
latte caprino	2.4.7.3.11.15	latte caprino
latte caprino	2.4.7.3.16.6	latte caprino
latte caprino	2.4.7.4.11.14	latte caprino
latte della Valle d'Aosta	2.4.1.3.11.1	milk from the Aosta Valley
latte delle Valli Genovesi	2.4.1.2.11.2	milk from the Genoese Valleys
latte delle Valli Genovesi	2.4.1.2.16.3	milk from the Genoese Valleys
latte di bufala	2.4.4.3.11.6	buffalo milk
latte di bufala	2.4.4.3.16.4	buffalo milk
latte di bufala	2.4.5.1.16.3	buffalo milk
latte intero	2.4.1.3.16.2	latte intero
latte intero	2.5.4.3.11.1	latte intero
latte ovino	2.4.1.1.11.2	latte ovino
latte ovino	2.4.1.2.11.5	latte ovino
latte ovino	2.4.2.4.11.6	latte ovino
latte ovino	2.4.3.1.11.11	latte ovino
latte ovino	2.4.3.1.16.5	latte ovino
latte ovino	2.4.3.2.11.11	latte ovino
latte ovino	2.4.3.2.16.5	latte ovino
latte ovino	2.4.3.3.11.13	latte ovino
latte ovino	2.4.3.3.16.5	latte ovino
latte ovino	2.4.4.1.11.12	latte ovino
latte ovino	2.4.4.2.11.10	latte ovino
latte ovino	2.4.4.2.16.4	latte ovino
latte ovino	2.4.5.3.11.8	latte ovino
latte ovino	2.4.5.3.16.3	latte ovino
latte ovino	2.4.5.4.11.27	latte ovino
latte ovino	2.4.5.4.16.4	latte ovino
latte ovino	2.4.6.1.11.10	latte ovino
latte ovino	2.4.6.1.16.5	latte ovino
latte ovino	2.4.6.2.11.17	latte ovino
latte ovino	2.4.6.2.16.6	latte ovino
latte ovino	2.4.6.3.11.11	latte ovino
latte ovino	2.4.6.3.16.3	latte ovino
latte ovino	2.4.7.1.11.12	latte ovino
latte ovino	2.4.7.1.16.5	latte ovino
latte ovino	2.4.7.2.11.13	latte ovino
latte ovino	2.4.7.2.16.5	latte ovino
latte ovino	2.4.7.3.11.13	latte ovino
latte ovino	2.4.7.3.16.4	latte ovino
latte ovino	2.4.7.4.11.12	latte ovino
latte ovino	2.4.7.4.16.5	latte ovino
latte vaccino	2.4.1.1.11.1	latte vaccino
latte vaccino	2.4.1.2.11.3	latte vaccino
latte vaccino	2.4.1.3.11.2	latte vaccino
latte vaccino	2.4.1.4.11.12	latte vaccino
latte vaccino	2.4.1.4.16.5	latte vaccino
latte vaccino	2.4.2.1.11.13	latte vaccino
latte vaccino	2.4.2.1.16.5	latte vaccino
latte vaccino	2.4.2.2.11.9	latte vaccino
latte vaccino	2.4.2.2.16.3	latte vaccino
latte vaccino	2.4.2.3.11.1	latte vaccino
latte vaccino	2.4.2.4.11.5	latte vaccino
latte vaccino	2.4.2.4.16.5	latte vaccino
latte vaccino	2.4.3.1.11.12	latte vaccino
latte vaccino	2.4.3.1.16.6	latte vaccino
latte vaccino	2.4.3.2.11.12	latte vaccino
latte vaccino	2.4.3.2.16.6	latte vaccino
latte vaccino	2.4.3.3.11.14	latte vaccino
latte vaccino	2.4.3.3.16.6	latte vaccino
latte vaccino	2.4.3.4.11.5	latte vaccino
latte vaccino	2.4.3.4.16.5	latte vaccino
latte vaccino	2.4.4.1.11.11	latte vaccino
latte vaccino	2.4.4.2.11.11	latte vaccino
latte vaccino	2.4.4.2.16.5	latte vaccino
latte vaccino	2.4.4.3.11.7	latte vaccino
latte vaccino	2.4.4.3.16.5	latte vaccino
latte vaccino	2.4.5.1.16.4	latte vaccino
latte vaccino	2.4.5.3.11.9	latte vaccino
latte vaccino	2.4.5.3.16.4	latte vaccino
latte vaccino	2.4.5.4.11.26	latte vaccino
latte vaccino	2.4.5.4.16.3	latte vaccino
latte vaccino	2.4.6.1.11.11	latte vaccino
latte vaccino	2.4.6.1.16.6	latte vaccino
latte vaccino	2.4.6.2.11.16	latte vaccino
latte vaccino	2.4.6.2.16.5	latte vaccino
latte vaccino	2.4.6.3.11.12	latte vaccino
latte vaccino	2.4.6.3.16.4	latte vaccino
latte vaccino	2.4.7.1.11.13	latte vaccino
latte vaccino	2.4.7.1.16.6	latte vaccino
latte vaccino	2.4.7.2.11.14	latte vaccino
latte vaccino	2.4.7.2.16.6	latte vaccino
latte vaccino	2.4.7.3.11.14	latte vaccino
latte vaccino	2.4.7.3.16.5	latte vaccino
latte vaccino	2.4.7.4.11.13	latte vaccino
latte vaccino	2.4.7.4.16.6	latte vaccino
latterino	2.4.3.2.6.18	latterino
lattuga	2.4.1.2.2.13	lattuga
lattuga	2.4.2.4.2.14	lattuga
lattuga	2.4.3.2.2.15	lattuga
lattuga	2.4.3.3.2.13	lattuga
lattuga	2.4.3.4.2.19	lattuga
lattuga	2.4.4.3.2.12	lattuga
lattuga	2.5.4.3.2.11	lattuga
lattuga romana	2.4.4.1.2.7	lattuga romana
lattuga romana	2.4.4.2.2.18	lattuga romana
lattughino	2.4.2.3.2.16	lattughino
Latvian garlic tea with ginger	2.9.7.3.18.7	Latvian garlic tea with ginger
Latvijas lielie pelēkie zirņi	2.9.7.1.18.2	Latvian large gray peas
Latvijas lielie pelēkie zirņi	2.9.7.1.4.1	Latvian large gray peas
Lau	5.5.1.1.2.7	Lau
Lau	5.5.2.1.2.4	Lau
Lau	5.5.2.2.2.5	Lau
Lau	5.5.2.3.2.4	Lau
Lau	5.5.5.1.2.11	Lau
Lau lau	1.5.3.5.6.2	Lau lau
Lauch	2.5.2.2.2.9	Lauch
Lauch	2.5.2.2.9.4	Lauch
Lauch	2.5.2.3.2.11	Lauch
Lauch	2.5.2.3.9.5	Lauch
Lauch	2.5.2.4.9.14	Lauch
Lauch	2.5.3.1.2.23	Lauch
Lauch	2.5.3.1.9.9	Lauch
Lauch	2.5.3.2.2.33	Lauch
Lauch	2.5.3.2.9.11	Lauch
Lauch	2.5.3.3.2.5	Lauch
Lauch	2.5.3.3.9.4	Lauch
Lauch	2.5.3.4.2.8	Lauch
Lauch	2.5.3.4.9.4	Lauch
Lauch	2.5.4.1.2.18	Lauch
Lauch	2.5.4.4.2.4	Lauch
Lauch	2.5.4.4.9.4	Lauch
Laufabrauð	2.9.5.2.1.13	Puff pastry
Laufabrauð	2.9.5.2.23.2	Puff pastry
Laufener Landweizen	2.5.2.1.1.7	Laufener Landweizen
lauhala	1.1.12.5.23.4	lauhala
Lauka	5.5.3.3.2.7	Lauka
Lauki	5.5.3.1.2.4	Lauki
Lauki	5.5.3.2.2.4	Lauki
Lauki	5.5.3.4.2.5	Lauki
Lauki	5.5.4.1.2.5	Lauki
Lauki	5.5.4.3.2.4	Lauki
Laung	5.5.3.2.8.14	Laung
Laung	5.5.3.4.8.15	Laung
Laupani	5.5.5.1.20.6	Laupani
laupele	9.5.1.1.2.17	laupele
laupele	9.5.1.1.7.1	laupele
Laurel	1.4.1.2.8.4	Laurel
Laurel	1.4.1.3.8.3	Laurel
Laurel	1.4.1.4.8.3	Laurel
Laurel	1.4.2.1.8.3	Laurel
Laurel	1.4.2.2.8.3	Laurel
Laurel	1.4.2.3.8.3	Laurel
Laurel	1.4.2.4.8.3	Laurel
Laurel	1.4.2.5.8.3	Laurel
Laurel	1.4.3.1.8.5	Laurel
Laurel	1.4.3.2.8.5	Laurel
Laurel	1.4.3.3.8.5	Laurel
Laurel	1.4.3.4.8.4	Laurel
Laurel	1.5.1.1.8.9	Laurel
Laurel	1.5.1.2.8.9	Laurel
Laurel	1.5.1.3.8.5	Laurel
Laurel	1.8.1.1.7.6	Laurel
Laurel	1.8.1.2.7.6	Laurel
Laurel	1.8.1.4.7.5	Laurel
Laurel	1.8.1.6.7.9	Laurel
Laurel	1.8.2.1.7.7	Laurel
Laurel	1.8.2.2.7.7	Laurel
Laurel	1.8.2.3.7.8	Laurel
Laurel	1.8.4.1.7.8	Laurel
Laurel	1.8.4.2.7.8	Laurel
Laurel	1.8.4.3.7.8	Laurel
Laurel	1.8.5.1.7.6	Laurel
Laurel	1.8.5.4.7.3	Laurel
laurel	1.2.3.1.7.10	laurel
laurel	1.2.7.3.8.8	laurel
laurel	1.2.7.4.8.4	laurel
laurel	1.3.1.1.8.20	laurel
laurel	1.3.1.3.8.19	laurel
laurel	1.3.3.1.8.22	laurel
laurel	1.3.3.2.8.21	laurel
laurel	1.3.3.3.8.21	laurel
laurel	1.3.3.4.8.21	laurel
laurel	1.3.4.3.8.22	laurel
laurel	1.3.4.4.8.9	laurel
laurel	1.3.4.5.8.18	laurel
laurel	1.3.5.2.8.17	laurel
laurel	1.3.6.1.8.18	laurel
laurel	1.3.6.2.8.11	laurel
laurel	1.3.6.3.8.11	laurel
laurel	1.3.6.4.8.13	laurel
laurel	1.3.7.1.7.8	laurel
laurel	1.6.3.1.7.6	laurel
laurel	1.6.3.3.7.5	laurel
laurel	1.6.5.1.7.6	laurel
