1.4.9 French Caribbean	2.2.1.3.24.25	1.4.9 French Caribbean
ferments làctics	2.2.5.3.22.3	lactic ferments
ferments làctics	2.2.5.4.22.3	lactic ferments
Fermipan	1.3.4.4.22.7	Fermipan
fern	8.2.2.3.2.6	fern
Fern fronds	5.5.5.4.7.8	Fern fronds
Fern fronds	5.7.3.2.23.2	Fern fronds
Fern fronds	5.7.3.2.7.7	Fern fronds
Fern fronds	9.3.1.3.2.8	Fern fronds
fern salad	8.2.4.3.13.9	fern salad
Fern shoots	9.3.1.2.2.17	Fern shoots
fern shoots	7.1.2.3.18.8	fern shoots
fern shoots	7.1.2.3.2.7	fern shoots
fern shoots	7.3.1.2.2.3	fern shoots
fern shoots	7.3.4.2.2.14	fern shoots
fern shoots	7.3.4.3.2.15	fern shoots
fern shoots	7.3.4.4.2.10	fern shoots
fern shoots	7.3.5.1.18.8	fern shoots
fern shoots	7.3.5.1.2.2	fern shoots
fern shoots	7.3.5.2.2.12	fern shoots
fern shoots	7.3.5.3.2.4	fern shoots
fern shoots	7.3.7.2.2.4	fern shoots
fern shoots	7.3.7.2.7.3	fern shoots
fern shoots	7.3.7.3.2.11	fern shoots
fern shoots	8.2.4.1.18.2	fern shoots
fern shoots	8.2.4.1.2.11	fern shoots
fern shoots	8.2.4.1.7.5	fern shoots
Fern tips	9.3.1.3.7.7	Fern tips
fern-root starch	6.2.3.2.1.17	fern-root starch
fern-root starch	6.2.3.2.22.8	fern-root starch
Fernet	1.8.1.1.20.7	Fernet
Fernet	1.8.1.2.20.9	Fernet
Ferry Road Halloumi	9.2.3.2.11.10	Ferry Road Halloumi
ferula	8.1.3.5.19.3	ferula
fesa di manzo	2.4.1.3.6.2	rump of beef
Feseekh	3.2.1.1.14.1	Feseekh
Feseekh	3.2.1.2.14.1	Feseekh
fesol	2.2.6.4.4.1	fesol
fesol blanc	2.2.6.1.4.6	fesol blanc
fesol blanc	2.2.6.2.4.3	fesol blanc
fesol blanc	2.2.6.4.4.2	fesol blanc
fesol de l'ull ros	2.2.5.2.18.6	blond eye bean
fesol de l'ull ros	2.2.5.2.4.1	blond eye bean
Fesol fava bean	2.2.8.1.4.4	Fesol fava bean
Festival	1.4.4.1.1.4	Festival
Festival	1.4.4.2.1.5	Festival
Festival	1.4.4.3.1.5	Festival
Festival	1.4.4.4.1.6	Festival
Festival dough	1.4.4.1.18.6	Festival dough
Festival dough	1.4.4.3.18.6	Festival dough
Festival dough	1.4.4.4.18.8	Festival dough
Festival dough	1.4.6.3.1.21	Festival dough
Festival grapes	3.7.1.7.3.11	Festival grapes
Festival strawberry	3.2.1.1.3.3	Festival strawberry
festive cranberry sauce	9.2.3.4.13.2	festive cranberry sauce
festive cranberry sauce	9.2.3.4.14.13	festive cranberry sauce
festive daikon	6.7.4.4.2.6	festive daikon
festkochende Erdäpfel	2.5.3.1.1.3	waxy potatoes
festkochende Erdäpfel	2.5.3.2.1.4	waxy potatoes
festkochende Erdäpfel	2.5.3.3.1.4	waxy potatoes
festkochende Erdäpfel	2.5.3.4.1.3	waxy potatoes
festkochende Kartoffeln	2.5.1.1.1.3	festkochende Kartoffeln
festkochende Kartoffeln	2.5.1.3.1.3	festkochende Kartoffeln
festkochende Kartoffeln	2.5.2.2.1.2	festkochende Kartoffeln
festkochende Kartoffeln	2.5.2.4.1.3	festkochende Kartoffeln
festkochende Kartoffeln	2.5.4.4.1.2	festkochende Kartoffeln
Feta	9.1.5.4.11.1	Feta
feta	2.7.1.1.11.2	feta
feta	2.7.1.2.11.1	feta
feta	2.7.1.3.11.1	feta
feta	2.7.1.4.11.1	feta
feta	2.7.1.5.11.3	feta
feta	9.2.2.2.11.15	feta
feta	9.2.3.4.11.7	feta
feta cheese	1.1.13.2.11.8	feta cheese
feta cheese	2.6.9.2.11.9	feta cheese
feta cheese	4.3.5.2.11.7	feta cheese
feta cheese	8.1.5.4.11.10	feta cheese
feta cheese of Ithaki	2.7.2.3.11.3	feta cheese of Ithaki
feta Mytilini	2.7.2.4.11.2	feta Mytilini
Fetească Albă	2.8.4.1.20.3	White Girl
Fetească Albă	2.8.4.3.20.4	White Girl
Fetească Albă grapes	2.8.6.2.3.12	Feteasca Alba grapes
Fetească Albă grapes	2.8.6.3.3.7	Feteasca Alba grapes
Fetească Albă wine	2.8.4.2.20.8	Feteasca White wine
Fetească Albă wine	2.8.6.2.20.1	Feteasca White wine
Fetească Albă wine	2.8.6.3.20.6	Feteasca White wine
Fetească Neagră grapes	2.8.6.3.3.9	Feteasca Neagră grapes
Fetească Neagră wine	2.8.4.2.20.9	Feteasca Neagră wine
Fetească Neagră wine	2.8.6.3.20.8	Feteasca Neagră wine
Fetească Regală	2.8.4.1.20.2	Royal Maiden
Fetească Regală	2.8.4.4.20.6	Royal Maiden
Fetească Regală	2.8.4.5.20.10	Royal Maiden
Fetească Regală grapes	2.8.6.2.3.13	Feteasca Regală grapes
Fetească Regală grapes	2.8.6.3.3.8	Feteasca Regală grapes
Fetească Regală wine	2.8.6.2.20.2	Feteasca Regală wine
Fetească Regală wine	2.8.6.3.20.7	Feteasca Regală wine
Feteer dough	3.2.1.1.1.7	Feteer dough
Feteer dough	3.2.1.2.1.8	Feteer dough
Feteer dough sheets	3.2.1.1.23.4	Feteer dough sheets
Feteer dough sheets	3.2.1.2.23.6	Feteer dough sheets
Feteer dough sheets	3.2.1.3.23.5	Feteer dough sheets
Feteer sheets	3.2.1.2.18.7	Feteer sheets
fettine di bottarga di Orbetello	2.4.3.1.17.10	slices of Orbetello bottarga
fettuccine	2.4.4.2.1.14	fettuccine
feu de bois	2.5.4.2.24.4	wood fire
Feuerbohne	2.5.3.4.4.3	Feuerbohne
Feuille de bananier	1.4.7.3.23.1	Banana leaf
Feuille de bananier	1.4.9.1.23.1	Banana leaf
Feuille de bananier	1.4.9.2.23.1	Banana leaf
Feuille de bananier	1.4.9.3.23.1	Banana leaf
Feuille de corossol	1.4.9.2.19.3	Soursop leaf
Feuille de corossol	1.4.9.3.19.4	Soursop leaf
Feutrell orange	5.2.1.4.3.2	Feutrell orange
Fever grass	1.3.5.3.19.1	Fever grass
Fever grass	1.4.4.1.19.2	Fever grass
Fever grass	1.4.4.2.19.2	Fever grass
Fever grass	1.4.4.3.19.2	Fever grass
Fever grass	1.4.4.4.19.2	Fever grass
Fever grass	1.4.6.1.19.2	Fever grass
Fever grass	1.4.6.2.19.2	Fever grass
Fever grass	1.4.6.3.19.2	Fever grass
Fever grass	1.4.6.4.19.2	Fever grass
Fever grass	1.4.7.4.19.4	Fever grass
Fèy bannann	1.4.5.2.23.1	Banana leaves
Fèy bannann	1.4.5.3.23.1	Banana leaves
Fèy bannann	1.4.5.4.23.1	Banana leaves
Fezzan Deglet Nour dates	3.1.4.3.18.1	Fezzan Deglet Nour dates
Fiadone	2.3.6.4.18.16	Fiadone
Fiakergulasch	2.5.3.1.18.14	Fiakergulasch
Fiambre	1.5.1.2.18.11	Fiambre
Fiano di Avellino DOP	2.4.5.1.20.1	Fiano di Avellino DOP
fibra de maguey	1.2.1.5.24.3	maguey fiber
fichi	2.4.3.2.3.19	fichi
fichi	2.4.3.3.3.3	fichi
fichi	2.4.4.2.3.9	fichi
fichi	2.4.4.3.3.5	fichi
fichi	2.4.5.3.3.3	fichi
fichi	2.4.6.1.3.11	fichi
fichi	2.4.6.2.3.18	fichi
fichi	2.4.6.3.3.8	fichi
fichi	2.4.7.1.3.18	fichi
fichi	2.4.7.2.3.16	fichi
fichi	2.4.7.3.3.5	fichi
fichi	2.4.7.4.3.14	fichi
fichi	2.5.4.3.3.9	fichi
Fichi bianchi secchi di Castronuovo Sant'Andrea	2.4.5.3.3.4	Dried white figs from Castronuovo Sant'Andrea
fichi bianchi secchi di Castronuovo Sant'Andrea	2.4.5.3.14.9	dried white figs from Castronuovo Sant'Andrea
fichi d'India	2.4.4.3.3.6	fichi d'India
fichi d'India	2.4.6.1.3.12	fichi d'India
fichi d'India	2.4.6.2.3.20	fichi d'India
fichi d'India	2.4.6.3.3.10	fichi d'India
fichi d'India	2.4.7.1.3.19	fichi d'India
fichi d'India	2.4.7.2.3.17	fichi d'India
fichi d'India	2.4.7.3.3.7	fichi d'India
fichi d'India	2.4.7.4.3.15	fichi d'India
Fichi di Cosenza DOP	2.4.5.4.18.4	Figs of Cosenza DOP
Fichi di Cosenza DOP	2.4.5.4.3.19	Figs of Cosenza DOP
fichi dIndia di Calabria	2.4.5.4.3.20	prickly pears from Calabria
fichi essiccati	2.4.5.4.3.21	fichi essiccati
fichi freschi	2.4.4.1.3.2	fichi freschi
fichi freschi cotti al forno	2.4.5.4.3.22	fresh figs cooked in the oven
Fichi neri al forno di Castronuovo Sant'Andrea	2.4.5.3.3.5	Baked black figs from Castronuovo Sant'Andrea
fichi neri al forno di Castronuovo Sant'Andrea	2.4.5.3.14.10	Baked black figs from Castronuovo Sant'Andrea
fichi ripieni	2.4.5.4.14.32	fichi ripieni
fichi ripieni	2.4.5.4.3.23	fichi ripieni
fichi secchi	2.4.2.2.3.6	fichi secchi
fichi secchi	2.4.3.2.14.14	fichi secchi
fichi secchi	2.4.3.3.14.16	fichi secchi
fichi secchi	2.4.4.1.14.13	fichi secchi
fichi secchi	2.4.4.1.3.3	fichi secchi
fichi secchi	2.4.4.2.14.15	fichi secchi
fichi secchi	2.4.4.3.14.9	fichi secchi
fichi secchi	2.4.5.1.14.19	fichi secchi
fichi secchi	2.4.5.4.14.31	fichi secchi
fichi secchi	2.4.5.4.3.24	fichi secchi
fichi secchi	2.4.6.1.14.12	fichi secchi
fichi secchi	2.4.6.1.3.13	fichi secchi
fichi secchi	2.4.6.2.14.21	fichi secchi
fichi secchi	2.4.6.2.3.19	fichi secchi
fichi secchi	2.4.6.3.14.16	fichi secchi
fichi secchi	2.4.6.3.3.9	fichi secchi
fichi secchi	2.4.7.1.14.13	fichi secchi
fichi secchi	2.4.7.2.14.20	fichi secchi
fichi secchi	2.4.7.3.14.20	fichi secchi
fichi secchi	2.4.7.3.3.6	fichi secchi
fichi secchi	2.4.7.4.14.19	fichi secchi
fichi secchi di Miglionico	2.4.5.3.14.11	dried figs from Miglionico
fichi secchi di Miglionico	2.4.5.3.3.6	dried figs from Miglionico
Fichtenholzrauch	2.5.2.2.24.3	Fichtenholzrauch
Fichtenholzrauch	2.5.2.4.24.6	Fichtenholzrauch
Fichtenholzrauch	2.5.3.4.24.3	Fichtenholzrauch
Fichtenholzrauch	2.5.4.4.24.2	Fichtenholzrauch
Fichtenholzschachtel	2.5.4.4.23.7	Fichtenholzschachtel
Fichtenrinde	2.5.4.4.23.6	Fichtenrinde
Fico Bianco del Cilento DOP	2.4.5.1.18.10	Cilento PDO White Fig
Fico Bianco del Cilento DOP	2.4.5.1.3.6	Cilento PDO White Fig
Ficus dammaropsis fruit	9.3.1.1.18.7	Ficus dammaropsis fruit
Ficus hispida leaves	5.5.5.4.23.2	Ficus hispida leaves
Ficus pungens fruit	9.3.1.1.18.8	Ficus pungens fruit
Fiddlehead fern	5.3.1.1.2.21	Fiddlehead fern
Fiddlehead fern	5.3.1.4.2.16	Fiddlehead fern
Fiddlehead fern	5.7.3.3.18.5	Fiddlehead fern
Fiddlehead fern	5.7.3.3.2.21	Fiddlehead fern
Fiddlehead fern	5.7.3.3.7.6	Fiddlehead fern
Fiddlehead fern	7.4.1.1.2.8	Fiddlehead fern
fiddlehead fern	7.1.2.2.19.2	fiddlehead fern
fiddlehead fern	7.1.2.2.2.4	fiddlehead fern
fiddlehead fern	7.2.1.1.2.15	fiddlehead fern
fiddlehead fern	7.2.1.2.2.12	fiddlehead fern
fiddlehead ferns	1.1.11.5.18.9	fiddlehead ferns
fiddlehead ferns	1.1.6.6.18.7	fiddlehead ferns
Fiddleheads	1.1.1.2.18.1	Fiddleheads
Fiddleheads	1.1.1.2.2.18	Fiddleheads
Fiddleheads	1.1.1.3.18.1	Fiddleheads
Fiddleheads	1.1.2.3.18.11	Fiddleheads
fiddleheads	1.1.13.1.18.3	fiddleheads
fiddleheads	1.1.13.1.2.18	fiddleheads
fiddleheads	1.1.14.1.18.6	fiddleheads
fiddleheads	1.1.14.1.2.24	fiddleheads
fiddleheads	1.1.6.1.18.2	fiddleheads
fiddleheads	1.1.6.2.18.3	fiddleheads
Fideo cabello de ángel	1.5.5.1.1.15	Angel hair noodle
fideo de sopa seca	1.6.1.3.1.12	fideo de sopa seca
fideo de trigo	1.2.1.2.1.8	wheat fideo
fideos	2.2.2.2.1.19	fideos
fideos	2.2.2.3.1.11	fideos
fideos	2.2.2.4.1.13	fideos
fideos	2.2.3.1.1.10	fideos
fideos	2.2.3.2.1.10	fideos
fideos	2.2.3.3.1.14	fideos
fideos	2.2.3.4.1.13	fideos
fideos	2.2.4.1.1.10	fideos
fideos	2.2.4.2.1.14	fideos
fideos	2.2.4.3.1.12	fideos
fideos	2.2.4.4.1.11	fideos
fideos	2.2.6.3.1.13	fideos
fideos	2.2.7.1.1.17	fideos
fideos	2.2.7.2.1.16	fideos
fideos	2.2.7.3.1.12	fideos
fideos	2.2.7.4.1.10	fideos
fideos de huevo	1.3.7.1.1.18	egg noodles
fideos de huevo	1.3.7.1.18.7	egg noodles
fideos de trigo	1.2.1.1.1.8	wheat noodles
Fideos secos	1.8.1.1.1.13	Fideos secos
Fideos secos	1.8.2.1.1.15	Fideos secos
Fideos secos	1.8.2.2.1.12	Fideos secos
Fideos secos	1.8.6.1.1.13	Fideos secos
fideus	2.2.5.1.1.10	fideus
fideus	2.2.5.2.1.17	fideus
fideus	2.2.5.3.1.13	fideus
fideus	2.2.5.4.1.15	fideus
fideus	2.2.6.1.1.16	fideus
fideus	2.2.6.2.1.13	fideus
fideus	2.2.6.4.1.17	fideus
Fiederwäissen	2.3.9.1.14.2	Feather white
Fiederwäissen	2.3.9.1.18.2	Feather white
Fiederwäissen	2.3.9.1.20.12	Feather white
Fiefs Vendéens	2.3.1.4.16.5	Vendée strongholds
Fiefs Vendéens	2.3.1.4.18.18	Vendée strongholds
Fiefs Vendéens	2.3.1.4.20.5	Vendée strongholds
Field beans	5.4.2.1.4.8	Field beans
Field beans	5.4.2.2.4.11	Field beans
Field beans	5.4.2.4.4.12	Field beans
Field beans	5.4.3.2.4.9	Field beans
Field beans	5.4.3.3.4.9	Field beans
Field beans	5.6.2.1.4.13	Field beans
Field beans	5.6.2.2.4.9	Field beans
Field beans	5.6.2.3.2.20	Field beans
Field beans	5.6.2.3.4.10	Field beans
Field beans	5.6.3.2.4.10	Field beans
Field beans	5.6.3.3.4.9	Field beans
field beans	2.3.8.2.4.2	field beans
field beans	2.3.9.2.4.4	field beans
field beans	8.2.1.2.4.3	field beans
Field beans pods	5.4.2.2.2.18	Field beans pods
field corn	1.1.5.5.1.9	field corn
field corn	1.1.6.1.1.7	field corn
field corn	9.4.1.2.1.18	field corn
field corn	9.4.1.3.1.20	field corn
field crab	7.1.7.3.6.1	field crab
field crab	7.1.8.1.6.20	field crab
field crab	7.1.9.2.6.10	field crab
field crabs	7.1.2.1.6.18	field crabs
field crabs	7.1.2.2.6.9	field crabs
field crabs	7.1.3.3.18.2	field crabs
field crabs	7.1.3.3.6.19	field crabs
field cucumbe0ries	1.1.14.5.2.17	field cucumbe0ries
field cucumber	1.1.13.2.2.17	field cucumber
Field cucumbers	2.9.4.3.2.10	Field cucumbers
field cucumbers	1.1.11.2.2.13	field cucumbers
field cucumbers	1.1.11.3.2.12	field cucumbers
field cucumbers	1.1.11.5.2.12	field cucumbers
field cucumbers	1.1.13.3.2.11	field cucumbers
field cucumbers	1.1.13.4.2.6	field cucumbers
field cucumbers	1.1.14.1.2.15	field cucumbers
field cucumbers	1.1.14.2.2.19	field cucumbers
field cucumbers	1.1.7.4.2.14	field cucumbers
field eel	7.1.8.1.6.12	field eel
Field mushrooms	5.3.1.1.18.2	Field mushrooms
field mushrooms	2.1.1.2.2.18	field mushrooms
field onion	8.2.1.2.2.12	field onion
field onion	8.2.1.2.7.5	field onion
Field pea	2.5.1.1.4.8	Field pea
Field pea	2.5.1.2.4.9	Field pea
Field pea	2.5.1.3.4.9	Field pea
Field pea	2.5.1.4.4.7	Field pea
Field pea	2.5.2.1.4.6	Field pea
Field pea	2.5.2.2.4.14	Field pea
Field pea	2.5.2.3.4.3	Field pea
Field pea	2.5.2.4.4.9	Field pea
Field pea	2.5.3.1.4.8	Field pea
Field pea	2.5.3.2.4.9	Field pea
Field pea	2.5.3.3.4.7	Field pea
Field pea	2.5.3.4.4.11	Field pea
Field pea	2.5.4.1.4.8	Field pea
Field pea	2.5.4.2.4.10	Field pea
Field pea	2.5.4.4.4.10	Field pea
Field pea	2.5.5.1.4.13	Field pea
Field pea	2.5.5.2.4.14	Field pea
Field pea	2.5.5.3.4.7	Field pea
Field pea	2.5.6.1.4.14	Field pea
Field pea	2.5.6.2.4.12	Field pea
Field pea	2.5.6.3.4.13	Field pea
Field pea	3.3.1.1.4.2	Field pea
Field pea	3.3.1.2.4.2	Field pea
Field pea	3.3.1.3.4.3	Field pea
Field pea	3.3.1.4.4.2	Field pea
Field pea	3.3.2.1.4.3	Field pea
Field pea	3.3.2.2.4.3	Field pea
Field pea	5.3.1.2.4.10	Field pea
Field pea	5.3.3.2.4.9	Field pea
Field pea	5.3.3.3.4.10	Field pea
Field pea	5.3.3.4.4.9	Field pea
Field pea	5.3.4.2.4.11	Field pea
Field pea	5.3.4.4.4.9	Field pea
Field pea	5.3.5.1.4.10	Field pea
Field pea	5.3.5.2.4.10	Field pea
Field pea	5.3.5.3.4.9	Field pea
Field pea	5.3.5.4.4.10	Field pea
Field pea	5.4.4.3.4.5	Field pea
Field pea	5.5.5.3.4.5	Field pea
Field pea	5.5.5.5.4.5	Field pea
field pea	2.8.1.1.4.3	field pea
Field peas	1.1.2.1.4.7	Field peas
Field peas	1.1.3.2.4.6	Field peas
Field peas	1.1.3.3.4.4	Field peas
Field peas	1.1.3.4.2.3	Field peas
Field peas	1.1.3.4.4.3	Field peas
Field peas	1.1.3.5.4.7	Field peas
Field peas	1.1.3.6.4.5	Field peas
Field peas	1.1.3.7.4.2	Field peas
Field peas	1.1.4.2.4.14	Field peas
Field peas	1.1.5.1.4.6	Field peas
Field peas	1.1.5.2.4.4	Field peas
Field peas	1.1.5.3.4.2	Field peas
Field peas	1.1.5.4.4.2	Field peas
Field peas	2.9.1.1.4.4	Field peas
Field peas	2.9.2.1.4.4	Field peas
Field peas	2.9.3.1.4.1	Field peas
Field peas	2.9.3.2.4.6	Field peas
Field peas	2.9.3.3.4.1	Field peas
Field peas	2.9.3.4.4.2	Field peas
Field peas	2.9.4.1.4.3	Field peas
Field peas	2.9.4.2.4.1	Field peas
Field peas	2.9.4.3.4.1	Field peas
Field peas	2.9.6.1.4.4	Field peas
Field peas	2.9.6.2.4.4	Field peas
Field peas	2.9.7.1.4.6	Field peas
Field peas	2.9.7.2.4.4	Field peas
Field peas	2.9.8.1.4.4	Field peas
Field peas	3.6.2.3.4.7	Field peas
Field peas	3.6.3.1.4.7	Field peas
Field peas	3.6.3.2.4.7	Field peas
Field peas	3.6.3.3.4.5	Field peas
Field peas	3.6.3.4.1.16	Field peas
Field peas	3.6.3.4.4.5	Field peas
Field peas	3.6.4.2.4.7	Field peas
Field peas	3.6.4.4.4.7	Field peas
Field peas	5.4.5.1.4.14	Field peas
Field peas	5.4.5.3.4.11	Field peas
Field peas	5.7.1.1.4.8	Field peas
Field peas	5.7.1.2.4.8	Field peas
Field peas	5.7.1.3.4.10	Field peas
Field peas	5.7.1.4.4.4	Field peas
Field peas	5.7.2.2.4.5	Field peas
Field peas	5.7.3.2.4.4	Field peas
Field peas	5.7.3.3.2.20	Field peas
Field peas	5.7.3.3.4.5	Field peas
Field peas	5.7.3.4.2.16	Field peas
Field peas	5.7.3.4.4.4	Field peas
Field peas	9.1.2.2.4.2	Field peas
field peas	1.1.13.1.4.5	field peas
field peas	1.1.14.4.4.7	field peas
field peas	1.1.5.5.4.8	field peas
field peas	1.1.6.3.4.9	field peas
field peas	1.1.6.5.4.7	field peas
field peas	2.1.1.1.4.5	field peas
field peas	2.1.1.5.4.6	field peas
field peas	5.2.1.4.4.10	field peas
field peas	5.2.2.1.4.10	field peas
field peas	8.2.1.1.4.1	field peas
field peas	8.2.1.3.4.1	field peas
field peas	8.2.2.1.4.1	field peas
field peas	8.2.2.2.4.3	field peas
field peas	9.2.3.1.1.8	field peas
field peas	9.2.3.1.4.1	field peas
field peas	9.2.3.2.4.1	field peas
field peppers	1.1.13.2.2.34	field peppers
field rhubarb	1.1.14.5.2.27	field rhubarb
Field salad	2.5.2.2.2.43	Field salad
Field salad	2.5.2.3.2.45	Field salad
Field salad	2.5.2.4.2.46	Field salad
Field salad	2.5.3.4.2.50	Field salad
field tomatoes	1.1.14.1.2.18	field tomatoes
field tomatoes	1.1.14.2.2.22	field tomatoes
field wasabi	6.7.5.2.7.3	field wasabi
fieno di montagna	2.4.1.1.23.7	mountain hay
fieno di montagna	2.4.1.1.24.1	mountain hay
fieno di montagna	2.4.2.3.24.5	mountain hay
fieno greco	2.4.2.3.7.1	fieno greco
fieno greco essiccato	2.4.2.3.8.3	fieno greco essiccato
Fig	1.3.4.1.3.13	Fig
Fig	3.2.1.1.3.26	Fig
Fig	3.2.1.2.3.13	Fig
Fig	3.2.1.4.3.10	Fig
Fig	3.2.1.5.3.10	Fig
Fig	3.2.2.2.3.17	Fig
Fig	9.1.5.1.3.20	Fig
fig	4.1.1.1.3.2	fig
fig	4.1.1.2.3.27	fig
fig	4.1.1.3.3.12	fig
fig	4.1.2.1.3.9	fig
fig	4.1.4.1.3.16	fig
fig	4.1.5.1.3.13	fig
fig	4.1.5.2.3.14	fig
fig	4.1.5.3.3.17	fig
fig	4.1.5.4.3.16	fig
fig	4.3.1.1.3.16	fig
fig	4.3.1.2.3.9	fig
fig	4.3.1.4.3.19	fig
fig	4.3.1.5.3.18	fig
fig	4.3.2.1.3.11	fig
fig	4.3.2.2.3.6	fig
fig	4.3.2.3.3.14	fig
fig	4.3.2.4.3.4	fig
fig	5.2.1.2.3.8	fig
fig	5.2.3.2.3.15	fig
fig	5.2.4.1.3.8	fig
fig	5.2.4.4.3.10	fig
fig	6.6.3.1.3.9	fig
fig	6.6.3.2.3.11	fig
fig	9.2.2.2.3.22	fig
fig	9.2.2.3.3.16	fig
fig	9.2.2.4.3.25	fig
fig	9.2.3.3.3.33	fig
fig brandy	2.6.2.1.20.11	fig brandy
fig brandy	2.6.2.2.20.14	fig brandy
fig bread	2.6.2.1.14.10	fig bread
fig bread	2.6.7.1.1.11	fig bread
fig bread	2.6.7.1.18.11	fig bread
fig bread	2.6.7.4.1.14	fig bread
fig cake	2.6.2.4.14.9	fig cake
Fig chutney	2.3.6.1.13.10	Fig chutney
fig chutney	2.7.1.4.13.6	fig chutney
fig chutney	9.2.3.3.13.11	fig chutney
fig gliko	2.6.7.3.13.4	fig gliko
fig gliko	2.6.7.3.14.6	fig gliko
Fig jam	2.3.6.1.14.9	Fig jam
Fig jam	2.3.6.3.14.10	Fig jam
Fig jam	2.3.6.4.13.9	Fig jam
fig jam	2.6.1.2.13.13	fig jam
fig jam	2.6.2.4.13.8	fig jam
fig jam	2.6.4.2.13.7	fig jam
fig jam	2.6.6.1.15.3	fig jam
fig jam	2.6.7.2.13.5	fig jam
fig jam	2.6.7.4.13.6	fig jam
fig jam	2.7.1.2.14.10	fig jam
fig jam	2.8.5.4.13.9	fig jam
fig jam	2.8.5.4.14.14	fig jam
fig jam	3.1.1.3.14.7	fig jam
fig jam	3.1.2.2.13.3	fig jam
fig jam	3.1.2.2.14.8	fig jam
fig jam	3.1.4.2.15.3	fig jam
fig jam	4.2.1.3.15.6	fig jam
fig jam	4.3.1.2.14.15	fig jam
fig jam	4.3.1.4.14.10	fig jam
fig jam	4.3.1.5.14.14	fig jam
fig jam	4.3.2.3.14.9	fig jam
fig jam	4.3.3.1.13.10	fig jam
fig jam	4.3.3.1.15.5	fig jam
fig jam	4.3.3.3.14.10	fig jam
fig jam	4.3.4.2.14.12	fig jam
fig jam	4.3.5.1.14.10	fig jam
fig jam	4.3.5.2.14.11	fig jam
fig jam	4.3.5.3.14.7	fig jam
fig jam	6.7.2.3.15.3	fig jam
fig jam	6.7.4.1.15.5	fig jam
fig jam	6.7.5.3.15.4	fig jam
fig jam	6.7.6.1.15.6	fig jam
Fig leaves	2.3.6.1.23.2	Fig leaves
Fig leaves	5.7.3.2.23.3	Fig leaves
Fig leaves	9.1.3.2.23.2	Fig leaves
fig leaves	2.7.2.3.23.5	fig leaves
fig leaves	7.1.8.3.17.7	fig leaves
fig leaves	7.1.8.3.7.4	fig leaves
fig marmalade	2.6.2.1.13.8	fig marmalade
Fig molasses	9.1.3.2.15.5	Fig molasses
fig molasses	4.1.1.3.13.7	fig molasses
fig molasses	4.1.1.3.15.4	fig molasses
fig molasses	4.1.2.1.13.9	fig molasses
fig molasses	4.1.2.1.15.4	fig molasses
fig molasses	4.1.2.3.13.10	fig molasses
fig molasses	4.1.2.3.15.6	fig molasses
fig paste	2.7.1.2.14.11	fig paste
fig pekmez	2.6.4.2.13.8	fig pekmez
fig pekmez	2.6.4.2.14.11	fig pekmez
fig pekmez	2.6.4.2.15.5	fig pekmez
fig pekmez	2.6.4.2.18.7	fig pekmez
fig preserve	4.2.2.3.13.7	fig preserve
fig preserve	4.2.2.3.18.9	fig preserve
fig preserve	5.2.3.2.14.8	fig preserve
Fig preserves	1.1.3.3.14.10	Fig preserves
Fig preserves	1.1.3.5.13.10	Fig preserves
Fig preserves	1.1.3.5.14.11	Fig preserves
Fig preserves	1.1.3.6.13.10	Fig preserves
Fig preserves	1.1.3.6.14.12	Fig preserves
Fig preserves	1.1.3.7.13.9	Fig preserves
Fig preserves	1.1.3.7.14.11	Fig preserves
Fig preserves	1.1.5.1.14.11	Fig preserves
Fig preserves	1.1.5.2.14.12	Fig preserves
Fig preserves	1.1.5.3.13.11	Fig preserves
Fig preserves	1.1.5.3.14.11	Fig preserves
Fig preserves	1.1.5.4.13.11	Fig preserves
Fig preserves	1.1.5.4.14.11	Fig preserves
Fig preserves	2.3.6.4.14.16	Fig preserves
fig preserves	1.1.10.1.13.8	fig preserves
fig preserves	1.1.10.1.14.15	fig preserves
fig preserves	1.1.10.2.13.11	fig preserves
fig preserves	1.1.10.2.14.14	fig preserves
fig preserves	1.1.10.3.13.6	fig preserves
fig preserves	1.1.10.4.13.9	fig preserves
fig preserves	1.1.10.4.14.14	fig preserves
fig preserves	1.1.10.5.14.15	fig preserves
fig preserves	1.1.11.1.13.9	fig preserves
fig preserves	1.1.11.2.13.9	fig preserves
fig preserves	1.1.5.5.14.13	fig preserves
fig preserves	1.1.8.1.14.14	fig preserves
fig preserves	1.1.8.2.14.13	fig preserves
fig preserves	1.1.8.3.14.16	fig preserves
fig preserves	1.1.8.4.14.14	fig preserves
fig preserves	1.1.8.5.14.13	fig preserves
fig preserves	1.1.8.6.14.13	fig preserves
fig preserves	1.1.9.2.14.15	fig preserves
fig preserves	1.1.9.4.14.14	fig preserves
fig preserves	2.7.1.2.14.12	fig preserves
fig preserves	2.7.2.2.14.11	fig preserves
fig preserves	2.7.2.4.14.12	fig preserves
fig preserves	2.7.2.5.14.13	fig preserves
fig sap rennet	3.1.1.2.22.3	fig sap rennet
fig spoon sweet	2.7.3.1.14.12	fig spoon sweet
fig spoon sweet	2.7.3.2.14.15	fig spoon sweet
fig spread	2.7.1.4.13.7	fig spread
Fig sugar concentrate	2.2.8.1.15.6	Fig sugar concentrate
fig syrup	2.7.1.4.13.8	fig syrup
fig syrup	2.8.5.4.15.4	fig syrup
fig syrup	4.2.3.1.15.5	fig syrup
