1.4.3 Dominican	2.2.1.3.24.19	1.4.3 Dominican
Derinkuyu Kuru Fasulyesi	4.1.3.2.4.1	Derinkuyu Kuru Fasulyesi
Derinkuyu strawberry	4.1.3.2.18.15	Derinkuyu strawberry
Derinkuyu strawberry	4.1.3.2.3.15	Derinkuyu strawberry
dersa	3.1.2.1.13.2	dersa
dersa	3.1.2.3.13.2	dersa
deruny	2.8.2.4.18.7	deruny
deruny	2.8.2.5.18.12	deruny
Deryneia strawberries	2.7.3.1.18.6	Deryneia strawberries
Deryneia strawberries	2.7.3.1.3.3	Deryneia strawberries
Desert bloodwood sap	9.1.1.1.18.7	Desert bloodwood sap
Desert bloodwood sap	9.1.1.1.19.1	Desert bloodwood sap
Desert date	3.2.2.3.18.5	Desert date
Desert date	3.2.2.3.19.5	Desert date
Desert date	3.2.2.3.3.13	Desert date
Desert date	3.3.1.5.18.2	Desert date
Desert date	3.3.1.5.19.12	Desert date
Desert date	3.3.1.5.2.17	Desert date
Desert date	3.3.2.3.18.7	Desert date
Desert date	3.3.2.3.3.16	Desert date
Desert date oil	3.2.2.3.10.6	Desert date oil
desert embers	4.3.3.3.24.5	desert embers
desert embers	4.3.3.4.24.4	desert embers
Desert Flinders grass seed	9.1.5.3.1.13	Desert Flinders grass seed
Desert Flinders grass seed	9.1.5.3.5.12	Desert Flinders grass seed
desert hackberries	1.1.9.2.18.13	desert hackberries
desert hackberries	1.1.9.2.3.22	desert hackberries
Desert lime	9.1.4.3.12.1	Desert lime
Desert lime	9.1.4.3.17.1	Desert lime
Desert lime	9.1.4.3.3.11	Desert lime
Desert lime	9.1.4.3.9.5	Desert lime
Desert lime peel	9.1.4.3.8.5	Desert lime peel
Desert lime seeds	9.1.4.3.5.5	Desert lime seeds
Desert quandong	9.1.4.3.12.7	Desert quandong
Desert quandong	9.1.4.3.18.1	Desert quandong
Desert quandong	9.1.4.3.3.10	Desert quandong
Desert raisin	9.1.5.3.3.1	Desert raisin
desert sand heat	3.1.1.4.24.3	desert sand heat
desert stork's-bill	4.3.5.4.18.4	desert stork's-bill
desert tamarisk	6.4.4.1.24.6	desert tamarisk
desert truffle	4.3.5.4.18.2	desert truffle
Desert truffles	4.5.2.2.18.17	Desert truffles
desert truffles	4.4.1.2.18.5	desert truffles
desert truffles	4.4.2.2.18.7	desert truffles
desert truffles	4.4.4.1.18.1	desert truffles
desert truffles	4.4.4.3.18.9	desert truffles
Desert walnut	9.1.5.3.5.3	Desert walnut
Desert walnut kernel paste	9.1.5.3.10.3	Desert walnut kernel paste
desert wine	4.3.5.4.20.8	desert wine
Desert yam	9.1.5.3.1.2	Desert yam
Desert yam flesh	9.1.5.3.2.2	Desert yam flesh
Desgranado maracucho	1.5.3.4.18.11	Desgranado maracucho
Deshi chicken	5.5.1.2.6.14	Deshi chicken
Deshidratado de calafate	1.8.5.4.14.3	Dehydrated cauliflower
Desi chana	5.4.4.2.4.1	Desi chana
Desi chickpea	5.3.3.2.4.1	Desi chickpea
Desi chickpea	5.4.4.3.4.2	Desi chickpea
Desi chickpea	5.4.4.4.4.2	Desi chickpea
Desi chickpea	5.4.5.1.4.2	Desi chickpea
Desi chickpea	5.4.5.3.4.8	Desi chickpea
desi chickpeas	1.1.13.3.4.8	desi chickpeas
desi chickpeas	1.1.7.4.4.9	desi chickpeas
desi chickpeas	5.2.1.1.4.1	desi chickpeas
desi chickpeas	5.2.1.4.4.1	desi chickpeas
Desi dates	5.4.1.2.3.4	Desi dates
desi ghee	5.2.1.1.10.1	desi ghee
desi ghee	5.2.1.2.10.1	desi ghee
desi ghee	5.2.1.2.11.8	desi ghee
desi ghee	5.2.1.3.10.1	desi ghee
desi ghee	5.2.1.4.10.1	desi ghee
desi ghee	5.2.2.1.10.5	desi ghee
desi ghee	5.2.2.2.10.1	desi ghee
desi ghee	5.2.2.3.10.1	desi ghee
desi ghee	5.2.3.1.10.1	desi ghee
desi ghee	5.2.3.2.10.1	desi ghee
desi ghee	5.2.3.3.10.1	desi ghee
desi ghee	5.2.3.4.10.1	desi ghee
desi ghee	5.2.4.1.10.1	desi ghee
desi ghee	5.2.4.2.10.4	desi ghee
desi ghee	5.2.4.3.10.1	desi ghee
desi ghee	5.2.4.4.10.1	desi ghee
Desi lal murga	5.5.4.1.6.2	Desi lal murga
Desi murga	5.5.3.2.6.10	Desi murga
Desi murga	5.5.3.3.6.12	Desi murga
Desi murga	5.5.3.4.6.14	Desi murga
Desi murga	5.5.4.2.6.5	Desi murga
Desi murga	5.5.4.3.6.4	Desi murga
Desiccated coconut	3.6.1.1.5.7	Desiccated coconut
Desiccated coconut	5.8.1.1.11.7	Desiccated coconut
desiccated coconut	3.7.1.1.17.1	desiccated coconut
desiccated coconut	3.7.6.4.14.7	desiccated coconut
desiccated coconut	7.2.1.2.5.4	desiccated coconut
Désirée potatoes	2.3.9.1.1.4	Désirée potatoes
Dessert apples	2.3.1.1.3.3	Dessert apples
Dessert apples	2.3.1.2.3.3	Dessert apples
Dessert apples	2.3.1.4.3.3	Dessert apples
Dessert apples	2.3.3.1.3.3	Dessert apples
dessert apples	2.1.1.4.3.9	dessert apples
dessert apples	2.1.1.5.3.1	dessert apples
dessert apples	2.1.2.1.3.9	dessert apples
dessert banana	9.4.1.1.3.1	dessert banana
dessert banana	9.4.1.2.1.16	dessert banana
dessert banana	9.4.3.4.1.5	dessert banana
Dessert bananas	3.6.4.1.1.13	Dessert bananas
Dessert bananas	3.6.4.1.3.13	Dessert bananas
Dessert bananas	3.6.4.2.3.13	Dessert bananas
Dessert bananas	3.6.4.3.1.14	Dessert bananas
Dessert bananas	3.6.4.3.3.15	Dessert bananas
Dessert bananas	3.6.4.4.1.14	Dessert bananas
Dessert bananas	3.6.5.1.1.16	Dessert bananas
Dessert bananas	3.6.5.1.3.12	Dessert bananas
Dessert bananas	3.6.5.2.3.13	Dessert bananas
Dessert bananas	3.6.5.3.1.14	Dessert bananas
Dessert bananas	3.6.5.3.3.12	Dessert bananas
Dessert wine	2.9.1.3.20.12	Dessert wine
dessert wine	9.2.2.3.20.5	dessert wine
Destilado de manzana	1.8.5.2.20.5	apple distillate
destilado de pulque	1.2.2.5.14.4	pulque distillate
destilado de pulque	1.2.2.5.20.5	pulque distillate
Devbhog rice	5.4.5.1.1.6	Devbhog rice
Devbhog rice	5.4.5.1.18.4	Devbhog rice
Devgad Alphonso mango	5.4.3.3.18.2	Devgad Alphonso mango
Devgad Alphonso mango	5.4.3.3.3.2	Devgad Alphonso mango
devil's claw tea	3.7.2.1.19.2	devil's claw tea
devil's claw tubers	3.7.2.1.19.1	devil's claw tubers
devil's claw tubers	3.7.2.4.19.1	devil's claw tubers
devil's claw tubers	3.7.3.2.19.2	devil's claw tubers
devils claw tubers	3.7.4.2.19.3	devils claw tubers
Devín	2.5.6.1.18.17	Devin
Devín	2.5.6.1.20.18	Devin
Devín	2.5.6.1.3.33	Devin
Devín grapes	2.5.6.1.18.20	Devín grapes
Devin mineral water	2.8.5.5.16.8	Devin mineral water
Devin mineral water	2.8.5.5.19.6	Devin mineral water
Devin mineral water	2.8.5.5.20.6	Devin mineral water
Devon Blue	2.1.1.4.11.9	Devon Blue
Devon Blue	2.1.1.4.18.7	Devon Blue
Devon cider	2.1.1.4.20.2	Devon cider
Devrek kireni	4.1.4.1.18.14	Devrek kireni
Devrek kireni	4.1.4.1.3.5	Devrek kireni
devzira rice	8.1.2.4.1.8	devzira rice
devzira rice	8.1.2.4.18.2	devzira rice
devzira rice	8.1.3.2.1.5	devzira rice
devzira rice	8.1.3.2.18.1	devzira rice
dew-softened rice paper	7.1.9.1.1.12	dew-softened rice paper
dew-softened rice paper	7.1.9.1.18.2	dew-softened rice paper
dew-softened rice paper	7.1.9.1.23.2	dew-softened rice paper
dewberries	1.1.8.3.18.4	dewberries
dewberries	1.1.8.3.3.4	dewberries
dewberries	1.1.8.6.18.4	dewberries
dewberries	1.1.8.6.3.4	dewberries
Dewberry	5.3.1.1.3.17	Dewberry
dewberry jam	1.1.8.3.14.15	dewberry jam
Dewen coffee	6.5.2.3.18.3	Dewen coffee
Dewen coffee	6.5.2.3.20.1	Dewen coffee
Deyri dates	4.6.4.1.18.7	Deyri dates
Dhai chewra	5.7.2.4.18.7	Dhai chewra
Dhakki date	5.2.1.3.3.16	Dhakki date
Dhakki dates	5.2.2.3.3.5	Dhakki dates
Dhalpuri	1.4.6.1.18.3	Dhalpuri
Dhalpuri filling	1.4.6.2.18.3	Dhalpuri filling
Dhanaan	3.3.1.5.11.8	Dhanaan
Dhanaan	3.3.1.5.12.5	Dhanaan
Dhanaan	3.3.1.5.14.1	Dhanaan
Dhanaan	3.3.1.5.19.2	Dhanaan
Dhanaan	3.3.1.5.20.3	Dhanaan
Dhanaan	3.3.3.1.11.10	Dhanaan
Dhanaan	3.3.3.1.12.5	Dhanaan
Dhanaan	3.3.3.1.14.1	Dhanaan
Dhanaan	3.3.3.1.16.5	Dhanaan
Dhanaan	3.3.3.1.19.2	Dhanaan
Dhanaan	3.3.3.1.20.5	Dhanaan
Dhania	5.5.2.1.5.7	Dhania
Dhania	5.5.2.1.8.6	Dhania
Dhania	5.5.2.2.5.8	Dhania
Dhania	5.5.2.2.8.6	Dhania
Dhania	5.5.3.1.5.8	Dhania
Dhania	5.5.3.1.8.10	Dhania
Dhania	5.5.3.2.5.7	Dhania
Dhania	5.5.3.2.8.7	Dhania
Dhania	5.5.3.3.5.10	Dhania
Dhania	5.5.3.4.5.5	Dhania
Dhania	5.5.3.4.8.6	Dhania
Dhania	5.5.4.1.8.6	Dhania
Dhania	5.5.4.2.8.3	Dhania
Dhania	5.5.4.3.8.8	Dhania
Dhania	5.5.5.1.5.5	Dhania
Dhania	5.5.5.1.8.7	Dhania
Dhania chutney	5.5.3.2.13.3	Dhania chutney
Dhania chutney	5.5.3.4.13.3	Dhania chutney
Dhania chutney	5.5.4.3.13.4	Dhania chutney
Dhania mula	5.5.2.1.9.8	Dhania mula
Dhania pat	5.5.5.1.17.3	Dhania pat
Dhania pat	5.5.5.1.7.13	Dhania pat
Dhania pat	5.5.5.1.9.6	Dhania pat
Dhania patra	5.5.2.1.17.1	Dhania patra
Dhania patra	5.5.2.1.7.9	Dhania patra
Dhania patra	5.5.2.2.17.1	Dhania patra
Dhania patra	5.5.2.2.7.11	Dhania patra
Dhania patra	5.5.2.2.9.7	Dhania patra
Dhania patta	5.5.3.1.7.12	Dhania patta
Dhania patta	5.5.3.2.7.10	Dhania patta
Dhaniar chutney	5.5.5.1.13.13	Dhaniar chutney
Dhaniya	5.5.2.3.5.3	Dhaniya
Dhaniya	5.5.2.3.8.6	Dhaniya
Dhaniya bata	5.5.2.3.13.6	Dhaniya bata
Dhaniya chutney	5.3.4.2.13.3	Dhaniya chutney
Dhaniya chutney	5.3.4.4.13.2	Dhaniya chutney
Dhaniya chutney	5.5.3.3.13.1	Dhaniya chutney
Dhaniya patra	5.5.2.3.17.3	Dhaniya patra
Dhaniya patra	5.5.2.3.7.10	Dhaniya patra
Dhaniya patra	5.5.2.3.9.7	Dhaniya patra
Dharosh	5.5.1.1.2.6	Dharosh
Dharwad pedha	5.6.3.4.18.6	Dharwad pedha
Dhau	5.7.1.2.11.3	Dhau
Dheki shak	5.5.1.3.7.6	Dheki shak
Dhekia xaak	5.5.5.1.7.2	Dhekia xaak
Dhofari chai	4.5.5.3.20.1	Dhofari chai
Dholl puri	3.8.2.2.1.15	Dholl puri
Dhone	5.5.1.1.8.4	Dhone
Dhone	5.5.1.2.8.5	Dhone
Dhonepata	5.5.1.1.17.1	Dhonepata
Dhonepata	5.5.1.1.7.1	Dhonepata
Dhonepata	5.5.1.2.17.1	Dhonepata
Dhonepata	5.5.1.2.7.1	Dhonepata
Dhonepata	5.5.1.2.9.6	Dhonepata
Dhoop mein sukhana	5.5.3.1.24.4	Dhoop mein sukhana
Dhuaan diya hua maans	5.5.4.2.6.9	Dhuaan diya hua maans
Dhuaan phulvari	5.5.3.3.18.8	Dhuaan phulvari
Dhunduli	5.5.5.1.2.17	Dhunduli
dhungar smoke	5.2.1.1.24.5	dhungar smoke
dhungar smoke	5.2.2.1.24.5	dhungar smoke
diakhatou	3.4.1.1.2.9	diakhatou
diakhatou	3.4.1.2.2.9	diakhatou
Diamond Muscat grapes	3.7.1.7.3.7	Diamond Muscat grapes
Diana mussels	2.3.6.4.6.26	Diana mussels
Diana oysters	2.3.6.4.6.24	Diana oysters
Dianbai agarwood	6.3.1.4.18.2	Dianbai agarwood
Dianbai agarwood	6.3.1.4.19.2	Dianbai agarwood
Dianbu carrot	6.1.2.1.18.9	Dianbu carrot
Dianbu carrot	6.1.2.1.2.4	Dianbu carrot
dianchonglou	6.4.2.2.19.2	dianchonglou
Dianella berry juice	9.1.1.3.19.6	Dianella berry juice
Dianella roots	9.1.1.4.1.12	Dianella roots
Dianella roots	9.1.1.4.2.9	Dianella roots
Dianzi long red jujube	6.1.2.3.18.16	Dianzi long red jujube
Dianzi long red jujube	6.1.2.3.3.5	Dianzi long red jujube
diaozi fish	6.2.3.4.6.5	diaozi fish
dibis tamar	4.4.2.1.18.5	dibis tamar
diced cucumber	9.5.3.2.17.3	diced cucumber
diced cucumber	9.5.5.1.17.6	diced cucumber
diced cucumber	9.5.5.2.17.6	diced cucumber
diced cucumber	9.5.6.1.17.6	diced cucumber
diced cucumber	9.5.6.3.17.5	diced cucumber
Diced iberian ham	2.2.7.5.17.2	Diced iberian ham
diced onion	4.3.1.4.17.3	diced onion
Diced onions	1.2.1.6.17.2	Diced onions
Diced onions	1.2.2.6.17.2	Diced onions
Diced onions	1.2.2.7.17.2	Diced onions
Diced onions	1.2.2.8.17.2	Diced onions
Diced onions	1.2.2.9.17.2	Diced onions
Diced onions	1.2.3.5.17.2	Diced onions
Diced onions	1.2.3.6.17.2	Diced onions
Diced onions	1.2.4.6.17.2	Diced onions
diced onions	1.1.9.5.17.3	diced onions
diced onions	7.1.1.4.17.3	diced onions
diced red onion	1.1.10.1.17.4	diced red onion
diced red onion	1.1.10.2.17.4	diced red onion
diced red onion	1.1.10.4.17.5	diced red onion
diced red onion	1.1.11.1.17.4	diced red onion
diced red onion	1.1.11.2.17.4	diced red onion
diced red onion	1.1.11.3.17.4	diced red onion
diced red onion	1.1.11.4.17.3	diced red onion
diced red onion	1.1.11.5.17.3	diced red onion
diced red onions	1.1.10.3.17.4	diced red onions
diced red onions	7.2.1.4.17.2	diced red onions
diced tomato	1.3.2.4.17.14	diced tomato
diced tomato	4.3.1.4.17.4	diced tomato
diced tomato	9.5.3.2.17.4	diced tomato
diced tomato	9.5.3.3.17.4	diced tomato
diced tomato	9.5.3.4.17.4	diced tomato
diced tomato	9.5.5.1.17.5	diced tomato
diced tomato	9.5.5.2.17.5	diced tomato
diced tomato	9.5.6.1.17.5	diced tomato
diced tomato	9.5.6.3.17.4	diced tomato
Diced tomatoes	1.2.1.6.17.8	Diced tomatoes
Diced tomatoes	1.2.2.6.17.7	Diced tomatoes
Diced tomatoes	1.2.2.7.17.8	Diced tomatoes
Diced tomatoes	1.2.2.8.17.8	Diced tomatoes
Diced tomatoes	1.2.2.9.17.8	Diced tomatoes
Diced tomatoes	1.2.3.5.17.7	Diced tomatoes
Diced tomatoes	1.2.3.6.17.7	Diced tomatoes
Diced tomatoes	1.2.4.6.17.8	Diced tomatoes
Diced tomatoes	3.6.1.2.17.3	Diced tomatoes
diced tomatoes	1.1.8.1.17.7	diced tomatoes
diced white onion	1.1.10.5.17.2	diced white onion
diced white onion	1.1.8.1.17.2	diced white onion
diced white onion	1.1.8.2.17.2	diced white onion
diced white onion	1.1.8.3.17.3	diced white onion
diced white onion	1.1.8.4.17.2	diced white onion
diced white onion	1.1.8.5.17.4	diced white onion
diced white onion	1.1.8.6.17.2	diced white onion
diced white onion	1.1.9.1.17.2	diced white onion
diced white onion	1.1.9.2.17.2	diced white onion
diced white onion	1.1.9.3.17.2	diced white onion
diced white onion	1.1.9.4.17.2	diced white onion
diced white onions	1.1.7.3.17.4	diced white onions
Dichrostachys cinerea	3.7.5.4.19.8	Dichrostachys cinerea
Dicke Bohnen	2.5.1.2.2.14	Dicke Bohnen
Dicke Bohnen	2.5.1.2.4.1	Dicke Bohnen
Dicke Bohnen	2.5.1.3.4.2	Dicke Bohnen
Dicke Liese	2.5.1.3.11.11	Dicke Liese
Dicke Liese	2.5.1.3.18.11	Dicke Liese
Dickmilch	2.5.1.1.11.12	Dickmilch
Dickmilch	2.5.1.2.11.4	Dickmilch
Dickmilch	2.5.1.2.12.5	Dickmilch
Dickmilch	2.5.1.2.14.16	Dickmilch
Dickmilch	2.5.1.2.19.7	Dickmilch
Dickmilch	2.5.1.3.11.7	Dickmilch
Díctamo real	1.5.3.3.19.7	royal dittany
Diekirch beer	2.3.9.2.18.10	Diekirch beer
Diekirch beer	2.3.9.2.20.3	Diekirch beer
Dielenrauch	2.5.1.2.24.1	Dielenrauch
Diente de león	1.8.2.2.19.10	Dandelion
diente de león	1.2.7.3.19.4	dandelion
Dientudo	1.8.1.3.6.17	Dientudo
Diepholzer Gans	2.5.1.2.6.10	Diepholzer Gans
Diepholzer Moorschnucke	2.5.1.2.18.3	Diepholzer Moorschnucke
Diepholzer Moorschnucke	2.5.1.2.6.2	Diepholzer Moorschnucke
Dievčie hrozno	2.5.6.2.20.18	Girl grapes
Dievčie hrozno	2.5.6.2.3.26	Girl grapes
Difdif	3.3.1.1.14.7	Difdif
Digüeñe	1.8.5.1.18.2	Digueñe
dijiao	6.1.4.4.7.8	dijiao
dijiao powder	6.1.4.4.17.8	dijiao powder
dijiao powder	6.1.4.4.8.13	dijiao powder
Dijon mustard	1.1.10.2.13.2	Dijon mustard
Dijon mustard	1.1.10.4.13.2	Dijon mustard
Dijon mustard	1.1.13.1.13.3	Dijon mustard
Dijon mustard	1.1.13.2.13.3	Dijon mustard
Dijon mustard	1.1.13.6.13.1	Dijon mustard
Dijon mustard	1.1.14.1.13.2	Dijon mustard
Dijon mustard	1.1.14.2.13.2	Dijon mustard
Dijon mustard	1.1.14.6.13.1	Dijon mustard
Dijon mustard	9.2.2.2.13.4	Dijon mustard
dil balığı	4.1.1.1.6.18	flounder
dil balığı	4.1.1.2.6.31	flounder
Dill	1.1.1.1.7.5	Dill
Dill	1.1.1.3.7.4	Dill
Dill	1.1.13.6.7.3	Dill
Dill	1.1.14.6.7.3	Dill
Dill	1.1.2.1.7.2	Dill
Dill	1.1.2.2.7.3	Dill
Dill	1.1.2.3.7.4	Dill
Dill	1.1.2.4.7.4	Dill
Dill	1.1.2.5.7.4	Dill
Dill	1.1.3.1.7.4	Dill
Dill	1.1.3.2.7.4	Dill
Dill	1.1.3.3.7.5	Dill
Dill	1.1.3.5.7.5	Dill
Dill	1.1.3.6.7.3	Dill
Dill	1.1.3.7.7.7	Dill
Dill	1.1.4.1.7.3	Dill
Dill	1.1.4.2.7.3	Dill
Dill	1.1.4.3.7.3	Dill
Dill	1.1.4.4.7.3	Dill
Dill	1.1.4.5.7.3	Dill
Dill	1.1.5.1.7.10	Dill
Dill	1.1.5.2.7.11	Dill
Dill	1.1.5.3.7.5	Dill
Dill	1.1.5.4.7.5	Dill
Dill	2.5.1.1.7.2	Dill
Dill	2.5.1.2.7.6	Dill
Dill	2.5.1.3.7.1	Dill
Dill	2.5.1.3.9.7	Dill
Dill	2.5.1.4.7.1	Dill
Dill	2.5.2.1.7.12	Dill
Dill	2.5.2.2.7.3	Dill
Dill	2.5.2.3.17.3	Dill
Dill	2.5.2.3.7.1	Dill
Dill	2.5.2.4.7.16	Dill
Dill	2.5.3.1.7.4	Dill
Dill	2.5.3.2.7.19	Dill
Dill	2.5.3.3.7.10	Dill
Dill	2.5.3.4.7.11	Dill
Dill	2.5.4.1.7.6	Dill
Dill	2.5.4.2.7.20	Dill
Dill	2.5.5.1.7.14	Dill
Dill	2.5.5.2.7.14	Dill
Dill	2.5.5.3.7.13	Dill
Dill	2.5.6.1.7.15	Dill
Dill	2.5.6.2.7.15	Dill
Dill	2.5.6.3.7.15	Dill
Dill	2.9.1.1.7.1	Dill
Dill	2.9.2.2.17.9	Dill
Dill	2.9.2.2.7.6	Dill
Dill	2.9.2.2.9.6	Dill
Dill	2.9.2.3.7.2	Dill
Dill	2.9.2.4.7.5	Dill
Dill	2.9.3.2.7.2	Dill
Dill	2.9.3.3.7.7	Dill
Dill	2.9.3.4.7.1	Dill
Dill	2.9.3.4.9.6	Dill
Dill	2.9.4.1.7.1	Dill
Dill	2.9.4.1.9.9	Dill
Dill	2.9.4.2.7.1	Dill
Dill	2.9.4.2.9.8	Dill
Dill	2.9.4.3.7.1	Dill
Dill	2.9.4.3.9.5	Dill
Dill	2.9.4.4.7.3	Dill
Dill	2.9.4.4.9.6	Dill
Dill	2.9.5.1.7.1	Dill
Dill	2.9.5.1.9.4	Dill
Dill	2.9.6.1.7.1	Dill
Dill	2.9.6.1.9.7	Dill
Dill	2.9.6.2.7.1	Dill
Dill	2.9.6.2.9.7	Dill
Dill	2.9.6.3.7.1	Dill
Dill	2.9.6.3.9.5	Dill
Dill	2.9.7.1.7.1	Dill
Dill	2.9.7.1.9.5	Dill
Dill	2.9.7.2.7.1	Dill
Dill	2.9.7.2.9.6	Dill
Dill	2.9.7.3.7.1	Dill
Dill	2.9.7.3.9.6	Dill
Dill	2.9.7.4.17.1	Dill
Dill	2.9.7.4.7.1	Dill
Dill	2.9.7.4.9.3	Dill
Dill	2.9.8.1.7.1	Dill
Dill	2.9.8.1.9.6	Dill
Dill	2.9.8.2.17.4	Dill
Dill	2.9.8.2.7.1	Dill
Dill	2.9.8.2.9.3	Dill
Dill	2.9.8.3.17.6	Dill
Dill	2.9.8.3.7.2	Dill
Dill	2.9.8.3.9.4	Dill
Dill	3.2.1.1.7.3	Dill
Dill	3.2.1.2.7.3	Dill
Dill	3.2.1.3.7.2	Dill
Dill	3.2.1.3.9.10	Dill
Dill	3.2.1.4.7.3	Dill
Dill	3.2.1.4.9.5	Dill
Dill	3.2.1.5.7.6	Dill
Dill	3.2.2.2.7.2	Dill
Dill	3.2.2.2.9.6	Dill
Dill	3.2.2.4.7.3	Dill
Dill	3.2.2.5.7.3	Dill
Dill	3.2.3.2.7.2	Dill
Dill	3.2.3.2.9.7	Dill
Dill	3.6.1.3.7.8	Dill
Dill	4.5.6.1.7.3	Dill
Dill	4.5.6.3.2.13	Dill
Dill	4.5.6.3.7.3	Dill
dill	1.1.10.1.7.3	dill
dill	1.1.10.2.7.3	dill
dill	1.1.10.3.7.4	dill
dill	1.1.10.4.7.3	dill
dill	1.1.10.5.7.11	dill
dill	1.1.11.1.7.3	dill
dill	1.1.11.2.7.3	dill
dill	1.1.11.3.7.3	dill
dill	1.1.11.4.7.3	dill
dill	1.1.11.5.7.3	dill
dill	1.1.12.1.7.9	dill
dill	1.1.12.2.7.9	dill
dill	1.1.12.3.7.6	dill
dill	1.1.12.4.7.7	dill
dill	1.1.13.1.7.2	dill
dill	1.1.13.2.7.3	dill
dill	1.1.13.3.7.2	dill
dill	1.1.14.1.7.3	dill
dill	1.1.14.2.7.3	dill
dill	1.1.14.3.7.2	dill
dill	1.1.14.5.7.5	dill
dill	1.1.5.5.7.5	dill
dill	1.1.6.1.7.3	dill
dill	1.1.6.2.7.1	dill
dill	1.1.6.3.7.4	dill
dill	1.1.6.4.7.1	dill
dill	1.1.6.5.7.4	dill
dill	1.1.6.6.7.1	dill
dill	1.1.7.1.7.1	dill
dill	1.1.7.2.7.5	dill
dill	1.1.7.3.7.3	dill
dill	1.1.7.4.7.3	dill
dill	1.1.7.5.7.1	dill
dill	1.1.8.1.7.7	dill
dill	1.1.8.2.7.3	dill
dill	1.1.8.3.7.3	dill
dill	1.1.8.4.7.3	dill
dill	1.1.8.5.7.4	dill
dill	1.1.8.6.7.3	dill
dill	1.1.9.1.7.3	dill
dill	1.1.9.3.7.10	dill
dill	1.1.9.4.7.7	dill
dill	2.3.7.1.7.10	dill
dill	2.3.7.2.7.11	dill
dill	2.3.8.1.7.6	dill
dill	2.3.8.3.17.10	dill
dill	2.3.8.3.7.1	dill
dill	2.3.8.3.8.6	dill
dill	2.6.4.1.7.3	dill
dill	2.6.8.1.7.3	dill
dill	2.7.1.1.7.14	dill
dill	2.7.1.2.7.5	dill
dill	2.7.1.3.17.5	dill
dill	2.7.1.3.7.3	dill
dill	2.7.1.3.9.6	dill
dill	2.7.1.4.7.6	dill
dill	2.7.1.4.9.9	dill
dill	2.7.1.5.7.4	dill
dill	2.7.2.1.7.8	dill
dill	2.7.2.2.17.9	dill
dill	2.7.2.2.7.6	dill
dill	2.7.2.2.9.5	dill
dill	2.7.2.3.7.8	dill
dill	2.7.2.4.7.14	dill
dill	2.7.2.4.9.9	dill
dill	2.7.2.5.17.3	dill
dill	2.7.2.5.7.17	dill
dill	2.7.2.5.9.9	dill
dill	2.7.3.1.7.7	dill
dill	2.7.3.1.9.9	dill
dill	2.7.3.2.7.8	dill
dill	2.7.3.2.9.8	dill
dill	2.8.1.1.7.1	dill
dill	2.8.1.2.7.1	dill
dill	2.8.1.4.7.2	dill
dill	2.8.1.5.7.1	dill
dill	2.8.2.1.17.3	dill
dill	2.8.2.1.7.1	dill
dill	2.8.2.2.7.1	dill
dill	2.8.2.3.17.1	dill
dill	2.8.2.3.7.5	dill
dill	2.8.2.4.17.2	dill
dill	2.8.2.4.7.1	dill
dill	2.8.2.5.7.1	dill
dill	2.8.3.1.7.1	dill
dill	2.8.3.2.7.1	dill
dill	2.8.3.3.7.1	dill
dill	2.8.4.1.7.3	dill
dill	2.8.4.2.7.1	dill
dill	2.8.4.3.7.2	dill
dill	2.8.4.4.17.1	dill
dill	2.8.4.4.7.1	dill
dill	2.8.4.5.7.1	dill
dill	2.8.5.1.7.3	dill
dill	2.8.5.2.7.3	dill
dill	2.8.5.3.7.4	dill
dill	2.8.5.4.7.2	dill
dill	2.8.5.5.7.3	dill
dill	2.8.6.1.7.1	dill
dill	2.8.6.2.7.1	dill
dill	2.8.6.3.7.2	dill
dill	2.8.6.4.7.1	dill
dill	2.8.7.1.7.1	dill
dill	2.8.7.2.7.1	dill
dill	2.8.7.3.7.1	dill
dill	2.8.7.4.7.1	dill
dill	2.8.7.5.7.1	dill
dill	3.7.1.1.7.9	dill
dill	3.7.2.1.7.6	dill
dill	3.7.2.3.7.4	dill
dill	3.7.4.3.7.6	dill
dill	4.1.1.1.7.2	dill
dill	4.1.1.2.17.3	dill
dill	4.1.1.2.7.2	dill
dill	4.1.1.2.8.8	dill
dill	4.1.1.3.17.2	dill
dill	4.1.1.3.7.2	dill
dill	4.1.1.3.9.10	dill
dill	4.1.2.1.7.19	dill
dill	4.1.2.1.9.9	dill
dill	4.1.2.3.7.12	dill
dill	4.1.2.3.9.10	dill
dill	4.1.3.1.7.2	dill
dill	4.1.3.2.17.2	dill
dill	4.1.3.2.7.2	dill
dill	4.1.3.3.7.2	dill
dill	4.1.4.1.7.2	dill
dill	4.1.4.2.7.5	dill
dill	4.1.4.3.7.2	dill
dill	4.1.5.1.7.3	dill
dill	4.1.5.2.7.3	dill
dill	4.1.5.3.7.3	dill
dill	4.1.5.4.7.5	dill
dill	4.2.1.1.7.3	dill
dill	4.2.1.2.7.4	dill
dill	4.2.1.3.7.6	dill
dill	4.2.1.4.7.3	dill
dill	4.2.1.5.7.12	dill
dill	4.2.2.3.7.6	dill
dill	4.2.2.4.7.4	dill
dill	4.2.3.1.7.2	dill
dill	4.2.3.2.7.1	dill
dill	4.2.3.4.7.2	dill
dill	4.2.3.5.7.8	dill
dill	4.3.2.1.7.4	dill
dill	4.3.2.2.7.4	dill
dill	4.3.2.4.7.4	dill
dill	4.3.2.5.7.4	dill
dill	4.3.4.3.7.1	dill
