1.4.3 Dominican	2.2.1.3.24.19
distilled white vinegar	1.1.12.4.12.10
distilled white vinegar	1.1.5.5.12.5
distilled white vinegar	1.1.6.3.12.2
distilled white vinegar	1.1.6.4.12.2
distilled white vinegar	1.1.6.5.12.2
distilled white vinegar	1.1.6.6.12.2
distilled white vinegar	1.1.7.1.12.2
distilled white vinegar	1.1.7.2.12.2
distilled white vinegar	1.1.7.3.12.2
distilled white vinegar	1.1.7.4.12.2
distilled white vinegar	1.1.7.5.12.2
distilled white vinegar	1.1.8.1.12.5
distilled white vinegar	1.1.8.2.12.4
distilled white vinegar	1.1.8.3.12.2
distilled white vinegar	1.1.8.4.12.3
distilled white vinegar	1.1.8.5.12.6
distilled white vinegar	1.1.8.6.12.4
distilled white vinegar	1.1.9.1.12.2
distilled white vinegar	1.1.9.2.12.6
distilled white vinegar	1.1.9.3.12.2
distilled white vinegar	1.1.9.4.12.6
distilled white vinegar	1.1.9.5.12.5
distilled white vinegar	2.3.7.1.12.4
District market spring rolls, District market spring rolls, nem chợ Huyện	7.1.8.4.14.4
ditakh	3.4.1.1.18.1
ditakh	3.4.1.1.3.17
ditakh	3.4.1.3.3.6
ditakh	3.4.1.4.18.4
ditakh	3.4.1.4.3.16
ditakh juice	3.4.1.1.20.6
ditakh juice	3.4.1.3.20.3
ditakh juice	3.4.1.4.20.6
ditakh pulp	3.4.1.1.12.6
Dithmarscher Kohl	2.5.1.1.18.11
Dithmarscher Pilsener	2.5.1.1.20.8
dittany	2.7.2.5.19.1
dittany	2.7.2.5.7.1
Dividishe pomegranates	2.6.7.2.18.8
Dividishe pomegranates	2.6.7.2.3.6
divin	2.8.6.2.20.9
divina	2.5.6.2.6.22
Diwal	7.4.2.2.18.4
Diwal	7.4.2.2.6.17
diwu nior	3.4.1.1.10.6
Dixmuda	2.3.7.1.11.10
Diyala orange	4.4.2.3.18.1
Diyala pomegranate	4.4.2.3.18.2
Diyarbakir Braided Cheese, Diyarbakir Braided Cheese, Diyarbakır Örgü Peyniri	4.1.5.2.11.1
Diyarbakir Braided Cheese, Diyarbakir Braided Cheese, Diyarbakır Örgü Peyniri	4.1.5.2.18.4
Diyarbakir Lebzuniye, Diyarbakir Lebzuniye, Diyarbakır Lebzüniyesi	4.1.5.2.18.11
Diyarbakir Pebble Bread, Diyarbakir Pebble Bread, Diyarbakır Çakıl Ekmeği	4.1.5.2.1.16
Diyarbakir Pebble Bread, Diyarbakir Pebble Bread, Diyarbakır Çakıl Ekmeği	4.1.5.2.18.8
Diyarbakir Watermelon, Diyarbakir Watermelon, Diyarbakır Karpuzu	4.1.5.2.18.1
Diyarbakir Watermelon, Diyarbakir Watermelon, Diyarbakır Karpuzu	4.1.5.2.3.1
Diyarbakır Boğazkere Grape, Diyarbakır Boğazkere Grape, Diyarbakır Boğazkere Üzümü	4.1.5.2.18.5
Diyarbakır Boğazkere Grape, Diyarbakır Boğazkere Grape, Diyarbakır Boğazkere Üzümü	4.1.5.2.3.7
Diyarbakır Braided Cheese in brine, Diyarbakır Braided Cheese in brine, Diyarbakır Örgü Peyniri in brine	4.1.5.2.14.1
Diyarbakır Burma Kadayıf, Diyarbakır Burma Kadayıf, Diyarbakır Burma Kadayıfı	4.1.5.2.18.7
Diyarbakır Pasha Lavash, Diyarbakır Pasha Lavash, Diyarbakır Paşa Lavaşı	4.1.5.2.1.17
Diyarbakır Pasha Lavash, Diyarbakır Pasha Lavash, Diyarbakır Paşa Lavaşı	4.1.5.2.18.9
Diyarbakır Pasha Lavash, Diyarbakır Pasha Lavash, Diyarbakır Paşa Lavaşı	4.1.5.2.23.1
Diyarbakır Vermicelli, Diyarbakır Vermicelli, Diyarbakır Şehriyesi	4.1.5.2.1.15
Diyarbakır Vermicelli, Diyarbakır Vermicelli, Diyarbakır Şehriyesi	4.1.5.2.18.10
Djabbe	3.5.1.4.20.6
djar	3.4.1.1.18.5
Djarduk apple	9.1.5.2.15.3
Djarduk apple	9.1.5.2.17.5
Djarduk apple	9.1.5.2.3.3
djben	3.1.2.2.11.5
djindjan	3.4.2.1.20.2
djindjan	3.4.2.2.20.5
Djulis	6.5.3.1.1.5
Djulis	6.5.3.1.18.2
Djulis	6.5.3.2.1.3
Djulis	6.5.3.2.18.1
Djurdjura saffron	3.1.2.2.18.4
Dlo	1.4.5.1.16.1
Dlo	1.4.5.2.16.1
Dlo	1.4.5.3.16.1
Dlo	1.4.5.4.16.1
Dlo kokoye	1.4.5.2.16.8
Dlo kokoye	1.4.5.2.20.5
Dlo kokoye	1.4.5.3.16.7
Dlo kokoye	1.4.5.3.20.4
Dlo kokoye	1.4.5.4.16.8
Dlo kokoye	1.4.5.4.20.5
do	4.2.1.4.16.4
do	4.2.1.4.18.4
DO Alella red wine, DO Alella red wine, vi negre DO Alella	2.2.5.1.12.6
DO Alella red wine, DO Alella red wine, vi negre DO Alella	2.2.5.1.20.3
DO Alella white wine, DO Alella white wine, vi blanc DO Alella	2.2.5.1.12.4
DO Alella white wine, DO Alella white wine, vi blanc DO Alella	2.2.5.1.16.5
DO Alella white wine, DO Alella white wine, vi blanc DO Alella	2.2.5.1.20.1
DO Costers del Segre red wine, DO Costers del Segre red wine, vi negre DO Costers del Segre	2.2.5.3.12.6
DO Costers del Segre red wine, DO Costers del Segre red wine, vi negre DO Costers del Segre	2.2.5.3.16.8
DO Costers del Segre red wine, DO Costers del Segre red wine, vi negre DO Costers del Segre	2.2.5.3.20.4
DO Costers del Segre red wine, DO Costers del Segre red wine, vi negre DO Costers del Segre	2.2.5.4.12.4
DO Costers del Segre red wine, DO Costers del Segre red wine, vi negre DO Costers del Segre	2.2.5.4.16.6
DO Costers del Segre red wine, DO Costers del Segre red wine, vi negre DO Costers del Segre	2.2.5.4.20.2
DO Costers del Segre white wine, DO Costers del Segre white wine, vi blanc DO Costers del Segre	2.2.5.3.12.5
DO Costers del Segre white wine, DO Costers del Segre white wine, vi blanc DO Costers del Segre	2.2.5.3.16.7
DO Costers del Segre white wine, DO Costers del Segre white wine, vi blanc DO Costers del Segre	2.2.5.3.20.3
DO Costers del Segre white wine, DO Costers del Segre white wine, vi blanc DO Costers del Segre	2.2.5.4.12.3
DO Costers del Segre white wine, DO Costers del Segre white wine, vi blanc DO Costers del Segre	2.2.5.4.16.5
DO Costers del Segre white wine, DO Costers del Segre white wine, vi blanc DO Costers del Segre	2.2.5.4.20.1
DO Empordà red wine, DO Empordà red wine, vi negre DO Empordà	2.2.5.2.12.6
DO Empordà red wine, DO Empordà red wine, vi negre DO Empordà	2.2.5.2.16.7
DO Empordà red wine, DO Empordà red wine, vi negre DO Empordà	2.2.5.2.20.3
DO Empordà white wine, DO Empordà white wine, vi blanc DO Empordà	2.2.5.2.12.4
DO Empordà white wine, DO Empordà white wine, vi blanc DO Empordà	2.2.5.2.16.5
DO Empordà white wine, DO Empordà white wine, vi blanc DO Empordà	2.2.5.2.20.1
DO Penedès white wine, DO Penedès white wine, vi blanc DO Penedès	2.2.5.1.12.7
DO Penedès white wine, DO Penedès white wine, vi blanc DO Penedès	2.2.5.1.16.6
DO Penedès white wine, DO Penedès white wine, vi blanc DO Penedès	2.2.5.1.20.4
DO Valencia red wine, DO Valencia red wine, vi negre DO València	2.2.6.1.12.9
DO Valencia red wine, DO Valencia red wine, vi negre DO València	2.2.6.1.16.9
DO Valencia red wine, DO Valencia red wine, vi negre DO València	2.2.6.1.20.5
DO Valencia white wine, DO Valencia white wine, vi blanc DO València	2.2.6.1.12.7
DO Valencia white wine, DO Valencia white wine, vi blanc DO València	2.2.6.1.16.7
DO Valencia white wine, DO Valencia white wine, vi blanc DO València	2.2.6.1.20.3
do-the greens, do-the greens, hana-na greens	6.7.4.2.7.4
Dobera fruit	3.3.1.5.18.4
Dobera fruit	3.3.1.5.2.19
Dobera fruit	3.3.2.3.18.6
Dobera fruit	3.3.2.3.3.15
doblador	1.3.1.1.23.9
Dobrogean pie, Dobrogean pie, plăcintă dobrogeană	2.8.4.4.18.9
Dobrogean salad, Dobrogean salad, salata dobrogeană	2.8.4.4.18.3
dobrogenous caresses, dobrogenous caresses, nalangâte dobrogene	2.8.4.4.18.10
DOCa Rioja wine from Navarra, DOCa Rioja wine from Navarra, vino DOCa Rioja de Navarra	2.2.3.4.14.10
DOCa Rioja wine from Navarra, DOCa Rioja wine from Navarra, vino DOCa Rioja de Navarra	2.2.3.4.20.4
doce de muruci, doce de muruci, doce de muruci	1.7.1.2.14.13
doces cristalizados	1.7.4.2.14.12
Dock	2.9.5.4.19.5
Dock	2.9.5.4.7.4
Dock	2.9.5.4.9.3
dock leaves	4.1.1.2.2.17
dock leaves	4.1.1.2.7.9
Docmac catfish	3.2.2.2.6.13
Doctor	1.5.2.2.6.5
dodai	5.1.3.2.1.12
dodai dough	5.1.3.2.23.2
Dodo	3.6.3.4.2.10
Dodol	7.4.4.2.18.2
dodol rumput laut	7.3.3.3.14.6
doenjang	6.1.3.2.13.2
doenjang	6.1.3.4.13.1
does not murmur, does not murmur, mırmır	4.1.1.2.6.25
Dog tooth chili paste, Dog tooth chili paste, Chile diente de perro paste	1.3.1.3.13.4
dog tooth chili, dog tooth chili, Chile diente de perro	1.3.1.3.2.5
dog tooth chili, dog tooth chili, Chile diente de perro	1.3.1.3.8.9
dog tooth chili, dog tooth chili, Chile diente de perro	1.3.1.3.9.6
dog, dog, añu	1.6.2.4.1.12
dogfish	2.7.1.1.6.21
Dogfish empanada, Dogfish empanada, Empanada de cazón	1.5.3.1.18.11
Dogfish, Dogfish, Cazón	1.5.3.1.6.13
Dogfish, Dogfish, Cazón	1.5.3.4.6.3
dogfish, dogfish, cazón	1.2.3.1.6.16
dogfish, dogfish, cazón	1.2.4.1.6.17
dogfish, dogfish, cazón	1.2.4.2.6.11
dogfish, dogfish, cazón	1.2.4.3.6.13
dogfish, dogfish, cazón	1.2.4.5.6.16
dogfish, dogfish, cazón	1.2.6.1.6.12
dogfish, dogfish, cazón	1.2.6.2.6.8
dogfish, dogfish, cazón	1.2.6.3.6.15
dogfish, dogfish, cazón	1.2.7.3.6.4
dogfish, dogfish, cazón	2.2.7.2.6.12
dograma broth	8.1.5.1.13.8
dograma broth	8.1.5.3.13.3
Dogtooth tuna	3.8.4.2.6.3
dogtooth tuna	9.4.1.1.6.12
dogtooth tuna	9.4.3.2.6.14
dogtooth tuna	9.4.3.3.6.21
dogtooth tuna	9.4.4.1.6.18
dogtooth tuna	9.4.4.2.6.8
dogtooth tuna	9.5.2.2.6.10
dogtooth tuna	9.5.2.3.6.9
dogtooth tuna	9.5.3.3.6.8
dogwood	2.6.3.3.3.9
dogwood	4.2.1.1.3.11
dogwood	4.2.3.2.12.3
dogwood	4.2.3.2.18.3
dogwood	4.2.3.2.3.12
dogwood cherries	2.6.4.1.3.12
dogwood jam	2.6.3.3.13.4
dogwood jam	2.6.3.3.14.11
dogwood pulp	4.2.1.1.18.3
dogwood puree	4.2.1.1.12.9
Dogwood seed	9.1.5.3.1.7
Dogwood seed	9.1.5.3.4.3
Dogwood seed	9.1.5.3.5.5
Dogwood seed flour	9.1.5.3.1.16
Dogwood seed flour	9.1.5.3.22.3
Dogwood seed paste	9.1.5.3.11.3
Doho rice	3.6.3.2.1.17
Doho rice	3.6.3.2.18.6
Doi	5.5.1.2.11.2
Doi	5.5.1.3.11.2
Doi	5.5.5.1.11.2
Doi	5.5.5.1.16.6
doi seeds	7.1.7.2.5.5
doi seeds	7.1.7.2.8.2
Doi xaanch	5.5.5.1.22.3
Dojima cherry tomatoes	6.7.2.2.2.13
dojo	6.7.1.3.6.16
dojo	6.7.2.2.6.20
dojo	6.7.3.1.6.14
dojo	6.7.3.2.6.20
dojo	6.7.6.3.6.23
Dojran bream	2.6.9.4.6.10
Dojran carp	2.6.9.4.6.6
Dojran catfish	2.6.9.4.6.7
Dojran caviar	2.6.9.4.18.9
Dojran perch	2.6.9.4.6.8
Dojran rudd	2.6.9.4.6.9
Doka	5.5.3.1.18.11
Doka	5.5.3.1.6.5
Doka griddle	3.2.2.2.23.3
Doka griddle	3.2.2.5.23.3
Dokkan beer	2.9.5.4.20.5
Dokra pihri mushroom	5.4.5.2.2.29
Dolce di Cerchiara olives, Dolce di Cerchiara olives, olive Dolce di Cerchiara	2.4.5.4.3.41
Dolce di Rossano olive oil, Dolce di Rossano olive oil, olio di olive Dolce di Rossano	2.4.5.4.10.9
Dolce di Rossano olives, Dolce di Rossano olives, olive Dolce di Rossano	2.4.5.4.3.31
dolce sardo	2.4.7.1.11.11
Dolcetto	2.4.1.1.20.4
dole fish spice paste	7.3.5.4.13.9
Dolichos beans	3.6.1.5.4.4
Dolichos beans	9.1.4.2.4.3
Dollfus's cuttlefish	3.2.1.5.6.12
Dolly Varden	1.1.13.5.6.12
dolma	2.8.2.3.18.4
dolo	3.4.7.2.20.2
dolo	3.4.7.3.20.1
Dolphin fish	2.2.8.2.6.18
Dolphinfish	1.4.6.4.6.14
Dolphinfish, Dolphinfish, Dorade coryphène	1.4.9.1.6.10
Dolphinfish, Dolphinfish, Dorade coryphène	1.4.9.2.6.10
Dolphinfish, Dolphinfish, Dorade coryphène	1.4.9.3.6.11
Dolphinfish, Dolphinfish, Dorade coryphène	3.8.3.3.6.9
Dolsan gat kimchi	6.6.2.2.14.1
Doltok stone pot	5.7.3.1.23.3
domates	4.1.3.1.2.6
domates	4.1.3.1.9.4
Dombrés, Dombrés, Dombrés	1.4.9.2.1.23
Dombrés, Dombrés, Dombrés	1.4.9.3.1.21
Dombrés, Dombrés, Dombrés	1.4.9.3.18.8
Domed-lid griddle heat	4.5.4.1.24.3
domestic chicken	7.1.2.1.6.2
domestic melons	2.6.2.2.2.23
domestic melons	2.6.2.2.3.14
domestic onions	2.6.2.2.2.1
domestic onions	2.6.2.2.9.1
Domiati cheese	3.2.1.1.11.4
Domiati cheese	3.2.1.1.14.4
Domiati cheese	3.2.1.2.11.7
Domiati cheese	3.2.1.2.14.3
Domiati cheese	3.2.1.3.11.7
Domiati cheese	3.2.1.3.14.4
Domina	2.5.2.3.20.11
Domina-Trauben	2.5.2.3.3.16
Dominican banana, Dominican banana, Plátano dominico	1.5.5.2.1.13
dominican banana, dominican banana, plátano dominico	1.2.3.2.3.5
dominican banana, dominican banana, plátano dominico	1.2.3.3.3.2
Domplin	1.3.1.4.18.8
domplin	1.3.6.3.18.15
domplins	1.3.6.3.18.7
Domus bier	2.3.8.4.20.10
don leaves	7.1.7.2.18.7
don leaves	7.1.7.2.19.10
don leaves	7.1.7.2.2.15
don mollusks	7.1.8.4.18.4
don mollusks	7.1.8.4.6.10
Don Pedrito	1.5.2.3.3.18
Don Pedrito Juice, Don Pedrito Juice, Jugo de Don Pedrito	1.5.2.3.20.13
Dona leaves	5.4.5.1.23.3
Doña María grape, Doña María grape, uva Doña María	2.2.6.2.3.8
Donauzander	2.5.2.1.6.23
Donbas-style golyashka	2.8.2.4.18.1
Doncella	1.5.2.3.6.4
doncella	1.6.3.1.6.6
doncella	1.6.3.2.6.5
doncella	1.6.3.3.6.6
dong leaves	7.1.7.1.23.3
dong leaves	7.1.7.2.23.5
Dong oil tea	6.4.3.2.18.14
Dong oil tea	6.4.3.2.20.3
Dong sour cabbage	6.4.3.2.14.1
Dong sour cabbage brine	6.4.3.2.12.5
dongcai	6.4.1.1.14.8
dongchimi	6.6.1.1.14.1
dongchimi	6.6.1.3.14.4
dongchimi	6.6.2.5.14.6
dongchimi	6.6.3.1.14.2
dongchimi	6.6.3.2.14.2
dongchimi brine	6.6.1.1.12.2
dongchimi brine	6.6.2.1.12.4
dongchimi brine	6.6.2.2.12.6
dongchimi brine	6.6.2.3.12.5
dongchimi brine	6.6.2.4.12.4
dongchimi brine	6.6.3.1.12.5
dongchimi brine	6.6.3.2.12.6
dongchimi broth	6.6.1.1.16.6
dongchimi broth	6.6.2.5.12.3
dongchimi broth	6.6.2.5.16.8
dongchimi radish	6.6.1.1.2.4
dongchimi radish	6.6.1.3.2.4
Dongfang Loumian	6.3.5.3.18.7
Dongfang Meiren tea	6.5.1.3.20.1
Donggang strawberry	6.1.3.1.18.6
Donggang strawberry	6.1.3.1.3.4
Dongjia wild rice stem	6.2.1.4.18.9
Dongjia wild rice stem	6.2.1.4.2.1
Dongjiu	6.4.3.3.20.14
Dongkui bayberry	6.2.1.1.3.5
Donglan black rice	6.3.2.3.1.5
Donglan black rice	6.3.2.3.18.1
Dongming aromatic tripe	6.1.2.3.14.4
Dongming watermelon	6.1.2.3.3.7
Dongning black fungus	6.1.3.3.18.10
Dongning black fungus	6.1.3.3.2.21
Dongping dried fish	6.3.1.4.14.6
Dongping Lake carp	6.1.2.2.18.13
Dongping Lake carp	6.1.2.2.6.15
Dongping Lake ma duck	6.1.2.2.6.11
Dongping Lake prawn	6.1.2.2.18.14
Dongping Lake prawn	6.1.2.2.6.16
Dongping shrimp paste	6.3.1.4.13.6
Dongping shrimp paste	6.3.1.4.14.3
Dongshan abalone	6.3.3.4.18.8
Dongshan abalone	6.3.3.4.6.9
Dongshan goat	6.3.5.2.18.4
Dongshan goat	6.3.5.2.6.3
Dongshan oranges	6.2.1.1.3.17
Dongshan White Jade loquats	6.2.2.2.3.5
Dongting tangerine	6.2.1.4.3.11
Dongxihu grapes	6.2.3.1.3.3
Dongxing cinnamon	6.3.2.4.18.9
Dongxing cinnamon	6.3.2.4.19.7
Dongxing cinnamon	6.3.2.4.8.7
dongxing pepper	6.4.1.3.2.4
Donkey banana, Donkey banana, Plátano burro	1.4.1.2.1.7
Donkey banana, Donkey banana, Plátano burro	1.4.1.3.1.8
donkey broth	6.1.1.3.16.6
donkey helmet, donkey helmet, casco de burro	1.3.3.3.18.11
donkey helmet, donkey helmet, casco de burro	1.3.3.3.6.27
donkey helmet, donkey helmet, casco de burro	1.3.3.4.18.12
donkey helmet, donkey helmet, casco de burro	1.3.3.4.6.21
donkey helmet, donkey helmet, casco de burro	1.3.4.5.18.14
donkey helmet, donkey helmet, casco de burro	1.3.4.5.6.15
donkey helmet, donkey helmet, casco de burro	1.3.5.1.6.40
donkey meat	6.1.1.3.6.1
donkey meat	6.1.2.3.6.10
donkey meat	6.1.4.1.6.6
donkey milk, donkey milk, Leche de burra	1.5.3.1.20.9
donkey white prickly pear, donkey white prickly pear, tuna blanca burrón	1.2.1.5.3.4
Donnas	2.4.1.3.20.8
Donnerskirchner Herzkirsche	2.5.3.2.3.7
donut dough, donut dough, çörek dough	8.1.5.1.23.1
donut dough, donut dough, çörek dough	8.1.5.2.23.3
donut dough, donut dough, çörek dough	8.1.5.3.23.1
donut dough, donut dough, çörek dough	8.1.5.4.23.2
donut dough, donut dough, Masa de rosquilla	1.3.5.2.18.6
donut peaches	6.2.2.2.3.2
Donuts in honey, Donuts in honey, Rosquillas en miel	1.3.4.5.14.3
Donuts in honey, Donuts in honey, Rosquillas en miel	1.3.5.4.14.9
donuts, donuts, papanași	2.8.4.1.18.11
donuts, donuts, papanași	2.8.4.2.18.13
Doodh	5.5.1.1.11.1
Doodh	5.5.1.1.16.2
Doodh	5.5.1.2.11.1
Doodh	5.5.1.2.16.2
Doodh	5.5.3.1.11.1
Doodh	5.5.3.1.16.2
Doodh	5.5.3.1.20.5
Doodh	5.5.3.2.11.1
Doodh	5.5.3.2.16.2
Doodh	5.5.3.3.11.1
Doodh	5.5.3.3.16.2
Doodh	5.5.3.4.11.1
Doodh	5.5.3.4.16.2
Doodh	5.5.4.1.11.1
Doodh	5.5.4.1.16.5
Doodh	5.5.4.2.11.1
Doodh	5.5.4.2.16.4
Doodh	5.5.4.3.11.1
Doodh	5.5.4.3.16.4
Doodh chai	5.5.3.2.20.2
Doodh chai	5.5.3.3.20.2
Doodh chai	5.5.3.4.20.2
Doodh chai	5.5.4.3.20.5
doodh patti	5.2.1.1.20.6
doodh patti	5.2.1.3.20.7
doodh patti	5.2.1.4.20.7
doodh patti	5.2.2.2.20.6
doodh patti	5.2.2.3.20.6
doodh patti	5.2.3.1.20.3
doodh patti	5.2.3.2.20.3
doodh soda	5.2.1.1.20.5
doodh soda	5.2.2.1.20.7
Doodo	3.6.3.1.2.11
Doodo	3.6.3.2.2.10
Doodo	3.6.3.3.2.10
doogh	4.4.4.2.11.3
doogh	4.4.4.2.14.2
doogh	4.4.4.2.16.3
doogh	4.4.4.2.20.3
doogh	4.4.4.3.11.6
doogh	4.4.4.3.16.3
doogh	4.4.4.3.20.4
doogh	4.6.1.1.20.5
doogh	4.6.1.2.11.3
doogh	4.6.1.2.16.4
doogh	4.6.1.2.20.2
doogh	4.6.1.3.11.5
doogh	4.6.1.3.14.12
doogh	4.6.1.3.16.4
doogh	4.6.1.3.20.2
doogh	4.6.2.1.11.4
doogh	4.6.2.1.16.4
doogh	4.6.2.1.20.3
doogh	4.6.2.2.11.4
doogh	4.6.2.2.16.4
doogh	4.6.2.2.20.2
doogh	4.6.2.3.11.3
doogh	4.6.2.3.16.4
doogh	4.6.2.3.20.2
doogh	4.6.3.1.11.5
doogh	4.6.3.1.16.4
doogh	4.6.3.1.20.2
doogh	4.6.3.2.11.3
doogh	4.6.3.2.14.4
doogh	4.6.3.2.16.3
doogh	4.6.3.2.20.1
doogh	4.6.3.3.11.6
doogh	4.6.3.3.16.3
doogh	4.6.3.3.20.1
doogh	4.6.4.2.11.3
doogh	4.6.4.2.16.4
doogh	4.6.4.2.20.2
doogh	4.6.4.3.11.4
doogh	4.6.4.3.16.4
doogh	4.6.4.3.20.3
doogh	4.6.5.1.11.3
doogh	4.6.5.1.20.3
doogh	4.6.5.2.11.3
doogh	4.6.5.2.16.3
doogh	4.6.5.2.20.2
doogh	4.6.5.3.11.3
doogh	4.6.5.3.16.4
doogh	4.6.5.3.20.3
doogh	5.1.1.1.20.6
doogh	5.1.1.2.20.5
doogh	5.1.1.3.11.11
doogh	5.1.1.3.14.4
doogh	5.1.1.3.20.5
doogh	5.1.1.4.11.5
doogh	5.1.1.4.14.1
doogh	5.1.1.4.18.8
doogh	5.1.1.4.19.7
doogh	5.1.1.4.20.5
doogh	5.1.1.5.20.3
doogh	5.1.2.1.11.3
doogh	5.1.2.1.14.2
doogh	5.1.2.1.20.4
doogh	5.1.2.2.11.3
doogh	5.1.2.2.14.2
doogh	5.1.2.2.20.5
doogh	5.1.2.3.11.3
doogh	5.1.2.3.12.2
doogh	5.1.2.3.14.3
doogh	5.1.2.3.16.3
doogh	5.1.2.3.20.5
doogh	5.1.3.1.20.6
doogh	5.1.3.2.11.4
doogh	5.1.3.2.14.5
doogh	5.1.3.2.16.9
doogh	5.1.3.2.20.6
doogh	5.1.3.3.11.4
doogh	5.1.3.3.12.2
doogh	5.1.3.3.16.4
doogh	5.1.3.3.20.4
Doon chetin	5.3.1.1.13.2
Doppelkorn	2.5.1.1.20.10
dorada	2.2.6.3.6.20
dorada	2.2.7.2.6.10
dorada	2.2.7.3.6.11
dorada	2.2.7.4.6.21
dorade	3.4.1.1.6.3
dorade	3.4.1.3.6.5
Dorade mabundu	3.5.4.1.6.7
Dorado	1.4.2.4.6.9
Dorado	1.4.3.4.6.15
Dorado	1.5.5.1.6.5
Dorado	1.5.5.2.6.5
Dorado	1.5.5.4.6.6
Dorado	1.8.1.3.6.14
Dorado	1.8.1.5.6.3
Dorado	1.8.2.2.6.14
Dorado	1.8.6.1.6.15
Dorado	1.8.6.2.6.16
Dorado	1.8.6.3.6.13
dorado	1.2.4.3.6.7
dorado	1.2.4.4.6.5
dorado	1.3.1.2.6.32
dorado	1.3.6.2.6.34
dorado	1.3.6.4.6.17
dorado	1.6.3.1.6.7
dorado	1.6.3.3.6.7
dorado	1.6.5.3.6.13
Dornfelder grapes	2.3.7.2.3.8
Dornfelder grapes	2.3.8.3.3.37
Dornfelder grapes	2.5.2.4.18.41
Dorrigo pepperberry	9.1.2.1.8.1
Dorrigo pepperberry	9.1.2.1.9.4
Dorrigo pepperberry paste	9.1.2.1.19.2
Dorsch	2.5.1.1.6.11
Dorsch	2.5.1.3.6.2
Dorset Blue Cheese	2.1.1.4.11.10
Dorset Blue Cheese	2.1.1.4.14.18
Dorset Blue Cheese	2.1.1.4.18.8
Dosa batter	5.6.2.1.14.2
Dosa batter	5.6.2.2.14.2
Dosa batter	5.6.2.3.14.2
Dosa batter	5.6.2.4.14.2
Dosa batter	5.6.2.5.14.2
Dosa batter	5.6.3.2.14.2
Dosa batter	5.6.3.3.14.2
Dosa batter	5.6.3.4.14.2
Dosa batter	5.6.4.1.14.2
Dosa batter	5.6.4.2.14.2
Dosa batter	5.6.4.3.14.2
Dosa batter	5.6.5.1.14.2
Dosa batter	5.6.5.2.14.2
Dosa batter	5.6.5.3.14.2
doshab	4.2.3.5.13.5
dou si	6.2.3.1.1.11
Doubanjiang	6.8.2.1.13.2
doubanjiang	6.4.1.2.13.9
doubanjiang	6.4.1.3.13.3
doubanjiang	6.4.3.3.13.8
Doubao leaves	3.5.1.4.2.5
Doubao leaves	3.5.1.4.7.3
Doubao-peanut-beans sauce	3.5.1.4.13.7
Double cream	2.3.1.4.11.3
Double cream	2.3.3.2.11.4
Double cream	2.3.5.1.11.5
Double cream	2.5.4.2.10.13
Double cream	2.5.4.2.11.19
double cream	2.1.1.1.11.3
double cream	2.1.1.2.10.8
double cream	2.1.1.2.11.3
double cream	2.1.1.3.10.9
double cream	2.1.1.3.11.3
double cream	2.1.1.4.10.7
double cream	2.1.1.4.11.3
double cream	2.1.1.5.10.9
double cream	2.1.1.5.11.3
double cream	2.1.2.1.10.8
double cream	2.1.2.1.11.3
double cream	2.1.2.2.10.8
double cream	2.1.2.2.11.3
double cream	2.1.2.3.10.6
double cream	2.1.2.3.11.3
double cream	2.1.2.3.16.6
double cream	2.1.2.4.10.5
double cream	2.1.2.4.11.3
Double cream, Double cream, Crème double	2.3.3.1.11.4
Double roti	5.6.5.1.18.10
double smoked salmon	2.1.2.4.14.4
double-baked rusks	2.7.2.1.1.6
double-distilled rosewater	4.6.2.3.18.2
double-skin milk	6.1.1.1.11.5
Doucan tofu sticks	6.2.4.4.11.9
Doucan tofu sticks	6.2.4.4.18.9
douchi	6.4.1.1.13.9
douchi	6.4.1.2.13.8
douchi	6.4.1.3.13.4
doufunao	6.1.1.1.18.14
dough atole, dough atole, atole de masa	1.2.3.1.20.1
dough atole, dough atole, atole de masa	1.2.7.3.20.9
Dough nuts, Dough nuts, Nuégados de masa	1.3.3.2.18.5
dough pegs, dough pegs, uštipci dough	2.6.4.2.1.12
dough seal	3.1.3.4.23.6
dough sheets	2.6.5.3.1.8
dough sheets	2.6.5.3.23.1
dough sheets	2.6.7.2.23.3
dough sheets, dough sheets, listarići dough	2.6.4.3.23.1
dough water, dough water, Agua de masa	1.3.1.3.20.3
Douglas fir tips	9.2.3.4.7.3
douhua	6.4.1.1.11.5
douhua	6.4.2.1.11.8
douhua dipping sauce	6.4.1.3.13.7
Doum drink	3.2.1.4.20.3
Doum fruit	3.2.1.4.18.3
Doum fruit	3.2.1.4.19.10
Doum fruit	3.2.1.4.3.15
Doum fruit	3.2.2.2.19.6
Doum fruit	3.2.2.3.18.8
Doum fruit	3.2.2.3.3.16
Doum molasses	3.3.2.3.15.4
Doum palm basket	3.3.2.3.23.6
Doum palm fruit	3.3.2.3.18.1
Doum palm fruit	3.3.2.3.3.10
Doum palm kernels	3.3.2.3.18.2
Doum palm shoots	3.3.2.3.7.2
doupi bean skin	6.2.3.1.23.3
dourada	1.7.1.2.6.5
douradinha	1.7.1.2.6.6
dourado	1.7.3.1.6.5
dourado	1.7.4.4.6.7
dourado	1.7.6.3.6.3
Douro almond, Douro almond, amêndoa Douro	2.2.1.2.5.1
Douro DOC branco	2.2.1.2.20.5
Douro DOC tinto	2.2.1.2.20.4
Douro wine, Douro wine, vinho do Douro	2.2.1.2.16.3
