Aal | 2.5.1.1.6.15
cação | 2.2.1.4.6.44
cação | 2.2.1.5.6.25
Cachama | 1.5.3.5.6.5
cachara | 1.7.6.3.6.5
cachema | 1.6.1.1.6.2
cacholeira branca de Portalegre IGP | 2.2.1.4.6.23
cachucha | 2.2.2.2.6.13
cadera de chivo | 1.2.5.2.6.2
Caillette | 2.3.5.3.6.8
Caillette de Vernoux | 2.3.5.3.6.9
caite | 1.3.3.4.6.29
Calamar | 1.5.2.3.6.17
Calamar | 1.5.3.1.6.20
Calamar | 1.5.5.2.6.14
Calamar | 1.5.5.3.6.13
Calamar | 1.5.5.4.6.12
Calamar | 1.8.1.1.6.20
Calamar | 1.8.1.6.6.26
calamar | 1.2.1.1.6.23
calamar | 1.2.4.1.6.16
calamar | 1.2.6.2.6.17
calamar | 1.2.6.3.6.17
calamar | 1.3.1.4.6.30
calamar | 1.3.3.3.6.32
calamar | 1.3.3.4.6.25
calamar | 1.3.6.4.6.27
calamar | 1.3.7.1.6.24
calamar | 1.3.7.2.6.19
calamar | 1.6.1.2.6.16
calamar | 1.6.1.3.6.12
calamar | 2.2.2.3.6.28
calamar | 2.2.2.4.6.13
calamar | 2.2.3.1.6.16
calamar | 2.2.3.2.6.18
calamar | 2.2.5.2.6.19
calamar | 2.2.6.1.6.16
calamar | 2.2.6.2.6.22
calamar | 2.2.6.3.6.35
calamar | 2.2.7.2.6.17
calamar | 2.2.7.3.6.12
calamar | 2.2.7.4.6.32
calamar d'Arenys | 2.2.5.1.6.8
calamar gigante | 1.2.1.2.6.19
calamari | 2.4.1.2.6.30
calamari | 2.7.1.1.6.23
calamari | 3.1.1.1.6.10
calamari | 3.7.2.3.6.19
calamari | 4.3.1.4.6.11
calamari | 4.3.1.5.6.8
calamaro | 2.4.2.4.6.13
calamaro | 2.4.4.3.6.13
calamaro | 2.4.6.1.6.12
calamaro | 2.4.6.2.6.13
calamaro | 2.4.7.1.6.19
calamaro | 2.4.7.2.6.24
calamaro | 2.4.7.4.6.15
calamita del Lago di Fondi | 2.4.4.3.6.20
Calbasu | 5.3.4.2.6.9
Calbasu | 5.3.5.2.6.9
Calbasu | 5.3.5.3.6.12
Calbasu | 5.3.5.4.6.13
calf liver | 4.1.1.1.6.30
California halibut | 1.1.10.2.6.7
California halibut | 1.1.10.4.6.4
California halibut | 1.1.10.5.6.6
California mussels | 1.1.10.1.6.14
California mussels | 1.1.10.4.6.22
California scorpionfish | 1.1.10.4.6.16
California sheephead | 1.1.10.4.6.15
California spiny lobster | 1.1.10.4.6.1
California spiny lobster | 1.1.10.5.6.1
Callo | 1.5.1.3.6.8
callo de hacha | 1.2.1.1.6.20
callo de hacha | 1.2.1.2.6.14
callo de hacha | 1.2.4.1.6.15
Callo de res | 1.5.1.2.6.4
callos de ternera | 2.2.4.3.6.21
caltaboș | 2.8.4.5.6.6
camarão | 1.7.2.3.6.9
camarão | 1.7.3.2.6.4
camarão | 1.7.4.2.6.15
camarão | 1.7.5.2.6.9
camarão | 1.7.5.3.6.19
camarão aviú | 1.7.1.2.6.19
camarão branco | 1.7.4.1.6.12
camarão branco | 1.7.4.4.6.11
camarão caiçara | 1.7.5.1.6.15
camarão da costa | 2.2.1.1.6.38
camarão da costa | 2.2.1.3.6.26
camarão fresco | 1.7.2.4.6.1
camarão fresco | 1.7.3.1.6.2
camarão regional | 1.7.1.1.6.17
camarão regional | 1.7.1.2.6.16
camarão rosa | 1.7.1.2.6.17
camarão rosa | 1.7.4.1.6.13
camarão seco | 1.7.1.1.6.16
camarão seco | 1.7.1.4.6.9
camarão seco | 1.7.2.4.6.2
camarão seco | 1.7.3.1.6.1
camarão seco | 1.7.3.2.6.5
camarão seco salgado | 1.7.1.2.6.18
camarão sete-barbas | 1.7.1.4.6.8
camarão sete-barbas | 1.7.4.1.6.11
camarão sete-barbas | 1.7.4.4.6.10
camarão-cinza | 1.7.1.4.6.7
camarão-rosa | 1.7.1.4.6.6
Camargue bull meat | 2.3.6.3.6.2
Camarón | 1.4.1.1.6.15
Camarón | 1.4.1.2.6.14
Camarón | 1.4.1.3.6.11
Camarón | 1.4.1.4.6.6
Camarón | 1.4.2.1.6.10
Camarón | 1.4.2.3.6.13
Camarón | 1.4.2.5.6.12
Camarón | 1.4.3.2.6.9
Camarón | 1.4.3.4.6.11
Camarón | 1.5.2.1.6.12
Camarón | 1.5.2.3.6.9
Camarón | 1.5.2.4.6.12
Camarón | 1.5.3.1.6.22
Camarón | 1.5.3.4.6.9
Camarón | 1.5.5.1.6.7
Camarón | 1.5.5.2.6.8
Camarón | 1.5.5.3.6.3
Camarón | 1.5.5.4.6.9
Camarón | 1.8.3.3.6.22
camarón | 1.2.1.4.6.7
camarón | 1.2.3.1.6.9
camarón | 1.2.3.2.6.13
camarón | 1.2.3.3.6.9
camarón | 1.2.3.4.6.6
camarón | 1.2.4.1.6.1
camarón | 1.2.4.2.6.1
camarón | 1.2.4.3.6.1
camarón | 1.2.4.4.6.14
camarón | 1.2.4.5.6.10
camarón | 1.3.6.2.6.21
camarón | 1.3.6.4.6.29
camarón | 1.3.7.1.6.22
camarón | 1.3.7.2.6.18
camarón | 1.3.7.3.6.7
camarón | 1.3.7.4.6.3
camarón | 2.2.2.1.6.22
camarón | 2.2.7.2.6.20
camarón azul | 1.2.1.2.6.9
camarón azul | 1.3.5.1.6.35
camarón blanco | 1.2.1.1.6.10
camarón blanco | 1.2.1.2.6.10
camarón blanco | 1.2.6.2.6.18
camarón blanco | 1.3.1.2.6.14
camarón blanco | 1.3.1.4.6.22
camarón blanco | 1.3.4.4.6.16
camarón blanco | 1.3.4.5.6.20
camarón blanco | 1.3.5.1.6.34
camarón blanco | 1.3.6.2.6.20
camarón café | 1.2.1.2.6.11
camarón café | 1.3.1.4.6.23
camarón café | 1.3.4.4.6.17
camarón café | 1.3.4.5.6.21
camarón cristal | 1.2.1.2.6.12
camarón de agua dulce | 1.3.3.3.6.30
camarón de agua dulce | 1.3.5.3.6.28
camarón de las marismas | 2.2.7.1.6.16
camarón de mar | 1.3.3.3.6.29
Camarón de río | 1.5.5.2.6.9
Camarón de río | 1.5.5.3.6.4
camarón de río | 1.2.7.3.6.10
camarón de río | 1.3.5.1.6.36
camarón de río | 1.6.1.3.6.13
Camarón de Rocha | 1.8.2.3.6.7
camarón fresco | 1.2.5.1.6.13
camarón fresco | 1.2.5.4.6.3
camarón fresco | 1.2.5.5.6.6
camarón fresco | 1.2.7.3.6.8
camarón fresco | 1.3.5.3.6.22
camarón jumbo | 1.3.1.2.6.15
camarón marino | 1.3.3.4.6.17
camarón rosado | 1.2.6.1.6.14
camarón rosado | 1.2.6.3.6.16
camarón rosado | 1.3.4.4.6.18
camarón rosado | 1.3.4.5.6.22
Camarón seco | 1.5.2.1.6.13
camarón seco | 1.2.4.2.6.2
camarón seco | 1.2.4.3.6.2
camarón seco | 1.2.5.2.6.11
camarón seco | 1.2.5.4.6.4
camarón seco | 1.2.5.5.6.7
camarón seco | 1.2.7.3.6.9
camarón seco | 1.3.5.3.6.23
camarón siete barbas | 1.2.6.2.6.19
camarón tigre | 1.3.1.4.6.24
Camaroncillo | 1.3.1.3.6.5
camarones de río | 1.3.6.3.6.24
camarones secos | 1.3.6.3.6.23
cambute | 1.3.6.4.6.28
Camel | 4.5.1.1.6.4
Camel blood | 3.6.1.5.6.10
Camel meat | 3.2.1.4.6.10
Camel meat | 3.2.1.5.6.1
Camel meat | 3.2.2.2.6.5
Camel meat | 3.2.2.3.6.5
Camel meat | 3.2.2.4.6.1
Camel meat | 3.3.1.5.6.2
Camel meat | 3.3.2.3.6.4
Camel meat | 3.3.3.1.6.1
Camel meat | 3.3.3.2.6.1
Camel meat | 3.6.1.5.6.1
Camel meat | 4.5.2.1.6.4
Camel meat | 4.5.2.2.6.7
Camel meat | 4.5.5.2.6.5
Camel meat | 4.5.5.3.6.1
Camel meat | 4.5.6.1.6.17
Camel meat | 4.5.6.2.6.1
Camel meat | 6.8.1.2.6.3
Camel meat | 6.8.2.3.6.4
Camel meat | 9.1.4.3.6.8
camel meat | 3.1.1.4.6.1
camel meat | 3.1.2.4.6.1
camel meat | 3.1.3.4.6.1
camel meat | 3.1.4.1.6.5
camel meat | 3.1.4.2.6.5
camel meat | 3.1.4.3.6.1
camel meat | 3.4.7.1.6.1
camel meat | 5.1.3.3.6.5
camel meat | 5.2.1.3.6.7
camel meat | 5.2.2.4.6.4
camel meat | 5.2.4.1.6.8
camel meat | 5.2.4.3.6.3
camel meat | 6.1.4.3.6.9
camel meat | 8.1.1.2.6.4
camel meat | 8.1.1.3.6.4
camel meat | 8.1.3.5.6.4
camel meat | 8.1.5.1.6.4
camel meat | 8.1.5.3.6.3
camel meat | 8.1.5.4.6.4
Camel milk | 3.6.1.5.6.7
Çameli trout | 4.1.2.3.6.19
camoscio | 2.4.1.3.6.21
camoscio | 2.4.2.2.6.27
camoscio | 2.4.2.3.6.20
camurim | 1.7.2.3.6.3
cañaílla | 2.2.7.2.6.27
Canard à foie gras du Sud-Ouest | 2.3.4.1.6.1
canary rockfish | 1.1.11.1.6.10
candát | 2.5.5.1.6.7
candát | 2.5.5.2.6.7
candát | 2.5.6.1.6.21
canestrelli | 2.4.2.1.6.12
cangreja | 1.3.6.4.6.25
Cangrejo | 1.4.1.2.6.17
Cangrejo | 1.4.1.4.6.8
Cangrejo | 1.4.3.2.6.12
Cangrejo | 1.4.3.4.6.9
Cangrejo | 1.5.3.1.6.23
Cangrejo | 1.5.5.2.6.10
Cangrejo | 1.5.5.4.6.14
cangrejo | 1.2.3.4.6.8
cangrejo | 1.2.6.2.6.21
cangrejo | 1.3.1.4.6.27
cangrejo | 1.3.3.4.6.22
cangrejo | 1.3.6.4.6.24
cangrejo | 1.3.7.4.6.8
cangrejo | 1.6.1.1.6.12
cangrejo | 1.6.1.2.6.19
cangrejo | 1.6.5.4.6.25
cangrejo apretador | 1.3.3.4.6.23
cangrejo araña | 1.3.7.3.6.11
Cangrejo azul | 1.5.2.3.6.13
Cangrejo azul | 1.5.5.3.6.9
cangrejo azul | 1.3.4.2.6.24
cangrejo azul | 1.3.6.3.6.7
cangrejo de bosque azul | 1.3.5.3.6.24
cangrejo de lago | 1.3.3.1.6.22
Cangrejo de río | 1.5.3.5.6.7
cangrejo gigante | 1.3.4.4.6.19
cangrejo moro | 1.2.4.4.6.19
Cangrejo negro | 1.5.2.2.6.11
Cangrejo rojo | 1.5.5.3.6.10
cangrejo rojo | 1.3.4.5.6.19
cangrejo rojo | 2.2.7.1.6.17
Cangrejo rojo del manglar | 1.5.5.1.6.8
Cangrejo sirí | 1.8.2.3.6.8
cangrexo | 2.2.2.1.6.27
Canned corned beef | 9.3.1.1.6.7
Canned corned beef | 9.3.1.3.6.20
Canned corned beef | 9.3.1.4.6.12
Canned corned beef | 9.3.3.2.6.24
Canned corned beef | 9.3.5.4.6.9
canned corned beef | 9.5.6.1.6.7
Canned meat loaf | 9.3.1.1.6.8
Canned meat loaf | 9.3.1.3.6.21
Canned meat loaf | 9.3.1.4.6.13
canned tuna | 9.5.6.1.6.8
canned tuna | 9.5.6.3.6.22
cannolicchi | 2.4.3.3.6.10
canocchia | 2.4.2.4.6.7
canocchie | 2.4.2.2.6.24
canocchie | 2.4.3.3.6.11
canocchie | 2.4.4.3.6.19
canoce | 2.4.2.1.6.11
cansalada | 2.2.5.3.6.2
cansalada | 2.2.5.4.6.6
Canterbury lamb | 9.2.3.1.6.1
canyut | 2.2.6.4.6.17
Caoxian roast beef | 6.1.2.3.6.15
caparari | 1.7.1.1.6.11
caparossoli | 2.4.2.1.6.9
Cape hake | 3.7.1.7.6.18
Cape hake | 3.7.2.3.6.1
Cape horse mackerel | 3.7.2.3.6.7
capelunghe | 2.4.2.1.6.13
Capercaillie | 2.9.3.3.6.7
capicollo | 2.4.5.1.6.15
Capitaine | 3.5.2.2.6.1
Capitaine | 3.5.2.3.6.1
Capitaine | 3.5.3.1.6.3
Capitaine | 3.5.3.2.6.2
Capitaine | 3.5.4.2.6.4
Capitaine | 3.5.4.6.6.3
Capitaine | 3.5.5.3.6.3
Capitaine | 3.8.2.2.6.2
capitaine | 3.4.1.1.6.2
capitaine | 3.4.1.2.6.2
capitaine | 3.4.1.3.6.3
Capitaine blanc | 3.5.4.1.6.4
Capitaine noir | 3.5.4.1.6.5
capó del Prat | 2.2.5.1.6.2
capocollo | 2.4.3.2.6.4
capocollo | 2.4.3.3.6.27
capocollo | 2.4.4.2.6.9
capocollo | 2.4.6.3.6.19
capocollo | 2.4.7.1.6.7
capocollo | 2.4.7.2.6.7
capocollo | 2.4.7.3.6.14
Capocollo di Calabria DOP | 2.4.5.4.6.5
capocollo di Cinta Senese | 2.4.3.1.6.9
capocollo di suino nero dei Nebrodi | 2.4.6.2.6.19
Capon | 2.3.1.1.6.9
capon | 2.8.1.2.6.7
capón de Vilalba | 2.2.2.2.6.16
cappasanta | 2.4.2.4.6.14
cappone | 2.4.1.2.6.33
capra | 2.4.6.3.6.8
capra | 2.4.7.3.6.5
Capra Capestrina | 2.4.4.2.6.19
capra girgentana | 2.4.6.1.6.17
Capra Grigia Ciociara | 2.4.4.2.6.18
capretto | 2.4.1.2.6.16
capretto | 2.4.4.2.6.21
capretto | 2.4.6.2.6.28
capretto | 2.4.6.3.6.6
capretto | 2.4.7.1.6.3
capretto | 2.4.7.2.6.3
capretto | 2.4.7.3.6.3
capretto | 2.5.4.3.6.17
Caprino | 1.8.3.2.6.3
caprino | 2.4.2.2.6.29
capriolo | 2.4.2.2.6.26
capriolo | 2.4.2.3.6.19
carabao | 9.4.3.3.6.6
Carabao meat | 7.4.1.1.6.6
Carabao meat | 7.4.1.2.6.12
Carabao meat | 7.4.1.3.6.9
Carabao meat | 7.4.1.5.6.7
Carabao meat | 7.4.2.1.6.9
Carabao meat | 7.4.2.2.6.5
Carabao meat | 7.4.2.3.6.6
Carabao meat | 7.4.3.1.6.7
Carabao meat | 7.4.3.2.6.7
Carabao meat | 7.4.3.4.6.11
Carabao meat | 7.4.4.1.6.9
Carabao meat | 7.4.4.2.6.4
Carabeef | 7.4.1.5.6.1
carachama | 1.6.3.1.6.8
carachama | 1.6.3.3.6.5
carachi amarillo | 1.6.2.4.6.13
carachi gris | 1.6.2.4.6.14
Caracol | 1.5.2.3.6.18
caracol | 1.2.6.3.6.19
caracol | 1.3.7.3.6.9
caracol | 1.6.3.2.6.7
caracol | 2.2.3.3.6.21
caracol chino | 1.2.1.2.6.23
caracol colorado | 1.3.1.3.6.19
Caracol de mar | 1.5.2.1.6.15
caracol de río | 1.2.3.4.6.9
caracol de río | 1.2.7.2.6.2
caracol gigante | 1.3.4.4.6.14
Caracol marino | 1.5.3.1.6.18
caracol marino | 1.2.1.1.6.22
Caracol pala | 1.5.2.2.6.9
caracol reina | 1.3.4.2.6.20
caracol reina | 1.3.5.3.6.25
caracol rosado | 1.2.6.3.6.18
caracol serrano | 2.2.6.3.6.44
caracoles | 1.2.2.5.6.16
caracolillos | 2.2.2.4.6.28
Caramote prawn | 3.5.1.1.6.3
caramote prawn | 3.1.3.4.6.17
Carangid | 5.6.2.5.6.4
Carangue | 3.8.2.2.6.5
caranguejo | 1.7.1.2.6.20
caranguejo | 1.7.2.4.6.6
caranguejo | 1.7.3.1.6.11
caranguejo | 1.7.5.1.6.19
caranguejo desfiado | 1.7.4.4.6.15
caranguejo-uçá | 1.7.1.4.6.10
caranguejo-uçá | 1.7.2.3.6.12
caranguejo-uçá | 1.7.3.2.6.10
caranha | 1.7.1.3.6.9
caranha | 1.7.6.1.6.17
carapau | 2.2.1.4.6.48
carapau | 2.2.1.5.6.18
cargol punxenc de Vilanova | 2.2.5.1.6.6
Caribbean spiny lobster | 1.3.2.1.6.29
Caribbean spiny lobster | 1.3.2.3.6.20
Caribou | 1.1.13.6.6.23
caribou | 1.1.13.5.6.19
Carimbatá | 1.8.6.1.6.16
Carimbatá | 1.8.6.2.6.15
Carimbatá | 1.8.6.3.6.22
Carite | 1.4.6.1.6.10
Carite | 1.4.6.2.6.10
Carite | 1.4.6.3.6.18
Carite | 1.4.6.4.6.10
Carite | 1.5.3.1.6.6
Carnalentejana DOP | 2.2.1.4.6.38
Cârnați de Pleșcoi | 2.8.4.2.6.26
carne ahumada | 1.3.5.3.6.29
carne ahumada | 1.3.6.3.6.17
carne ahumada | 1.6.5.3.6.3
Carne asada | 1.2.1.6.6.5
carne Barrosã | 2.2.1.1.6.21
carne bovina | 1.7.1.1.6.20
carne bovina | 1.7.1.3.6.14
carne bovina | 1.7.2.1.6.9
carne bovina | 1.7.2.2.6.5
carne bovina | 1.7.3.3.6.4
carne bovina | 1.7.3.4.6.5
carne bovina | 1.7.4.1.6.20
carne bovina | 1.7.4.2.6.16
carne bovina | 1.7.4.3.6.3
carne bovina | 1.7.5.3.6.1
carne bovina | 1.7.5.4.6.1
carne bovina | 1.7.6.1.6.5
carne bovina | 1.7.6.2.6.9
carne bovina | 1.7.6.3.6.14
carne bovina | 1.7.6.4.6.3
carne bovina | 2.4.6.3.6.3
carne bovina | 2.4.7.3.6.8
carne bovina dell'Alto Adige | 2.4.2.3.6.3
carne bovina modicana | 2.4.6.2.6.25
carne bovina moída fresca | 1.7.5.1.6.1
carne bovina podolica | 2.4.5.3.6.6
carne bufalina | 2.4.5.1.6.1
carne caprina | 1.7.3.4.6.6
carne caprina | 1.7.6.4.6.5
carne caprina | 2.4.5.3.6.8
Carne caprina calabrese | 2.4.5.4.6.1
carne caprina dell'Alto Adige | 2.4.2.3.6.7
Carne de alpaca | 1.8.3.1.6.2
Carne de Ávila | 2.2.4.1.6.6
carne de bode | 1.7.2.1.6.4
carne de bode | 1.7.3.3.6.6
Carne de cabrito | 1.8.1.3.6.3
carne de cabrito | 1.7.2.1.6.5
carne de Cantabria | 2.2.2.3.6.2
Carne de cerdo | 1.5.1.1.6.6
Carne de cerdo | 1.5.1.2.6.5
Carne de cerdo | 1.5.1.3.6.11
Carne de cerdo | 1.8.1.3.6.7
carne de cerdo | 1.2.5.2.6.4
carne de cerdo | 1.2.7.3.6.18
carne de cerdo | 1.2.7.4.6.1
carne de cerdo | 1.3.1.1.6.19
carne de cerdo | 1.3.1.2.6.41
carne de cerdo | 1.3.1.3.6.24
carne de cerdo | 1.3.1.4.6.34
carne de cerdo | 1.3.1.5.6.18
carne de cerdo | 1.3.3.1.6.16
carne de cerdo | 1.3.3.2.6.16
carne de cerdo | 1.3.3.3.6.21
carne de cerdo | 1.3.3.4.6.36
carne de cerdo | 1.3.4.1.6.13
carne de cerdo | 1.3.4.2.6.27
carne de cerdo | 1.3.4.3.6.18
carne de cerdo | 1.3.4.4.6.24
carne de cerdo | 1.3.4.5.6.32
carne de cerdo | 1.3.5.1.6.17
carne de cerdo | 1.3.5.2.6.16
carne de cerdo | 1.3.5.3.6.32
carne de cerdo | 1.3.5.4.6.18
carne de cerdo | 1.3.6.1.6.18
carne de cerdo | 1.3.6.2.6.1
carne de cerdo | 1.3.6.4.6.3
carne de cerdo | 1.3.7.1.6.6
carne de cerdo | 1.3.7.2.6.4
carne de cerdo | 1.6.5.2.6.16
carne de cerdo | 2.2.3.4.6.10
carne de cerdo | 2.2.4.2.6.15
Carne de cochino | 1.5.3.3.6.4
Carne de cochino | 1.5.3.5.6.10
carne de cordeiro | 1.7.2.1.6.6
Carne de cordero | 1.8.1.3.6.5
Carne de cordero | 1.8.3.1.6.3
carne de fumeiro | 1.7.3.1.6.17
carne de galinha | 2.2.1.3.6.11
Carne de la Sierra de Guadarrama | 2.2.4.3.6.1
carne de lata | 1.7.4.3.6.11
Carne de llama | 1.8.1.3.6.1
Carne de llama | 1.8.3.1.6.1
Carne de oveja | 1.8.1.3.6.6
carne de ovino | 1.6.3.2.6.13
carne de pollo | 1.6.5.2.6.10
carne de porco Alentejano DOP | 2.2.1.4.6.2
carne de potro de monte | 2.2.3.3.6.3
Carne de res | 1.4.1.1.6.7
Carne de res | 1.4.1.2.6.9
Carne de res | 1.4.1.3.6.3
Carne de res | 1.4.1.4.6.4
Carne de res | 1.5.1.1.6.3
Carne de res | 1.5.1.2.6.1
Carne de res | 1.5.1.3.6.4
Carne de res | 1.5.2.1.6.16
Carne de res | 1.5.2.4.6.3
Carne de res | 1.5.3.1.6.26
Carne de res | 1.5.3.3.6.3
Carne de res | 1.5.3.4.6.12
Carne de res | 1.5.3.5.6.9
Carne de res | 1.5.4.1.6.3
Carne de res | 1.5.4.2.6.7
Carne de res | 1.5.4.3.6.8
Carne de res | 1.5.5.1.6.13
Carne de res | 1.5.5.2.6.18
Carne de res | 1.5.5.3.6.16
Carne de res | 1.5.5.4.6.17
carne de res | 1.2.1.2.6.1
carne de res | 1.2.1.3.6.1
carne de res | 1.2.5.2.6.6
carne de res | 1.2.7.3.6.17
carne de res | 1.2.7.4.6.8
carne de res | 1.3.1.1.6.13
carne de res | 1.3.1.2.6.43
carne de res | 1.3.1.3.6.27
carne de res | 1.3.1.4.6.35
carne de res | 1.3.1.5.6.19
carne de res | 1.3.3.1.6.17
carne de res | 1.3.3.2.6.21
carne de res | 1.3.3.3.6.24
carne de res | 1.3.3.4.6.37
carne de res | 1.3.4.1.6.14
carne de res | 1.3.4.2.6.26
carne de res | 1.3.4.3.6.20
carne de res | 1.3.4.4.6.23
carne de res | 1.3.4.5.6.29
carne de res | 1.3.5.1.6.19
carne de res | 1.3.5.2.6.12
carne de res | 1.3.5.4.6.14
carne de res | 1.3.6.1.6.27
carne de res | 1.3.6.2.6.9
carne de res | 1.3.6.3.6.10
carne de res | 1.3.6.4.6.11
carne de res | 1.3.6.5.6.10
carne de res | 1.3.7.1.6.9
carne de res | 1.3.7.2.6.10
carne de res | 1.3.7.3.6.12
carne de res | 1.6.1.1.6.18
carne de res | 1.6.5.2.6.1
carne de res | 1.6.5.3.6.1
carne de res | 1.6.5.4.6.1
Carne de res salada | 1.5.2.3.6.21
carne de sol | 1.7.2.1.6.1
carne de sol | 1.7.2.2.6.1
carne de sol | 1.7.2.3.6.18
carne de sol | 1.7.3.3.6.1
carne de sol | 1.7.6.3.6.16
carne de vaca | 2.2.1.3.6.10
Carne de vacuno | 1.8.3.1.6.4
carne de vacuno del País Vasco IGP | 2.2.3.3.6.1
Carne di Bovino Maremmanno | 2.4.4.2.6.17
carne di bovino podolico | 2.4.5.1.6.2
Carne di maiale nero calabrese | 2.4.5.4.6.2
carne di suino | 2.4.5.3.6.5
carne di suino | 2.4.6.3.6.2
carne di suino | 2.4.7.1.6.5
carne di suino | 2.4.7.2.6.5
carne di suino | 2.4.7.3.6.7
carne di suino di razza Casertana | 2.4.5.1.6.3
carne di suino nero dei Nebrodi | 2.4.6.2.6.17
carne di suino nero lucano | 2.4.5.3.6.4
carne di suino nero siciliano | 2.4.6.3.6.1
carne maronesa | 2.2.1.2.6.14
carne Minhota | 2.2.1.1.6.20
carne mirandesa | 2.2.1.2.6.15
carne moída | 1.7.1.3.6.16
carne molida de cerdo | 1.3.3.2.6.20
Carne molida de res | 1.4.1.1.6.9
Carne molida de res | 1.4.1.2.6.10
Carne molida de res | 1.4.2.1.6.7
Carne molida de res | 1.4.2.2.6.10
Carne molida de res | 1.4.3.1.6.7
Carne molida de res | 1.5.1.2.6.2
Carne molida de res | 1.5.4.1.6.4
Carne molida de res | 1.5.4.2.6.8
Carne molida de res | 1.5.4.3.6.9
carne molida de res | 1.3.5.2.6.15
carne molida de res | 1.3.6.3.6.11
carne molida de res | 1.3.6.4.6.12
carne molida de res | 1.3.7.1.6.10
carne molida de res | 1.6.5.4.6.2
carne na lata | 1.7.4.2.6.9
Carne oreada | 1.5.1.3.6.6
carne ovina | 1.7.3.4.6.8
carne ovina | 1.7.5.3.6.3
carne ovina | 1.7.6.4.6.6
carne ovina | 2.4.5.3.6.7
carne ovina | 2.4.6.2.6.26
Carne ovina calabrese | 2.4.5.4.6.3
carne ovina dell'Alto Adige | 2.4.2.3.6.6
carne ovina della Valle del Belice | 2.4.6.1.6.15
carne ovina di Laticauda | 2.4.5.1.6.4
Carne Podolica calabrese | 2.4.5.4.6.4
Carne porcina | 1.8.1.4.6.5
carne salada | 1.3.6.3.6.18
Carne Salada del Trentino | 2.4.2.3.6.9
Carne seca | 1.5.1.3.6.7
carne seca | 1.2.1.2.6.2
carne seca | 1.2.1.3.6.2
carne seca | 1.3.5.3.6.30
carne seca | 1.7.2.1.6.2
carne seca | 1.7.2.2.6.3
carne seca | 1.7.3.3.6.2
carne seca | 1.7.6.2.6.8
carne seca | 1.7.6.3.6.15
carne secca di cavallo | 2.5.4.3.6.14
carne secca di manzo | 2.5.4.3.6.13
carne suína | 1.7.1.3.6.15
carne suína | 1.7.2.2.6.6
carne suína | 1.7.3.3.6.5
carne suína | 1.7.3.4.6.7
carne suína | 1.7.5.3.6.5
carne suína | 1.7.5.4.6.2
carne suína | 1.7.6.1.6.6
carne suína | 1.7.6.2.6.10
carne suína | 1.7.6.4.6.4
carne suina dell'Alto Adige | 2.4.2.3.6.5
carne suína magra | 1.7.5.1.6.6
Carne vacuna | 1.8.1.3.6.2
Carne vacuna | 1.8.1.4.6.4
Carne vacuna | 1.8.1.5.6.15
Carne vacuna | 1.8.1.6.6.5
Carne vacuna | 1.8.2.3.6.11
carneiro | 1.7.5.1.6.10
carneiro | 2.2.2.1.6.7
Carnero | 1.4.1.3.6.7
carnero | 1.2.1.5.6.4
carnero | 1.6.2.1.6.6
carnero | 1.6.2.2.6.3
carnero | 1.6.2.3.6.4
carnero | 1.6.2.4.6.4
carnero | 1.6.4.1.6.4
carnero | 1.6.4.2.6.4
Carniolan sausage | 2.6.1.1.6.15
Carnitas | 1.2.2.6.6.19
Carnitas | 1.2.2.7.6.19
Carnitas | 1.2.2.9.6.20
Carnitas pork | 1.2.2.8.6.3
Carp | 2.3.2.2.6.16
Carp | 2.3.2.3.6.21
Carp | 2.3.3.1.6.24
Carp | 2.3.3.2.6.18
Carp | 2.3.4.4.6.16
Carp | 2.3.5.1.6.24
Carp | 2.3.5.3.6.20
Carp | 2.5.1.3.6.30
Carp | 2.5.2.2.6.40
Carp | 2.5.2.4.6.37
Carp | 2.5.3.1.6.29
Carp | 2.5.3.2.6.30
Carp | 2.5.3.3.6.37
Carp | 2.5.3.4.6.35
Carp | 2.5.4.1.6.39
Carp | 2.5.4.3.6.47
Carp | 2.5.4.4.6.36
Carp | 2.5.5.3.6.21
Carp | 2.9.7.2.6.14
Carp | 2.9.7.4.6.4
Carp | 2.9.8.1.6.13
Carp | 2.9.8.2.6.8
Carp | 2.9.8.4.6.15
Carp | 3.5.1.2.6.13
Carp | 3.5.1.3.6.4
Carp | 3.5.1.4.6.12
Carp | 3.5.2.2.6.4
Carp | 3.5.5.1.6.5
Carp | 3.5.5.3.6.6
Carp | 5.3.1.3.6.9
Carp | 5.6.4.1.6.20
Carp | 5.7.3.1.6.11
Carp | 5.7.3.2.6.6
Carp | 7.4.1.3.6.17
Carp | 7.4.3.4.6.13
Carp | 7.4.4.1.6.11
Carp | 7.5.1.3.6.18
Carp | 9.3.1.2.6.4
carp | 1.1.10.3.6.12
carp | 2.6.3.2.6.20
carp | 2.6.4.3.6.7
carp | 2.6.5.1.6.27
carp | 2.6.6.1.6.20
carp | 2.6.7.1.6.1
carp | 2.6.9.1.6.12
carp | 2.7.1.5.6.28
carp | 2.8.1.1.6.13
carp | 2.8.1.2.6.11
carp | 2.8.1.3.6.2
carp | 2.8.1.4.6.12
carp | 2.8.1.5.6.11
carp | 2.8.2.2.6.13
carp | 2.8.2.3.6.11
carp | 2.8.3.1.6.14
carp | 2.8.3.2.6.13
carp | 2.8.3.3.6.14
carp | 2.8.4.1.6.18
carp | 2.8.4.2.6.18
carp | 2.8.4.3.6.17
