0ya	3.8.5.3.2.8
yearling from the Sierra de Guadarrama, yearling from the Sierra de Guadarrama, añojo de la Sierra de Guadarrama	2.2.4.3.6.3
yearling, yearling, añojo	2.2.2.4.6.3
yearling, yearling, añojo	2.2.4.1.6.8
Yeast	1.1.1.1.22.3
Yeast	1.1.1.2.22.1
Yeast	1.1.1.3.22.1
Yeast	1.1.1.4.22.1
Yeast	1.1.13.6.22.3
Yeast	1.1.14.6.22.3
Yeast	1.1.2.1.22.1
Yeast	1.1.2.2.22.1
Yeast	1.1.2.3.22.1
Yeast	1.1.2.4.22.1
Yeast	1.1.2.5.22.1
Yeast	1.1.3.1.22.1
Yeast	1.1.3.2.22.1
Yeast	1.1.3.3.22.1
Yeast	1.1.3.4.22.1
Yeast	1.1.3.5.22.1
Yeast	1.1.3.6.22.1
Yeast	1.1.3.7.22.1
Yeast	1.1.4.1.22.1
Yeast	1.1.4.2.22.1
Yeast	1.1.4.3.22.1
Yeast	1.1.4.4.22.1
Yeast	1.1.4.5.22.1
Yeast	1.1.5.1.22.1
Yeast	1.1.5.2.22.1
Yeast	1.1.5.3.22.1
Yeast	1.1.5.4.22.1
Yeast	1.2.1.6.22.3
Yeast	1.2.2.6.22.3
Yeast	1.2.2.7.22.3
Yeast	1.2.2.8.22.3
Yeast	1.2.2.9.22.3
Yeast	1.2.3.5.22.3
Yeast	1.2.3.6.22.3
Yeast	1.2.4.6.22.3
Yeast	1.3.1.1.22.6
Yeast	1.3.1.2.22.3
Yeast	1.3.1.4.22.2
Yeast	1.3.2.1.22.2
Yeast	1.3.2.2.22.2
Yeast	1.3.2.3.22.2
Yeast	1.3.2.4.22.3
Yeast	1.3.3.1.22.4
Yeast	1.3.3.2.22.4
Yeast	1.3.3.3.22.4
Yeast	1.3.3.4.22.4
Yeast	1.3.4.1.22.4
Yeast	1.3.4.2.22.2
Yeast	1.3.4.3.22.2
Yeast	1.3.5.1.22.3
Yeast	1.3.5.2.22.2
Yeast	1.3.5.3.22.1
Yeast	1.3.5.4.22.3
Yeast	1.3.6.1.22.4
Yeast	1.4.4.2.22.2
Yeast	1.4.4.3.22.2
Yeast	1.4.4.4.22.2
Yeast	1.4.6.1.22.2
Yeast	1.4.6.2.22.2
Yeast	1.4.6.3.22.2
Yeast	1.4.6.4.22.2
Yeast	1.4.7.1.22.2
Yeast	1.4.7.2.22.2
Yeast	1.4.7.4.22.2
Yeast	1.4.8.1.22.2
Yeast	1.4.8.2.22.2
Yeast	2.9.2.2.22.1
Yeast	2.9.8.2.22.1
Yeast	2.9.8.3.20.10
Yeast	2.9.8.3.22.1
Yeast	2.9.8.4.22.1
Yeast	3.3.2.1.22.2
Yeast	3.3.2.3.22.1
Yeast	3.3.3.1.22.3
Yeast	3.3.3.2.22.2
Yeast	3.6.1.5.22.2
Yeast	3.8.1.1.22.1
Yeast	3.8.1.2.22.1
Yeast	3.8.1.4.22.1
Yeast	3.8.2.1.22.1
Yeast	3.8.2.2.22.1
Yeast	3.8.3.1.22.1
Yeast	3.8.3.2.22.1
Yeast	3.8.3.3.22.1
Yeast	3.8.4.1.22.1
Yeast	3.8.4.2.22.1
Yeast	3.8.5.1.22.1
Yeast	3.8.5.2.22.1
Yeast	3.8.5.3.22.1
Yeast	4.5.1.1.22.1
Yeast	4.5.1.2.22.2
Yeast	4.5.1.3.22.1
Yeast	4.5.2.1.22.1
Yeast	4.5.2.2.22.1
Yeast	4.5.3.1.22.1
Yeast	4.5.3.2.22.1
Yeast	4.5.3.3.22.1
Yeast	4.5.4.2.22.1
Yeast	4.5.4.3.22.1
Yeast	4.5.4.4.22.1
Yeast	4.5.5.1.22.1
Yeast	4.5.5.2.22.1
Yeast	4.5.6.1.22.1
Yeast	4.5.6.2.22.1
Yeast	4.5.6.3.22.1
Yeast	5.3.1.1.22.1
Yeast	5.3.1.3.22.1
Yeast	5.3.1.4.22.1
Yeast	5.3.2.1.22.3
Yeast	5.3.2.2.22.3
Yeast	5.3.2.3.22.3
Yeast	5.3.3.1.22.3
Yeast	5.3.3.2.22.3
Yeast	5.3.3.3.22.3
Yeast	5.3.3.4.22.3
Yeast	5.3.5.1.22.1
Yeast	5.3.5.2.22.3
Yeast	5.3.5.3.22.3
Yeast	5.3.5.4.22.1
Yeast	5.6.1.1.22.2
Yeast	5.6.1.2.22.2
Yeast	5.6.1.3.22.2
Yeast	5.6.3.1.22.2
Yeast	5.6.5.1.22.1
Yeast	5.7.1.4.22.1
Yeast	5.7.2.4.22.1
Yeast	6.5.1.1.22.1
Yeast	6.5.1.2.22.1
Yeast	6.5.1.3.22.1
Yeast	6.5.2.2.22.1
Yeast	6.5.2.3.22.1
Yeast	6.5.2.4.22.1
Yeast	6.5.3.1.22.5
Yeast	6.5.3.2.22.6
Yeast	6.5.3.3.22.1
Yeast	7.4.1.5.22.5
Yeast	7.4.2.1.22.1
Yeast	7.4.2.2.22.1
Yeast	7.4.2.3.22.1
Yeast	7.4.3.1.22.1
Yeast	7.4.3.2.22.1
Yeast	7.4.3.3.22.1
Yeast	7.4.3.4.22.3
Yeast	7.4.4.1.22.2
Yeast	7.4.4.2.22.2
Yeast	7.4.4.3.22.1
Yeast	9.1.5.4.22.1
yeast	1.1.13.1.22.3
yeast	1.1.13.2.22.3
yeast	1.1.13.3.22.3
yeast	1.1.13.4.22.3
yeast	1.1.13.5.22.3
yeast	1.1.14.1.22.3
yeast	1.1.14.2.22.3
yeast	1.1.14.3.22.3
yeast	1.1.14.4.22.2
yeast	1.1.14.5.22.3
yeast	1.3.2.1.22.8
yeast	1.3.2.2.22.10
yeast	1.3.2.3.22.10
yeast	1.3.2.4.22.11
yeast	2.1.1.1.22.1
yeast	2.1.1.2.22.1
yeast	2.1.1.3.22.1
yeast	2.1.1.4.22.1
yeast	2.1.1.5.22.1
yeast	2.1.2.1.22.1
yeast	2.1.2.2.22.1
yeast	2.1.2.3.22.1
yeast	2.1.2.4.22.1
yeast	2.3.8.4.22.1
yeast	2.6.1.1.22.1
yeast	2.6.1.2.22.1
yeast	2.6.1.3.22.1
yeast	2.6.2.1.22.1
yeast	2.6.2.2.22.1
yeast	2.6.2.3.22.1
yeast	2.6.2.4.22.1
yeast	2.6.3.1.22.1
yeast	2.6.3.2.22.1
yeast	2.6.3.3.22.1
yeast	2.6.4.1.22.1
yeast	2.6.4.2.22.1
yeast	2.6.5.1.22.1
yeast	2.6.5.2.22.1
yeast	2.6.5.3.22.1
yeast	2.6.6.1.22.1
yeast	2.6.6.2.22.1
yeast	2.6.6.3.22.1
yeast	2.6.7.1.22.1
yeast	2.6.7.2.22.1
yeast	2.6.7.3.22.1
yeast	2.6.7.4.22.1
yeast	2.6.8.1.22.1
yeast	2.6.8.2.22.1
yeast	2.6.9.1.22.1
yeast	2.6.9.2.22.1
yeast	2.6.9.3.22.1
yeast	2.6.9.4.22.1
yeast	2.7.1.2.22.2
yeast	3.7.1.2.22.1
yeast	3.7.1.3.22.1
yeast	3.7.1.4.22.1
yeast	3.7.1.5.22.1
yeast	3.7.1.6.22.1
yeast	3.7.1.7.22.1
yeast	3.7.2.1.22.1
yeast	3.7.2.3.22.1
yeast	3.7.3.1.22.1
yeast	3.7.3.2.22.1
yeast	3.7.4.1.22.1
yeast	3.7.4.2.22.1
yeast	3.7.4.3.22.1
yeast	3.7.4.4.22.1
yeast	3.7.5.1.22.1
yeast	3.7.5.2.22.1
yeast	3.7.5.3.22.1
yeast	3.7.5.4.22.1
yeast	3.7.6.1.22.1
yeast	3.7.6.2.22.1
yeast	3.7.6.4.22.1
yeast	3.7.7.1.22.4
yeast	3.7.7.2.22.1
yeast	3.7.7.3.22.1
yeast	3.7.8.1.22.1
yeast	3.7.8.2.22.1
yeast	3.7.8.3.22.1
yeast	3.7.8.4.22.1
yeast	4.2.1.5.22.1
yeast	4.2.3.3.22.1
yeast	4.2.3.4.22.1
yeast	4.6.1.1.22.2
yeast	4.6.1.2.22.1
yeast	4.6.1.3.22.1
yeast	4.6.2.1.22.1
yeast	4.6.2.2.22.1
yeast	4.6.2.3.22.1
yeast	4.6.3.1.22.2
yeast	4.6.3.3.22.1
yeast	4.6.4.1.22.1
yeast	4.6.4.2.22.1
yeast	4.6.4.3.22.1
yeast	4.6.5.1.22.1
yeast	4.6.5.2.22.1
yeast	4.6.5.3.22.2
yeast	5.1.1.1.22.1
yeast	5.1.1.3.22.1
yeast	5.1.1.5.22.1
yeast	5.1.2.1.22.1
yeast	5.1.2.2.22.1
yeast	5.1.3.1.22.1
yeast	5.1.3.2.22.1
yeast	5.2.1.1.22.1
yeast	5.2.1.3.22.1
yeast	5.2.1.4.22.1
yeast	5.2.2.1.22.1
yeast	5.2.2.2.22.1
yeast	5.2.2.3.22.1
yeast	5.2.3.1.22.1
yeast	5.2.3.2.22.1
yeast	5.2.3.3.22.3
yeast	5.2.4.1.22.1
yeast	5.2.4.2.22.1
yeast	5.2.4.3.22.1
yeast	5.2.4.4.22.1
yeast	6.1.1.3.22.2
yeast	6.1.2.1.22.1
yeast	6.1.3.1.22.1
yeast	6.1.3.2.22.1
yeast	6.1.3.3.22.1
yeast	6.1.3.4.22.1
yeast	6.3.1.1.22.1
yeast	6.3.1.2.22.1
yeast	6.3.1.3.22.1
yeast	6.3.1.4.22.1
yeast	6.3.2.1.22.1
yeast	6.3.2.2.22.1
yeast	6.3.2.3.22.1
yeast	6.3.2.4.22.1
yeast	6.3.3.1.22.1
yeast	6.3.3.2.22.1
yeast	6.3.3.3.22.1
yeast	6.3.3.4.22.1
yeast	6.3.4.1.22.1
yeast	6.3.4.2.22.1
yeast	6.3.4.3.22.1
yeast	6.3.5.1.22.1
yeast	6.3.5.2.22.1
yeast	6.3.5.3.22.1
yeast	6.3.5.4.22.1
yeast	7.1.6.1.22.7
yeast	7.2.1.1.22.1
yeast	7.2.1.2.22.1
yeast	7.2.1.3.22.1
yeast	7.2.1.4.22.1
yeast	7.2.2.1.22.1
yeast	7.2.2.2.22.1
yeast	7.2.2.3.22.1
yeast	7.2.3.1.22.1
yeast	7.2.3.2.22.1
yeast	7.2.4.1.22.1
yeast	7.2.4.2.22.1
yeast	7.2.4.3.22.1
yeast	7.3.1.1.22.1
yeast	7.3.1.2.22.1
yeast	7.3.2.1.22.1
yeast	7.3.2.2.22.1
yeast	7.3.2.3.22.1
yeast	7.3.2.4.22.1
yeast	7.3.2.5.22.1
yeast	7.3.3.1.22.1
yeast	7.3.3.2.22.1
yeast	7.3.4.2.22.1
yeast	7.3.4.3.22.1
yeast	7.3.5.1.22.1
yeast	7.3.5.2.22.1
yeast	7.3.5.3.22.1
yeast	9.2.1.2.22.6
yeast	9.2.1.3.22.4
yeast	9.2.2.1.22.1
yeast	9.2.2.2.22.2
yeast	9.2.2.3.22.1
yeast	9.2.2.4.22.1
yeast	9.2.3.1.22.2
yeast	9.2.3.2.22.2
yeast	9.2.3.3.22.2
yeast	9.2.3.4.22.2
yeast	9.4.1.1.22.2
yeast	9.4.1.2.22.1
yeast	9.4.1.3.22.2
yeast	9.4.2.2.22.7
yeast	9.4.4.1.22.1
yeast	9.4.4.3.22.3
yeast	9.4.5.1.22.1
yeast	9.4.5.3.22.1
yeast dough	2.3.8.3.1.12
yeast dough	2.8.1.1.1.13
yeast dough	2.8.2.4.1.12
yeast dough, yeast dough, kynuté těsto	2.5.5.1.1.24
yeast dough, yeast dough, kynuté těsto	2.5.5.2.1.24
yeast dough, yeast dough, kynuté těsto	2.5.5.3.1.17
yeast, yeast, droždí	2.5.5.1.22.1
yeast, yeast, droždí	2.5.5.2.22.1
yeast, yeast, droždí	2.5.5.3.22.1
yeast, yeast, droždie	2.5.6.1.22.1
yeast, yeast, droždie	2.5.6.2.22.1
yeast, yeast, droždie	2.5.6.3.22.1
yeast, yeast, kvások	2.5.6.1.22.3
yeast, yeast, kvások	2.5.6.2.22.3
yeast, yeast, kvások	2.5.6.3.22.3
Yeasted dough	2.3.1.3.23.4
yebe	3.4.3.2.18.8
yébéssé-si, yébéssé-si, yébéssé-si	3.4.5.1.13.1
yébéssé-si, yébéssé-si, yébéssé-si	3.4.5.1.17.7
Yecheng walnut	6.4.4.1.18.5
Yecheng walnut	6.4.4.1.5.2
Yecla red wine, Yecla red wine, vino tinto de Yecla	2.2.6.3.12.9
Yecla red wine, Yecla red wine, vino tinto de Yecla	2.2.6.3.16.12
Yecla red wine, Yecla red wine, vino tinto de Yecla	2.2.6.3.20.4
Yecla rosé wine, Yecla rosé wine, vino rosado de Yecla	2.2.6.3.20.5
Yecla white wine, Yecla white wine, vino blanco de Yecla	2.2.6.3.12.8
Yecla white wine, Yecla white wine, vino blanco de Yecla	2.2.6.3.16.11
Yecla white wine, Yecla white wine, vino blanco de Yecla	2.2.6.3.20.6
yee mee	7.2.1.3.1.3
Yell strawberries	2.1.2.4.3.2
yellow alkaline noodles	7.2.1.1.1.7
yellow ant salt	7.1.8.3.13.2
yellow ant salt	7.1.8.3.21.4
yellow apples	2.6.1.3.3.4
yellow apples	4.4.1.2.3.14
yellow apples	4.4.4.1.3.13
yellow arazá, yellow arazá, Arazá amarillo	1.8.2.3.3.2
Yellow beans	1.1.1.2.2.5
Yellow beans	1.1.1.2.4.5
Yellow beans	1.3.1.4.4.3
Yellow beans	3.5.4.5.4.5
Yellow beans	3.6.5.1.4.3
Yellow beans	3.6.5.2.4.3
Yellow beans	3.6.5.3.4.3
yellow beans	1.1.13.1.2.21
yellow beans	1.1.13.2.2.3
yellow beans	1.1.13.5.4.5
yellow beans	1.1.14.2.2.28
yellow beans	1.1.14.2.4.5
yellow beans	1.1.14.4.4.9
yellow beans	1.1.14.5.2.16
yellow beans	1.1.14.5.4.10
yellow beans	7.2.2.2.4.4
yellow beef	6.3.2.1.6.5
yellow beef	7.1.7.2.6.6
Yellow beetroot	2.9.1.1.2.11
Yellow beetroot	2.9.1.3.2.5
Yellow beetroot	2.9.2.3.2.3
Yellow beetroot	2.9.3.2.2.4
Yellow beetroot	2.9.3.3.2.3
Yellow beetroot	2.9.4.2.2.3
yellow beets	1.1.13.1.2.6
yellow beets	1.1.14.1.2.6
yellow beets, yellow beets, gelbe Rüben	2.5.3.1.2.19
yellow beets, yellow beets, gelbe Rüben	2.5.3.1.9.5
yellow beets, yellow beets, gelbe Rüben	2.5.3.3.2.10
yellow beets, yellow beets, gelbe Rüben	2.5.3.3.9.6
yellow bell pepper, yellow bell pepper, Morrón amarillo	1.8.1.1.2.8
yellow bell pepper, yellow bell pepper, Morrón amarillo	1.8.1.5.2.7
yellow broad beans	4.6.1.1.4.5
yellow broad beans	4.6.2.1.4.1
Yellow capsicum	3.2.1.1.2.25
yellow capsicum	7.2.1.3.2.22
yellow carrot	4.3.2.5.2.13
yellow carrot	8.1.3.2.9.4
yellow carrot	8.1.3.3.9.4
yellow carrot	8.1.3.4.9.5
yellow carrot	8.1.5.3.9.2
Yellow carrots	2.9.3.2.2.2
Yellow carrots	2.9.7.3.2.2
yellow carrots	2.1.2.3.2.3
yellow carrots	2.6.3.1.2.9
yellow carrots	4.3.2.5.18.1
yellow carrots	8.1.3.2.2.5
yellow carrots	8.1.3.3.2.5
yellow carrots	8.1.3.4.2.5
yellow carrots	8.1.5.3.2.3
Yellow cassava	9.3.3.1.1.5
Yellow cassava	9.3.3.1.18.5
Yellow cassava	9.3.3.3.1.5
yellow cassava flour, yellow cassava flour, farinha de mandioca amarela	1.7.1.1.1.4
yellow cassava flour, yellow cassava flour, farinha de mandioca amarela	1.7.1.3.1.5
yellow catfish	6.1.1.3.6.19
yellow catfish	6.2.3.1.18.15
yellow catfish	6.2.3.1.6.3
yellow catfish	6.2.3.4.6.7
yellow catfish	6.2.4.4.6.16
yellow catfish	6.4.1.1.6.17
yellow catfish	6.4.2.1.6.20
yellow catfish	6.4.3.1.6.19
yellow catfish	6.4.3.3.6.22
yellow cattle beef	6.3.5.3.6.10
yellow cattle beef	6.3.5.4.6.7
yellow cattle beef	6.4.2.1.6.5
yellow cattle beef	6.4.2.3.6.9
Yellow Charentais melon	2.3.6.1.3.2
yellow cheese	2.6.9.4.11.3
yellow cheese	2.7.1.1.11.9
yellow cheese from Beira Baixa, yellow cheese from Beira Baixa, queijo amarelo da Beira Baixa	2.2.1.3.11.9
yellow chicken	6.3.1.2.6.3
Yellow chili	5.3.5.4.18.2
Yellow chili	5.3.5.4.8.1
yellow chili sauce, yellow chili sauce, salsa de ají amarillo	1.6.1.2.13.4
yellow chili, yellow chili, ají amarillo	1.6.1.2.2.7
yellow chili, yellow chili, ají amarillo	1.6.1.2.9.8
yellow chili, yellow chili, ají amarillo	1.6.1.3.2.8
yellow chili, yellow chili, ají amarillo	1.6.1.3.9.6
yellow chili, yellow chili, ají amarillo	1.6.2.1.2.6
yellow chili, yellow chili, ají amarillo	1.6.2.1.9.6
yellow chili, yellow chili, ají amarillo	1.6.2.2.2.16
yellow chili, yellow chili, ají amarillo	1.6.2.2.9.6
yellow chili, yellow chili, ají amarillo	1.6.2.3.2.15
yellow chili, yellow chili, ají amarillo	1.6.2.4.2.10
yellow chili, yellow chili, ají amarillo	1.6.2.4.9.5
yellow chili, yellow chili, ají amarillo	1.6.3.1.2.14
yellow chili, yellow chili, ají amarillo	1.6.4.1.2.13
yellow chili, yellow chili, ají amarillo	1.6.4.1.9.7
yellow chili, yellow chili, ají amarillo	1.6.5.4.9.6
yellow chives	6.1.1.2.2.8
yellow chives	6.1.1.2.7.4
yellow chives	6.2.1.1.9.5
yellow chives	6.2.1.3.9.8
yellow clam, yellow clam, Almeja amarilla	1.8.2.3.6.10
yellow coastal chili, yellow coastal chili, chile costeño amarillo	1.2.5.5.18.3
Yellow corn	1.1.2.1.1.7
Yellow corn	1.1.2.4.1.7
Yellow corn	1.1.3.1.1.5
Yellow corn	1.1.3.2.1.7
Yellow corn	1.1.3.3.1.13
Yellow corn	1.1.3.4.1.5
Yellow corn	1.1.3.6.1.6
Yellow corn	1.1.4.2.1.5
Yellow corn	1.1.4.3.1.5
Yellow corn	1.1.4.4.1.5
Yellow corn	1.1.4.5.1.5
Yellow corn	7.4.1.5.1.4
Yellow corn	7.4.2.1.1.4
Yellow corn	7.4.2.3.1.4
Yellow corn	7.4.3.2.1.4
Yellow corn	7.4.4.1.1.5
Yellow corn	7.5.2.1.1.5
Yellow corn	7.5.2.2.1.3
yellow corn	1.3.2.2.1.19
yellow corn	1.3.2.4.1.15
yellow corn	4.4.3.3.1.12
yellow corn flour, yellow corn flour, farina di mais gialla	2.4.2.2.1.5
Yellow corn grits	7.4.1.5.1.6
Yellow corn grits	7.4.2.2.1.5
Yellow corn grits	7.4.2.3.1.6
Yellow corn tortilla, Yellow corn tortilla, Tortilla de maíz amarilla	1.5.5.2.18.19
yellow corn, yellow corn, Maíz amarillo	1.5.1.1.1.1
yellow corn, yellow corn, Maíz amarillo	1.5.1.2.1.2
yellow corn, yellow corn, Maíz amarillo	1.5.1.3.1.1
yellow corn, yellow corn, Maíz amarillo	1.5.1.4.1.2
yellow corn, yellow corn, Maíz amarillo	1.5.2.1.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.2.3.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.2.4.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.3.1.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.3.3.1.4
yellow corn, yellow corn, Maíz amarillo	1.5.3.4.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.3.5.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.4.1.1.2
yellow corn, yellow corn, Maíz amarillo	1.5.4.3.1.2
yellow corn, yellow corn, Maíz amarillo	1.5.5.1.1.3
yellow corn, yellow corn, Maíz amarillo	1.5.5.4.1.3
yellow corn, yellow corn, Maíz amarillo	1.8.1.3.1.11
yellow corn, yellow corn, Maíz amarillo	1.8.1.4.1.5
yellow corn, yellow corn, Maíz amarillo	1.8.1.5.1.7
yellow corn, yellow corn, Maíz amarillo	1.8.1.6.1.3
yellow corn, yellow corn, Maíz amarillo	1.8.6.1.1.9
yellow corn, yellow corn, Maíz amarillo	1.8.6.2.1.9
yellow corn, yellow corn, Maíz amarillo	1.8.6.3.1.7
yellow corn, yellow corn, Maíz amarillo	1.8.6.4.1.9
yellow corn, yellow corn, maíz amarillo	1.2.1.1.1.2
yellow corn, yellow corn, maíz amarillo	1.2.1.3.1.5
yellow corn, yellow corn, maíz amarillo	1.2.1.4.1.7
yellow corn, yellow corn, maíz amarillo	1.2.2.3.1.2
yellow corn, yellow corn, maíz amarillo	1.2.2.4.1.3
yellow corn, yellow corn, maíz amarillo	1.2.3.2.1.2
yellow corn, yellow corn, maíz amarillo	1.2.3.3.1.2
yellow corn, yellow corn, maíz amarillo	1.2.4.1.1.2
yellow corn, yellow corn, maíz amarillo	1.2.4.4.1.2
yellow corn, yellow corn, maíz amarillo	1.2.5.1.1.3
yellow corn, yellow corn, maíz amarillo	1.2.5.2.1.2
yellow corn, yellow corn, maíz amarillo	1.2.5.3.1.3
yellow corn, yellow corn, maíz amarillo	1.2.5.4.1.4
yellow corn, yellow corn, maíz amarillo	1.2.5.5.1.2
yellow corn, yellow corn, maíz amarillo	1.2.6.1.1.2
yellow corn, yellow corn, maíz amarillo	1.2.6.2.1.2
yellow corn, yellow corn, maíz amarillo	1.2.6.3.1.2
yellow corn, yellow corn, maíz amarillo	1.2.7.3.1.2
yellow corn, yellow corn, maíz amarillo	1.2.7.4.1.2
yellow corn, yellow corn, maíz amarillo	1.3.1.1.1.19
yellow corn, yellow corn, maíz amarillo	1.3.1.2.1.16
yellow corn, yellow corn, maíz amarillo	1.3.1.3.1.20
yellow corn, yellow corn, maíz amarillo	1.3.1.5.1.20
yellow corn, yellow corn, maíz amarillo	1.3.3.1.1.15
yellow corn, yellow corn, maíz amarillo	1.3.3.2.1.18
yellow corn, yellow corn, maíz amarillo	1.3.3.3.1.17
yellow corn, yellow corn, maíz amarillo	1.3.3.4.1.16
yellow corn, yellow corn, maíz amarillo	1.3.4.1.1.16
yellow corn, yellow corn, maíz amarillo	1.3.4.2.1.18
yellow corn, yellow corn, maíz amarillo	1.3.4.3.1.18
yellow corn, yellow corn, maíz amarillo	1.3.4.5.1.15
yellow corn, yellow corn, maíz amarillo	1.3.5.1.1.19
yellow corn, yellow corn, maíz amarillo	1.3.5.2.1.16
yellow corn, yellow corn, maíz amarillo	1.3.5.4.1.19
yellow corn, yellow corn, maíz amarillo	1.3.6.1.1.27
yellow corn, yellow corn, maíz amarillo	1.3.6.2.1.2
yellow corn, yellow corn, maíz amarillo	1.3.6.4.1.3
yellow corn, yellow corn, maíz amarillo	1.3.7.1.1.6
yellow corn, yellow corn, maíz amarillo	1.3.7.2.1.6
yellow corn, yellow corn, maíz amarillo	1.6.3.1.1.12
yellow corn, yellow corn, maíz amarillo	1.6.3.2.1.10
yellow corn, yellow corn, maíz amarillo	1.6.4.3.1.11
yellow corn, yellow corn, maíz amarillo	1.6.5.1.1.7
yellow corn, yellow corn, maíz amarillo	1.6.5.2.1.10
yellow corn, yellow corn, maíz amarillo	1.6.5.4.1.2
Yellow cornmeal	1.1.3.3.1.7
Yellow cornmeal	1.1.3.5.1.7
Yellow cornmeal	1.1.3.7.1.7
Yellow cornmeal	1.1.4.1.1.4
Yellow cornmeal	1.1.4.2.1.7
Yellow cornmeal	1.1.4.3.1.7
Yellow cornmeal	1.1.4.4.1.7
Yellow cornmeal	1.1.5.1.1.6
Yellow cornmeal	1.1.5.2.1.7
Yellow cornmeal	1.1.5.3.1.6
Yellow cornmeal	1.1.5.4.1.6
Yellow cornmeal	1.2.1.6.1.5
Yellow cornmeal	1.2.2.6.1.5
Yellow cornmeal	1.2.2.7.1.5
Yellow cornmeal	1.2.2.8.1.5
Yellow cornmeal	1.2.2.9.1.5
Yellow cornmeal	1.2.3.5.1.5
Yellow cornmeal	1.2.3.6.1.5
Yellow cornmeal	1.2.4.6.1.5
yellow cornmeal	1.1.10.1.1.6
yellow cornmeal	1.1.10.2.1.6
yellow cornmeal	1.1.10.3.1.3
yellow cornmeal	1.1.10.4.1.4
yellow cornmeal	1.1.10.5.1.4
yellow cornmeal	1.1.11.1.1.6
yellow cornmeal	1.1.11.2.1.5
yellow cornmeal	1.1.11.3.1.5
yellow cornmeal	1.1.11.4.1.9
yellow cornmeal	1.1.11.5.1.6
yellow cornmeal	1.1.6.1.1.9
yellow cornmeal	1.1.6.2.1.11
yellow cornmeal	1.1.6.3.1.4
yellow cornmeal	1.1.6.4.1.5
yellow cornmeal	1.1.6.5.1.4
yellow cornmeal	1.1.6.6.1.8
yellow cornmeal	1.1.7.1.1.11
yellow cornmeal	1.1.7.2.1.12
yellow cornmeal	1.1.7.3.1.6
yellow cornmeal	1.1.7.4.1.19
yellow cornmeal	1.1.7.5.1.12
yellow cornmeal	1.1.8.1.1.3
yellow cornmeal	1.1.8.2.1.3
yellow cornmeal	1.1.8.3.1.4
yellow cornmeal	1.1.8.4.1.4
yellow cornmeal	1.1.8.5.1.5
yellow cornmeal	1.1.8.6.1.4
yellow cornmeal	1.1.9.1.1.4
yellow cornmeal	1.1.9.2.1.4
yellow cornmeal	1.1.9.3.1.6
yellow cornmeal	1.1.9.4.1.8
yellow cornmeal	2.6.7.1.1.5
yellow cornmeal	2.6.7.2.1.5
yellow cornmeal	2.6.7.3.1.5
yellow cornmeal	2.6.7.4.1.5
yellow cornmeal	2.6.8.1.1.5
yellow cornmeal	2.6.8.2.1.5
yellow cornmeal	4.2.1.3.1.3
yellow cornmeal	4.2.1.4.1.3
yellow corvina	6.6.1.1.6.15
yellow courgettes	2.3.7.3.2.18
yellow creole corn, yellow creole corn, maíz criollo amarillo	1.2.7.1.1.2
yellow creole corn, yellow creole corn, maíz criollo amarillo	1.2.7.2.1.2
yellow croaker	6.1.1.2.6.11
yellow croaker	6.1.2.1.6.12
yellow croaker	6.3.1.1.6.31
yellow croaker	6.3.1.3.6.17
yellow croaker	6.6.2.1.6.17
yellow croaker	6.6.2.2.6.6
yellow croaker broth	6.3.3.1.16.5
yellow croaker swim bladders	6.2.1.2.19.8
yellow crystal sugar	6.4.2.2.15.4
Yellow cucumber	5.6.1.2.2.14
Yellow cucumber	5.6.1.3.2.13
yellow curry paste	7.1.3.1.13.16
yellow eel	6.1.1.3.6.21
yellow egg noodles	7.1.2.1.1.6
yellow eggplant	7.1.2.2.2.6
Yellow figs	4.5.6.2.3.15
yellow figs	4.4.1.2.3.11
yellow flesh nectarine	9.2.3.2.3.10
yellow flesh peach	9.2.3.2.3.6
yellow fleshed kiwifruit	6.4.1.1.3.2
yellow flounder	6.6.1.2.6.16
yellow food color	5.2.1.1.18.10
Yellow from Odobești, Yellow from Odobești, Galbenă de Odobești	2.8.4.3.20.6
yellow garri	3.4.6.3.1.6
Yellow gentian	6.8.1.3.19.6
yellow gentian root	2.6.1.1.19.15
Yellow ginger	1.3.2.3.19.1
Yellow ginger	1.3.2.3.8.4
yellow ginger	9.4.1.1.8.4
yellow ginger	9.4.1.2.8.4
yellow ginger	9.4.1.2.9.5
yellow ginger	9.4.1.3.8.4
yellow grapes	4.4.1.2.3.2
yellow grapes	4.4.4.1.3.2
yellow guava	9.2.2.2.3.45
Yellow gum leaf oil	9.1.1.3.19.8
yellow heart celery	6.4.5.3.2.28
Yellow Heart watermelon	6.2.2.2.3.22
yellow hulled corn, yellow hulled corn, maíz cascado amarillo	1.3.6.3.1.25
yellow kashk	4.6.5.3.11.8
yellow kashk	4.6.5.3.14.2
yellow kroeung	7.1.6.1.13.10
yellow kroeung	7.1.6.2.13.9
yellow kroeung	7.1.6.3.13.8
yellow kroeung	7.1.6.4.13.7
yellow lantern chili	6.3.5.1.8.3
yellow lantern chili	6.3.5.1.9.8
yellow lantern chili	6.3.5.2.2.9
