1.4.9 French Caribbean	2.2.1.3.24.25
fermented soybeans	7.2.2.3.14.3
fermented soybeans	7.2.2.3.4.5
fermented soybeans	7.2.4.1.14.11
fermented spirit vinegar, fermented spirit vinegar, kvasný liehový ocot	2.5.6.1.12.2
fermented spirit vinegar, fermented spirit vinegar, kvasný lihový ocet	2.5.5.1.12.2
fermented spirit vinegar, fermented spirit vinegar, kvasný lihový ocet	2.5.5.2.12.2
Fermented starter	4.5.4.3.22.3
fermented tai	9.5.5.1.14.2
fermented tai	9.5.5.2.14.2
fermented taro leaves	7.1.1.5.14.7
fermented tea leaves	7.1.1.1.14.1
fermented tea leaves	7.1.1.3.20.5
fermented tea leaves	7.1.2.1.14.2
fermented tea leaves	7.1.2.1.20.3
Fermented teff batter	3.3.1.1.14.3
Fermented teff batter	3.3.1.2.14.3
Fermented teff batter	3.3.1.3.14.3
Fermented teff batter	3.3.2.1.12.1
Fermented teff batter	3.3.2.1.14.1
Fermented teff batter	3.3.2.2.22.2
Fermented teff batter	3.3.2.3.14.3
Fermented teff starter	3.3.2.1.22.1
Fermented teff starter	3.3.2.3.22.3
Fermented toddy	5.8.1.1.14.9
fermented toddy	9.4.4.1.12.5
fermented toddy	9.4.4.1.14.8
fermented toddy	9.4.4.1.20.8
fermented toddy	9.4.4.2.14.6
fermented toddy	9.4.4.2.20.3
fermented toddy	9.4.4.3.12.3
fermented toddy	9.4.4.3.14.8
fermented toddy	9.4.4.3.20.3
fermented toddy	9.4.5.1.12.4
fermented toddy	9.4.5.1.20.2
fermented toddy	9.4.5.2.12.1
fermented toddy	9.4.5.2.14.7
fermented toddy	9.4.5.2.20.2
fermented toddy	9.4.5.3.12.3
fermented toddy	9.4.5.3.14.8
fermented toddy	9.4.5.3.20.2
fermented tofu	6.4.2.1.14.10
fermented tofu	6.4.2.3.14.9
fermented tofu	6.4.3.2.14.10
fermented tofu	7.1.3.4.11.9
fermented tofu	7.1.3.4.13.5
fermented tofu	7.1.3.4.14.10
fermented tofu	7.1.3.4.22.9
fermented tofu	7.1.7.2.11.3
fermented tofu	7.1.7.2.14.7
fermented tofu sauce	7.1.7.2.13.5
fermented tomato sour liquid	6.4.3.1.12.7
Fermented vegetables	2.9.5.3.14.1
Fermented vegetables	2.9.8.2.14.4
Fermented whey	5.7.3.3.12.3
Fermented whey	5.7.3.4.12.4
Fermented white asparagus	2.9.1.4.14.13
fermented white glutinous rice	7.2.3.3.14.3
fermented willowherb	8.2.3.1.14.5
fermented yogurt	6.4.5.1.14.6
Fermented yuca mash	1.3.4.4.12.1
Fermented yuca mash	1.3.4.4.14.5
Fermented zebu milk curds	3.8.1.3.11.3
Fermented zebu milk curds	3.8.1.4.11.4
Fermented zebu milk curds	3.8.1.4.14.7
fermenti lattici	2.4.1.1.22.4
fermenti lattici	2.4.1.2.22.4
fermenti lattici	2.4.1.3.22.4
fermenti lattici	2.4.1.4.22.4
fermenti lattici	2.4.2.1.22.4
fermenti lattici	2.4.2.2.22.5
fermenti lattici	2.4.2.3.22.4
fermenti lattici	2.4.2.4.22.6
fermenti lattici	2.4.3.1.22.7
fermenti lattici	2.4.3.2.22.6
fermenti lattici	2.4.3.3.22.6
fermenti lattici	2.4.3.4.22.5
fermenti lattici	2.4.4.1.22.5
fermenti lattici	2.4.4.2.22.5
fermenti lattici	2.4.4.3.22.4
fermenti lattici	2.4.5.1.22.7
fermenti lattici	2.4.5.3.22.5
fermenti lattici	2.4.5.4.22.6
fermenti lattici	2.4.6.1.22.6
fermenti lattici	2.4.6.2.22.7
fermenti lattici	2.4.6.3.22.7
fermenti lattici	2.4.7.1.22.4
fermenti lattici	2.4.7.2.22.4
fermenti lattici	2.4.7.3.22.6
fermenti lattici	2.4.7.4.22.4
fermenting grape must, fermenting grape must, gärender Traubenmost	2.5.2.4.14.19
fermento	2.2.1.2.22.2
fermento Royal	2.2.1.3.22.2
Fermipan	1.3.4.4.22.7
fern	8.2.2.3.2.6
Fern fronds	5.5.5.4.7.8
Fern fronds	5.7.3.2.23.2
Fern fronds	5.7.3.2.7.7
Fern fronds	9.3.1.3.2.8
fern salad	8.2.4.3.13.9
Fern shoots	9.3.1.2.2.17
fern shoots	7.1.2.3.18.8
fern shoots	7.1.2.3.2.7
fern shoots	7.3.1.2.2.3
fern shoots	7.3.4.2.2.14
fern shoots	7.3.4.3.2.15
fern shoots	7.3.4.4.2.10
fern shoots	7.3.5.1.18.8
fern shoots	7.3.5.1.2.2
fern shoots	7.3.5.2.2.12
fern shoots	7.3.5.3.2.4
fern shoots	7.3.7.2.2.4
fern shoots	7.3.7.2.7.3
fern shoots	7.3.7.3.2.11
fern shoots	8.2.4.1.18.2
fern shoots	8.2.4.1.2.11
fern shoots	8.2.4.1.7.5
Fern tips	9.3.1.3.7.7
fern-root starch	6.2.3.2.1.17
fern-root starch	6.2.3.2.22.8
Fernão Pires grape, Fernão Pires grape, uva Fernão Pires	2.2.4.4.3.32
Fernet	1.8.1.1.20.7
Fernet	1.8.1.2.20.9
Ferrandina baked olive, Ferrandina baked olive, Oliva infornata di Ferrandina	2.4.5.3.14.5
Ferrandina baked olive, Ferrandina baked olive, Oliva infornata di Ferrandina	2.4.5.3.18.10
Ferrandina baked olives, Ferrandina baked olives, olive infornate di Ferrandina	2.4.5.3.14.4
Ferreries purple aubergine, Ferreries purple aubergine, Albergínia morada de Ferreries	2.2.8.2.2.7
Ferreries white aubergine, Ferreries white aubergine, Albergínia blanca de Ferreries	2.2.8.2.2.3
Ferry Road Halloumi	9.2.3.2.11.10
ferula	8.1.3.5.19.3
Feseekh	3.2.1.1.14.1
Feseekh	3.2.1.2.14.1
fesol	2.2.6.4.4.1
fesol blanc	2.2.6.1.4.6
fesol blanc	2.2.6.2.4.3
fesol blanc	2.2.6.4.4.2
Fesol fava bean	2.2.8.1.4.4
Festival	1.4.4.1.1.4
Festival	1.4.4.2.1.5
Festival	1.4.4.3.1.5
Festival	1.4.4.4.1.6
Festival dough	1.4.4.1.18.6
Festival dough	1.4.4.3.18.6
Festival dough	1.4.4.4.18.8
Festival dough	1.4.6.3.1.21
Festival grapes	3.7.1.7.3.11
Festival strawberry	3.2.1.1.3.3
festive cranberry sauce	9.2.3.4.13.2
festive cranberry sauce	9.2.3.4.14.13
festive daikon	6.7.4.4.2.6
festkochende Kartoffeln	2.5.1.1.1.3
festkochende Kartoffeln	2.5.1.3.1.3
festkochende Kartoffeln	2.5.2.2.1.2
festkochende Kartoffeln	2.5.2.4.1.3
festkochende Kartoffeln	2.5.4.4.1.2
Feta	9.1.5.4.11.1
feta	2.7.1.1.11.2
feta	2.7.1.2.11.1
feta	2.7.1.3.11.1
feta	2.7.1.4.11.1
feta	2.7.1.5.11.3
feta	9.2.2.2.11.15
feta	9.2.3.4.11.7
feta cheese	1.1.13.2.11.8
feta cheese	2.6.9.2.11.9
feta cheese	4.3.5.2.11.7
feta cheese	8.1.5.4.11.10
feta cheese of Ithaki	2.7.2.3.11.3
feta Mytilini	2.7.2.4.11.2
Feteasca Alba grapes, Feteasca Alba grapes, Fetească Albă grapes	2.8.6.2.3.12
Feteasca Alba grapes, Feteasca Alba grapes, Fetească Albă grapes	2.8.6.3.3.7
Feteasca Neagră grapes, Feteasca Neagră grapes, Fetească Neagră grapes	2.8.6.3.3.9
Feteasca Neagră wine, Feteasca Neagră wine, Fetească Neagră wine	2.8.4.2.20.9
Feteasca Neagră wine, Feteasca Neagră wine, Fetească Neagră wine	2.8.6.3.20.8
Feteasca Regală grapes, Feteasca Regală grapes, Fetească Regală grapes	2.8.6.2.3.13
Feteasca Regală grapes, Feteasca Regală grapes, Fetească Regală grapes	2.8.6.3.3.8
Feteasca Regală wine, Feteasca Regală wine, Fetească Regală wine	2.8.6.2.20.2
Feteasca Regală wine, Feteasca Regală wine, Fetească Regală wine	2.8.6.3.20.7
Feteasca White wine, Feteasca White wine, Fetească Albă wine	2.8.4.2.20.8
Feteasca White wine, Feteasca White wine, Fetească Albă wine	2.8.6.2.20.1
Feteasca White wine, Feteasca White wine, Fetească Albă wine	2.8.6.3.20.6
Feteer dough	3.2.1.1.1.7
Feteer dough	3.2.1.2.1.8
Feteer dough sheets	3.2.1.1.23.4
Feteer dough sheets	3.2.1.2.23.6
Feteer dough sheets	3.2.1.3.23.5
Feteer sheets	3.2.1.2.18.7
fettuccine	2.4.4.2.1.14
Feuerbohne	2.5.3.4.4.3
Feutrell orange	5.2.1.4.3.2
Fever grass	1.3.5.3.19.1
Fever grass	1.4.4.1.19.2
Fever grass	1.4.4.2.19.2
Fever grass	1.4.4.3.19.2
Fever grass	1.4.4.4.19.2
Fever grass	1.4.6.1.19.2
Fever grass	1.4.6.2.19.2
Fever grass	1.4.6.3.19.2
Fever grass	1.4.6.4.19.2
Fever grass	1.4.7.4.19.4
Fezzan Deglet Nour dates	3.1.4.3.18.1
Fiadone	2.3.6.4.18.16
Fiakergulasch	2.5.3.1.18.14
Fiambre	1.5.1.2.18.11
Fiano di Avellino DOP, Fiano di Avellino DOP, Fiano di Avellino DOP	2.4.5.1.20.1
fiaschello tomato from Battipaglia, fiaschello tomato from Battipaglia, pomodoro fiaschello di Battipaglia	2.4.5.1.2.6
fichi	2.4.3.2.3.19
fichi	2.4.3.3.3.3
fichi	2.4.4.2.3.9
fichi	2.4.4.3.3.5
fichi	2.4.5.3.3.3
fichi	2.4.6.1.3.11
fichi	2.4.6.2.3.18
fichi	2.4.6.3.3.8
fichi	2.4.7.1.3.18
fichi	2.4.7.2.3.16
fichi	2.4.7.3.3.5
fichi	2.4.7.4.3.14
fichi	2.5.4.3.3.9
fichi d'India	2.4.4.3.3.6
fichi d'India	2.4.6.1.3.12
fichi d'India	2.4.6.2.3.20
fichi d'India	2.4.6.3.3.10
fichi d'India	2.4.7.1.3.19
fichi d'India	2.4.7.2.3.17
fichi d'India	2.4.7.3.3.7
fichi d'India	2.4.7.4.3.15
fichi essiccati	2.4.5.4.3.21
fichi freschi	2.4.4.1.3.2
fichi ripieni	2.4.5.4.14.32
fichi ripieni	2.4.5.4.3.23
fichi secchi	2.4.2.2.3.6
fichi secchi	2.4.3.2.14.14
fichi secchi	2.4.3.3.14.16
fichi secchi	2.4.4.1.14.13
fichi secchi	2.4.4.1.3.3
fichi secchi	2.4.4.2.14.15
fichi secchi	2.4.4.3.14.9
fichi secchi	2.4.5.1.14.19
fichi secchi	2.4.5.4.14.31
fichi secchi	2.4.5.4.3.24
fichi secchi	2.4.6.1.14.12
fichi secchi	2.4.6.1.3.13
fichi secchi	2.4.6.2.14.21
fichi secchi	2.4.6.2.3.19
fichi secchi	2.4.6.3.14.16
fichi secchi	2.4.6.3.3.9
fichi secchi	2.4.7.1.14.13
fichi secchi	2.4.7.2.14.20
fichi secchi	2.4.7.3.14.20
fichi secchi	2.4.7.3.3.6
fichi secchi	2.4.7.4.14.19
Fichtenholzrauch	2.5.2.2.24.3
Fichtenholzrauch	2.5.2.4.24.6
Fichtenholzrauch	2.5.3.4.24.3
Fichtenholzrauch	2.5.4.4.24.2
Fichtenholzschachtel	2.5.4.4.23.7
Fichtenrinde	2.5.4.4.23.6
Ficus dammaropsis fruit	9.3.1.1.18.7
Ficus hispida leaves	5.5.5.4.23.2
Ficus pungens fruit	9.3.1.1.18.8
Fiddlehead fern	5.3.1.1.2.21
Fiddlehead fern	5.3.1.4.2.16
Fiddlehead fern	5.7.3.3.18.5
Fiddlehead fern	5.7.3.3.2.21
Fiddlehead fern	5.7.3.3.7.6
Fiddlehead fern	7.4.1.1.2.8
fiddlehead fern	7.1.2.2.19.2
fiddlehead fern	7.1.2.2.2.4
fiddlehead fern	7.2.1.1.2.15
fiddlehead fern	7.2.1.2.2.12
fiddlehead ferns	1.1.11.5.18.9
fiddlehead ferns	1.1.6.6.18.7
Fiddleheads	1.1.1.2.18.1
Fiddleheads	1.1.1.2.2.18
Fiddleheads	1.1.1.3.18.1
Fiddleheads	1.1.2.3.18.11
fiddleheads	1.1.13.1.18.3
fiddleheads	1.1.13.1.2.18
fiddleheads	1.1.14.1.18.6
fiddleheads	1.1.14.1.2.24
fiddleheads	1.1.6.1.18.2
fiddleheads	1.1.6.2.18.3
fideo de sopa seca, fideo de sopa seca, fideo de sopa seca	1.6.1.3.1.12
fideos	2.2.2.2.1.19
fideos	2.2.2.3.1.11
fideos	2.2.2.4.1.13
fideos	2.2.3.1.1.10
fideos	2.2.3.2.1.10
fideos	2.2.3.3.1.14
fideos	2.2.3.4.1.13
fideos	2.2.4.1.1.10
fideos	2.2.4.2.1.14
fideos	2.2.4.3.1.12
fideos	2.2.4.4.1.11
fideos	2.2.6.3.1.13
fideos	2.2.7.1.1.17
fideos	2.2.7.2.1.16
fideos	2.2.7.3.1.12
fideos	2.2.7.4.1.10
Fideos secos	1.8.1.1.1.13
Fideos secos	1.8.2.1.1.15
Fideos secos	1.8.2.2.1.12
Fideos secos	1.8.6.1.1.13
fideus	2.2.5.1.1.10
fideus	2.2.5.2.1.17
fideus	2.2.5.3.1.13
fideus	2.2.5.4.1.15
fideus	2.2.6.1.1.16
fideus	2.2.6.2.1.13
fideus	2.2.6.4.1.17
field bean, field bean, Fríjol cancha	1.5.1.4.4.2
Field beans	5.4.2.1.4.8
Field beans	5.4.2.2.4.11
Field beans	5.4.2.4.4.12
Field beans	5.4.3.2.4.9
Field beans	5.4.3.3.4.9
Field beans	5.6.2.1.4.13
Field beans	5.6.2.2.4.9
Field beans	5.6.2.3.2.20
Field beans	5.6.2.3.4.10
Field beans	5.6.3.2.4.10
Field beans	5.6.3.3.4.9
field beans	2.3.8.2.4.2
field beans	2.3.9.2.4.4
field beans	8.2.1.2.4.3
Field beans pods	5.4.2.2.2.18
Field berries, Field berries, Åkerbär	2.9.3.3.3.5
field corn	1.1.5.5.1.9
field corn	1.1.6.1.1.7
field corn	9.4.1.2.1.18
field corn	9.4.1.3.1.20
field crab	7.1.7.3.6.1
field crab	7.1.8.1.6.20
field crab	7.1.9.2.6.10
field crabs	7.1.2.1.6.18
field crabs	7.1.2.2.6.9
field crabs	7.1.3.3.18.2
field crabs	7.1.3.3.6.19
field cucumbe0ries	1.1.14.5.2.17
field cucumber	1.1.13.2.2.17
Field cucumbers	2.9.4.3.2.10
field cucumbers	1.1.11.2.2.13
field cucumbers	1.1.11.3.2.12
field cucumbers	1.1.11.5.2.12
field cucumbers	1.1.13.3.2.11
field cucumbers	1.1.13.4.2.6
field cucumbers	1.1.14.1.2.15
field cucumbers	1.1.14.2.2.19
field cucumbers	1.1.7.4.2.14
field eel	7.1.8.1.6.12
field hen, field hen, Gallina de campo	1.8.5.2.6.7
Field mushrooms	5.3.1.1.18.2
field mushrooms	2.1.1.2.2.18
field onion	8.2.1.2.2.12
field onion	8.2.1.2.7.5
Field pea	2.5.1.1.4.8
Field pea	2.5.1.2.4.9
Field pea	2.5.1.3.4.9
Field pea	2.5.1.4.4.7
Field pea	2.5.2.1.4.6
Field pea	2.5.2.2.4.14
Field pea	2.5.2.3.4.3
Field pea	2.5.2.4.4.9
Field pea	2.5.3.1.4.8
Field pea	2.5.3.2.4.9
Field pea	2.5.3.3.4.7
Field pea	2.5.3.4.4.11
Field pea	2.5.4.1.4.8
Field pea	2.5.4.2.4.10
Field pea	2.5.4.4.4.10
Field pea	2.5.5.1.4.13
Field pea	2.5.5.2.4.14
Field pea	2.5.5.3.4.7
Field pea	2.5.6.1.4.14
Field pea	2.5.6.2.4.12
Field pea	2.5.6.3.4.13
Field pea	3.3.1.1.4.2
Field pea	3.3.1.2.4.2
Field pea	3.3.1.3.4.3
Field pea	3.3.1.4.4.2
Field pea	3.3.2.1.4.3
Field pea	3.3.2.2.4.3
Field pea	5.3.1.2.4.10
Field pea	5.3.3.2.4.9
Field pea	5.3.3.3.4.10
Field pea	5.3.3.4.4.9
Field pea	5.3.4.2.4.11
Field pea	5.3.4.4.4.9
Field pea	5.3.5.1.4.10
Field pea	5.3.5.2.4.10
Field pea	5.3.5.3.4.9
Field pea	5.3.5.4.4.10
Field pea	5.4.4.3.4.5
Field pea	5.5.5.3.4.5
Field pea	5.5.5.5.4.5
field pea	2.8.1.1.4.3
Field peas	1.1.2.1.4.7
Field peas	1.1.3.2.4.6
Field peas	1.1.3.3.4.4
Field peas	1.1.3.4.2.3
Field peas	1.1.3.4.4.3
Field peas	1.1.3.5.4.7
Field peas	1.1.3.6.4.5
Field peas	1.1.3.7.4.2
Field peas	1.1.4.2.4.14
Field peas	1.1.5.1.4.6
Field peas	1.1.5.2.4.4
Field peas	1.1.5.3.4.2
Field peas	1.1.5.4.4.2
Field peas	2.9.1.1.4.4
Field peas	2.9.2.1.4.4
Field peas	2.9.3.1.4.1
Field peas	2.9.3.2.4.6
Field peas	2.9.3.3.4.1
Field peas	2.9.3.4.4.2
Field peas	2.9.4.1.4.3
Field peas	2.9.4.2.4.1
Field peas	2.9.4.3.4.1
Field peas	2.9.6.1.4.4
Field peas	2.9.6.2.4.4
Field peas	2.9.7.1.4.6
Field peas	2.9.7.2.4.4
Field peas	2.9.8.1.4.4
Field peas	3.6.2.3.4.7
Field peas	3.6.3.1.4.7
Field peas	3.6.3.2.4.7
Field peas	3.6.3.3.4.5
Field peas	3.6.3.4.1.16
Field peas	3.6.3.4.4.5
Field peas	3.6.4.2.4.7
Field peas	3.6.4.4.4.7
Field peas	5.4.5.1.4.14
Field peas	5.4.5.3.4.11
Field peas	5.7.1.1.4.8
Field peas	5.7.1.2.4.8
Field peas	5.7.1.3.4.10
Field peas	5.7.1.4.4.4
Field peas	5.7.2.2.4.5
Field peas	5.7.3.2.4.4
Field peas	5.7.3.3.2.20
Field peas	5.7.3.3.4.5
Field peas	5.7.3.4.2.16
Field peas	5.7.3.4.4.4
Field peas	9.1.2.2.4.2
field peas	1.1.13.1.4.5
field peas	1.1.14.4.4.7
field peas	1.1.5.5.4.8
field peas	1.1.6.3.4.9
field peas	1.1.6.5.4.7
field peas	2.1.1.1.4.5
field peas	2.1.1.5.4.6
field peas	5.2.1.4.4.10
field peas	5.2.2.1.4.10
field peas	8.2.1.1.4.1
field peas	8.2.1.3.4.1
field peas	8.2.2.1.4.1
field peas	8.2.2.2.4.3
field peas	9.2.3.1.1.8
field peas	9.2.3.1.4.1
field peas	9.2.3.2.4.1
field peppers	1.1.13.2.2.34
field rhubarb	1.1.14.5.2.27
Field Rolled, Field Rolled, Arrollado de campo	1.8.5.1.14.4
field rooster, field rooster, galo do campo	2.2.1.5.6.5
Field salad	2.5.2.2.2.43
Field salad	2.5.2.3.2.45
Field salad	2.5.2.4.2.46
Field salad	2.5.3.4.2.50
field tomatoes	1.1.14.1.2.18
field tomatoes	1.1.14.2.2.22
field wasabi	6.7.5.2.7.3
fieno greco	2.4.2.3.7.1
fieno greco essiccato	2.4.2.3.8.3
fiery, fiery, jerivá	1.7.5.1.3.14
Fifty-year-old corn flour, Fifty-year-old corn flour, farina di mais cinquantino	2.4.2.2.1.3
Fig	1.3.4.1.3.13
Fig	3.2.1.1.3.26
Fig	3.2.1.2.3.13
Fig	3.2.1.4.3.10
Fig	3.2.1.5.3.10
Fig	3.2.2.2.3.17
Fig	9.1.5.1.3.20
fig	4.1.1.1.3.2
fig	4.1.1.2.3.27
fig	4.1.1.3.3.12
fig	4.1.2.1.3.9
fig	4.1.4.1.3.16
fig	4.1.5.1.3.13
fig	4.1.5.2.3.14
fig	4.1.5.3.3.17
fig	4.1.5.4.3.16
fig	4.3.1.1.3.16
fig	4.3.1.2.3.9
fig	4.3.1.4.3.19
fig	4.3.1.5.3.18
fig	4.3.2.1.3.11
fig	4.3.2.2.3.6
fig	4.3.2.3.3.14
fig	4.3.2.4.3.4
fig	5.2.1.2.3.8
fig	5.2.3.2.3.15
fig	5.2.4.1.3.8
fig	5.2.4.4.3.10
fig	6.6.3.1.3.9
fig	6.6.3.2.3.11
fig	9.2.2.2.3.22
fig	9.2.2.3.3.16
fig	9.2.2.4.3.25
fig	9.2.3.3.3.33
fig ball, fig ball, pallone di fichi	2.4.5.4.3.27
fig braids, fig braids, trecce di fichi	2.4.5.4.14.34
fig braids, fig braids, trecce di fichi	2.4.5.4.3.26
fig brandy	2.6.2.1.20.11
fig brandy	2.6.2.2.20.14
fig bread	2.6.2.1.14.10
fig bread	2.6.7.1.1.11
fig bread	2.6.7.1.18.11
fig bread	2.6.7.4.1.14
fig cake	2.6.2.4.14.9
Fig candy, Fig candy, Dulce de higos	1.5.4.3.14.6
Fig candy, Fig candy, Dulce de higos	1.5.5.4.14.7
Fig chutney	2.3.6.1.13.10
fig chutney	2.7.1.4.13.6
fig chutney	9.2.3.3.13.11
fig dough, fig dough, massa de figo	2.2.1.5.13.3
fig dough, fig dough, massa de figo	2.2.1.5.18.3
fig gliko	2.6.7.3.13.4
fig gliko	2.6.7.3.14.6
fig honey, fig honey, miel de higo	1.6.1.2.15.4
fig honey, fig honey, miele di fichi	2.4.5.4.15.2
fig honey, fig honey, miele di fichi	2.4.5.4.19.7
fig honeydew, fig honeydew, melata di fichi	2.4.5.1.15.4
Fig jam	2.3.6.1.14.9
Fig jam	2.3.6.3.14.10
Fig jam	2.3.6.4.13.9
fig jam	2.6.1.2.13.13
fig jam	2.6.2.4.13.8
fig jam	2.6.4.2.13.7
fig jam	2.6.6.1.15.3
fig jam	2.6.7.2.13.5
fig jam	2.6.7.4.13.6
fig jam	2.7.1.2.14.10
fig jam	2.8.5.4.13.9
fig jam	2.8.5.4.14.14
fig jam	3.1.1.3.14.7
fig jam	3.1.2.2.13.3
fig jam	3.1.2.2.14.8
fig jam	3.1.4.2.15.3
fig jam	4.2.1.3.15.6
fig jam	4.3.1.2.14.15
fig jam	4.3.1.4.14.10
fig jam	4.3.1.5.14.14
fig jam	4.3.2.3.14.9
fig jam	4.3.3.1.13.10
fig jam	4.3.3.1.15.5
fig jam	4.3.3.3.14.10
fig jam	4.3.4.2.14.12
fig jam	4.3.5.1.14.10
fig jam	4.3.5.2.14.11
fig jam	4.3.5.3.14.7
fig jam	6.7.2.3.15.3
fig jam	6.7.4.1.15.5
fig jam	6.7.5.3.15.4
fig jam	6.7.6.1.15.6
fig jam, fig jam, confettura di fichi	2.5.4.3.13.8
fig jam, fig jam, doce de figo	1.7.6.2.14.8
Fig jam, Fig jam, Mermelada de higo	1.8.4.1.14.11
Fig jam, Fig jam, Mermelada de higo	1.8.4.2.14.11
Fig jam, Fig jam, Mermelada de higo	1.8.4.3.14.14
fig leaf, fig leaf, hoja de higo	1.3.1.1.18.15
fig leaf, fig leaf, hoja de higo	1.3.1.1.19.15
fig leaf, fig leaf, hoja de higo	1.3.6.5.19.2
fig leaf, fig leaf, hoja de higo	1.3.6.5.7.8
fig leaf, fig leaf, Hoja de higuera	1.5.3.3.23.3
Fig leaves	2.3.6.1.23.2
Fig leaves	5.7.3.2.23.3
Fig leaves	9.1.3.2.23.2
fig leaves	2.7.2.3.23.5
fig leaves	7.1.8.3.17.7
fig leaves	7.1.8.3.7.4
fig leaves, fig leaves, foglie di fico	2.4.3.3.23.3
Fig loin, Fig loin, Lonzino di fico	2.4.3.3.14.17
Fig loin, Fig loin, Lonzino di fico	2.4.3.3.18.7
fig marmalade	2.6.2.1.13.8
Fig molasses	9.1.3.2.15.5
fig molasses	4.1.1.3.13.7
fig molasses	4.1.1.3.15.4
fig molasses	4.1.2.1.13.9
fig molasses	4.1.2.1.15.4
fig molasses	4.1.2.3.13.10
fig molasses	4.1.2.3.15.6
fig paste	2.7.1.2.14.11
fig pekmez	2.6.4.2.13.8
fig pekmez	2.6.4.2.14.11
fig pekmez	2.6.4.2.15.5
fig pekmez	2.6.4.2.18.7
fig preserve	4.2.2.3.13.7
fig preserve	4.2.2.3.18.9
fig preserve	5.2.3.2.14.8
Fig preserves	1.1.3.3.14.10
Fig preserves	1.1.3.5.13.10
Fig preserves	1.1.3.5.14.11
Fig preserves	1.1.3.6.13.10
Fig preserves	1.1.3.6.14.12
Fig preserves	1.1.3.7.13.9
Fig preserves	1.1.3.7.14.11
Fig preserves	1.1.5.1.14.11
Fig preserves	1.1.5.2.14.12
Fig preserves	1.1.5.3.13.11
Fig preserves	1.1.5.3.14.11
Fig preserves	1.1.5.4.13.11
Fig preserves	1.1.5.4.14.11
Fig preserves	2.3.6.4.14.16
fig preserves	1.1.10.1.13.8
fig preserves	1.1.10.1.14.15
fig preserves	1.1.10.2.13.11
fig preserves	1.1.10.2.14.14
fig preserves	1.1.10.3.13.6
fig preserves	1.1.10.4.13.9
fig preserves	1.1.10.4.14.14
fig preserves	1.1.10.5.14.15
fig preserves	1.1.11.1.13.9
fig preserves	1.1.11.2.13.9
fig preserves	1.1.5.5.14.13
fig preserves	1.1.8.1.14.14
fig preserves	1.1.8.2.14.13
fig preserves	1.1.8.3.14.16
fig preserves	1.1.8.4.14.14
fig preserves	1.1.8.5.14.13
fig preserves	1.1.8.6.14.13
fig preserves	1.1.9.2.14.15
fig preserves	1.1.9.4.14.14
fig preserves	2.7.1.2.14.12
fig preserves	2.7.2.2.14.11
fig preserves	2.7.2.4.14.12
fig preserves	2.7.2.5.14.13
fig raisin, fig raisin, passa de figo	2.2.1.5.14.11
fig raisin, fig raisin, passa de figo	2.2.1.5.3.4
fig sap rennet	3.1.1.2.22.3
fig spoon sweet	2.7.3.1.14.12
fig spoon sweet	2.7.3.2.14.15
fig spread	2.7.1.4.13.7
Fig sugar concentrate	2.2.8.1.15.6
fig syrup	2.7.1.4.13.8
fig syrup	2.8.5.4.15.4
fig syrup	4.2.3.1.15.5
fig syrup, fig syrup, sciroppo di fichi	2.4.6.1.15.7
fig syrup, fig syrup, sciroppo di fichi	2.4.6.2.15.8
fig syrup, fig syrup, sciroppo di fichi	2.4.6.3.15.7
fig thyme, fig thyme, incir kekiği	4.1.2.3.8.4
Fig tree leaves	9.3.1.2.2.16
Fig tree leaves	9.3.1.2.7.3
fig vinegar	6.7.5.3.12.3
Fig wedges	2.3.6.1.17.12
fig wood ash	4.1.1.3.24.3
fig wood smoke	4.1.2.1.24.4
figa	2.2.5.2.3.27
figa	2.2.5.3.3.29
figa	2.2.6.4.3.9
figa seca	2.2.6.4.3.10
Figat	2.2.8.2.14.10
Figat	2.2.8.2.18.13
Figatelli	2.3.6.4.14.4
Figatelli	2.3.6.4.6.11
figo	1.7.4.3.3.9
figo	1.7.5.3.3.20
figo	1.7.6.1.3.14
figo	1.7.6.2.3.13
figo	1.7.6.4.3.10
figo	2.2.2.2.3.5
figo em calda	1.7.4.3.14.11
figo liqueur, figo liqueur, licor de figo	1.7.4.3.20.9
Figo Moro from Caneva, Figo Moro from Caneva, Figo Moro da Caneva	2.4.2.2.18.11
Figo Moro from Caneva, Figo Moro from Caneva, Figo Moro da Caneva	2.4.2.2.3.5
figo seco	2.2.1.5.14.10
figo seco torrado	2.2.1.5.18.8
figos lampos	2.2.1.5.3.2
figos vindimos	2.2.1.5.3.3
Figs	1.1.2.2.3.21
Figs	1.1.2.4.3.16
Figs	1.1.3.1.18.6
Figs	1.1.3.1.3.12
Figs	1.1.3.2.18.2
Figs	1.1.3.2.3.12
Figs	1.1.3.3.3.9
Figs	1.1.3.4.3.10
Figs	1.1.3.5.3.5
Figs	1.1.3.6.3.8
Figs	1.1.3.7.3.4
Figs	1.1.4.3.3.19
Figs	1.1.4.4.3.25
Figs	1.1.5.1.3.4
Figs	1.1.5.2.3.4
Figs	1.1.5.3.3.4
Figs	1.1.5.4.3.7
Figs	1.2.1.6.3.10
Figs	1.2.2.6.3.10
Figs	1.2.2.7.3.10
Figs	1.2.2.8.3.10
Figs	1.2.2.9.3.10
Figs	2.2.7.5.3.12
Figs	2.2.8.1.3.12
Figs	2.2.8.2.17.9
Figs	2.2.8.2.3.1
Figs	2.2.8.3.3.1
