!Khuxā coffee root	3.7.2.4.18.2
!Khuxā coffee root	3.7.2.4.19.2
!Khuxā coffee root powder	3.7.2.4.8.4
//Kȗnȋ, //Kȗnȋ, //Kȗnȋ	3.7.2.4.18.3
//Kȗnȋ, //Kȗnȋ, //Kȗnȋ	3.7.2.4.7.4
//Kȗnȋ, //Kȗnȋ, //Kȗnȋ	3.7.2.4.8.5
2.6.8 Kosovo	2.2.1.3.24.96
kale	9.2.2.2.2.18
kale	9.2.2.4.2.15
kale	9.2.3.2.2.17
kale	9.2.3.3.2.21
kale	9.4.1.1.2.27
kale	9.4.1.2.2.15
kale	9.4.1.2.7.7
kale	9.4.1.3.2.15
Kale biberi	4.1.2.3.18.11
Kale biberi	4.1.2.3.2.3
Kale biberi	4.1.2.3.9.6
Kale leaves	1.4.7.1.7.9
kale leaves, kale leaves, karalahana yaprağı	4.1.4.1.7.8
Kale, Kale, Grünkohl	2.5.1.1.2.1
Kale, Kale, Grünkohl	2.5.1.2.2.2
Kale, Kale, Grünkohl	2.5.1.3.2.8
Kalecik Karası Grape, Kalecik Karası Grape, Kalecik Karası Üzümü	4.1.3.1.18.4
Kalecik Karası Grape, Kalecik Karası Grape, Kalecik Karası Üzümü	4.1.3.1.3.1
Kalecik Karası wine, Kalecik Karası wine, Kalecik Karası wine	4.1.3.1.20.4
kaledo seasoning broth	7.3.5.3.13.4
Kaleji	3.5.4.3.2.3
kalembula	3.7.5.1.2.20
Kales	3.6.1.1.2.13
Kales	3.6.1.2.2.1
Kales	3.6.1.3.2.2
Kales	3.6.1.4.2.4
Kales	3.6.1.5.2.4
kalganivka	2.8.2.1.20.3
kalganivka	2.8.2.4.20.4
Kali Karjat rice	5.4.2.1.1.4
Kali Karjat rice	5.4.2.1.18.2
Kalinga coffee	7.4.1.3.20.4
Kalinjot olive oil	2.6.7.4.10.2
Kalinjot olive oil	2.6.7.4.18.3
Kalinjot olives	2.6.7.4.18.2
Kalinjot olives	2.6.7.4.3.1
kalitki	2.8.7.2.18.2
kalitki	2.8.7.5.18.7
kalitki dough	2.8.7.2.1.21
kalitki dough	2.8.7.5.1.17
kalitki shells	2.8.7.5.23.3
Kalix Lojrom, Kalix Lojrom, Kalix Löjrom	2.9.3.3.17.1
Kalix Lojrom, Kalix Lojrom, Kalix Löjrom	2.9.3.3.18.1
kalkan	4.1.1.1.6.17
kalkan	4.1.1.2.6.12
kalkan	4.1.4.1.6.17
kalkan	4.1.4.3.6.10
Kallappam batter	5.6.1.2.18.2
Kallappam batter	5.6.1.3.18.2
Kalloni sea salt	2.7.2.4.21.1
Kalmegh	5.5.1.2.18.7
Kalmegh	5.5.1.2.19.5
Kalmi shak	5.5.1.2.2.22
Kalmi shak	5.5.1.2.7.3
kalo	1.1.12.1.1.1
kalo	1.1.12.2.1.1
kalo	1.1.12.3.1.1
kalo	1.1.12.4.1.1
kalo	1.1.12.5.1.1
Kalo ainselu	5.5.1.3.18.6
Kalo ainselu	5.5.1.3.3.14
Kalo jeera	5.5.2.3.8.9
Kalo jeere	5.5.1.2.8.8
Kalo shorshe	5.5.1.1.5.2
Kalo shorshe	5.5.1.2.5.1
Kalo sorisa	5.5.2.1.5.1
Kalo sorisa	5.5.2.1.8.3
Kalo sorisa	5.5.2.2.5.1
Kalo sorisa	5.5.2.2.8.3
kalo stems	1.1.12.5.2.2
Kalo surso	5.5.2.3.5.2
Kalonji	5.3.4.2.18.8
Kalonji	5.3.4.2.19.5
Kalonji	5.3.4.2.5.9
Kalonji	5.3.4.2.8.10
Kalonji	5.3.4.4.5.9
Kalonji	5.3.4.4.8.8
kalonji	5.2.1.1.19.7
kalonji	5.2.1.4.19.6
Kalou	3.8.4.1.20.9
Kalpari	9.1.5.3.7.1
Kalpari leaves	9.1.5.3.2.8
Kalpasi	5.6.2.4.18.5
Kalpasi	5.6.2.4.8.17
kalti	4.2.1.5.11.11
kalti	4.2.1.5.14.2
kalti	4.2.1.5.18.4
Kaltrauch	2.5.4.4.24.4
kaluga sturgeon	6.1.3.3.6.3
Kalymnos thyme honey	2.7.2.2.18.9
Kalyvia cucumbers	2.7.1.1.18.2
Kalyvia cucumbers	2.7.1.1.2.2
Kama flour	2.9.6.2.1.13
kamaage shirasu	6.7.4.1.17.5
kamaage shirasu	6.7.4.1.6.2
kamaage-shirasu	6.7.4.4.14.12
kamaboko	6.7.4.4.6.21
Kamachi oomizuimo	6.7.6.1.2.19
Kamad rice	5.3.1.1.1.2
kamairicha	6.7.6.1.20.7
Kamairicha Kamao	6.7.6.5.19.8
Kamairicha Kamao	6.7.6.5.20.2
Kamairicha Kamao infusion	6.7.6.5.16.11
Kamairicha Kamao tea leaves	6.7.6.5.8.15
kamairicha leaves	6.7.6.1.8.5
Kamalapur red banana	5.6.3.4.18.5
Kamalapur red banana	5.6.3.4.3.5
Kamaru	7.4.1.1.18.1
Kamboi	5.4.1.4.18.5
Kamboi twigs	5.4.1.4.23.2
kambose	7.3.5.4.1.18
kambose	7.3.5.4.18.4
kambro	3.7.1.7.18.8
kambro preserve	3.7.1.7.14.10
Kambu koozh	5.6.2.3.14.3
Kambu koozh	5.6.2.3.20.6
kambuzi	3.7.7.3.6.4
kambuzi chili	3.7.7.3.18.4
kambuzi chili	3.7.7.3.8.2
Kamchatka king crab	8.2.4.4.6.22
kameeldoring wood	3.7.1.7.24.1
Kameido daikon	6.7.3.1.18.2
Kameido daikon	6.7.3.1.2.2
Kameido daikon	6.7.3.1.9.6
Kamenosuke negi	6.7.2.1.2.22
Kamenosuke negi	6.7.2.1.9.5
Kami	4.5.6.1.11.8
Kamias	7.4.1.1.12.5
Kamias	7.4.1.1.3.8
Kamikoimo taro	6.7.5.1.1.15
Kamille	2.5.2.2.19.6
Kamille	2.5.2.4.19.8
Kamille	2.5.3.1.19.6
Kamille	2.5.4.4.19.9
Kaminokuni Suffolk lamb	6.7.1.1.6.47
Kaminwurzen	2.4.2.3.14.2
Kaminwurzen	2.4.2.3.6.2
Kaminwurzen	2.5.3.3.14.18
Kaminwurzen	2.5.3.3.6.26
kammouneh	4.3.1.5.13.11
Kamnik Temjanika	2.6.9.1.18.12
Kamnik Vranec	2.6.9.1.18.11
Kamo nasu	6.7.4.2.18.2
Kamo nasu	6.7.4.2.2.2
kamokamo	9.2.1.1.2.10
kamokamo	9.2.1.2.2.14
kamokamo	9.2.1.3.2.9
kamokamo	9.2.3.3.2.22
kamouri	6.7.5.1.2.19
kampango	3.7.7.1.6.8
kampango	3.7.7.2.6.6
kampango	3.7.7.3.6.6
Kampot black pepper	7.1.6.5.18.2
Kampot black pepper	7.1.6.5.8.3
Kampot durian	7.1.6.5.18.6
Kampot durian	7.1.6.5.3.1
Kampot fish sauce	7.1.6.5.13.1
Kampot fish sauce	7.1.6.5.14.1
Kampot fish sauce	7.1.6.5.18.7
Kampot pepper	7.1.6.5.18.1
Kampot red pepper	7.1.6.5.18.3
Kampot red pepper	7.1.6.5.8.4
Kampot white pepper	7.1.6.5.18.4
Kampot white pepper	7.1.6.5.8.5
Kampot-Kep coarse salt	7.1.6.5.18.8
Kampot-Kep coarse salt	7.1.6.5.21.1
Kampot-Kep fine salt	7.1.6.5.18.10
Kampot-Kep fine salt	7.1.6.5.21.3
Kampot-Kep flower of salt, Kampot-Kep flower of salt, Kampot-Kep fleur de sel	7.1.6.5.18.9
Kampot-Kep flower of salt, Kampot-Kep flower of salt, Kampot-Kep fleur de sel	7.1.6.5.21.2
Kampot-Kep salt	7.1.6.5.19.6
Kampot-Kep salt flakes	7.1.6.5.18.11
Kampot-Kep salt flakes	7.1.6.5.21.4
Kamranga	5.5.1.1.3.16
Kamranga	5.5.5.2.3.12
Kamranga achar	5.5.1.1.14.7
kamut flour	2.6.1.2.1.19
Kan-aji	6.7.6.5.18.19
Kan-aji	6.7.6.5.6.16
Kan-buri	6.7.6.5.18.21
Kan-buri	6.7.6.5.6.18
Kan-saba	6.7.6.5.18.20
Kan-saba	6.7.6.5.6.17
Kana turnips	6.7.2.1.2.16
Kanaad	4.5.6.1.6.2
Kanaad	4.5.6.3.6.10
Kanad	4.5.3.3.6.8
kanae mullet	9.2.2.2.6.24
kanae mullet	9.2.2.4.6.18
Kanak cabbage	9.3.5.1.18.3
Kanak cabbage	9.3.5.1.2.3
Kanak cabbage	9.3.5.2.18.3
Kanak cabbage	9.3.5.2.2.3
Kanak cabbage	9.3.5.3.2.1
Kanak cabbage	9.3.5.4.18.1
Kanak cabbage	9.3.5.4.19.8
Kanak cabbage	9.3.5.4.2.1
Kanak cabbage leaves	9.3.5.1.23.2
Kanak cabbage leaves	9.3.5.1.7.2
Kanak cabbage leaves	9.3.5.2.23.2
Kanak cabbage leaves	9.3.5.2.7.2
Kanak cabbage leaves	9.3.5.3.7.2
Kanak cabbage leaves	9.3.5.4.23.2
Kanak cabbage leaves	9.3.5.4.7.1
kanakana	9.2.1.3.6.3
Kanakchur rice	5.5.1.1.1.5
Kanaq' leaves	1.3.1.1.7.8
Kanatofugu	6.7.6.1.6.16
Kanazawa ippon futonegi	6.7.5.1.2.10
Kanazawa ippon futonegi	6.7.5.1.9.1
Kanazawa shungiku	6.7.5.1.2.14
Kanazawa shungiku	6.7.5.1.7.4
kanburi	6.7.5.1.6.2
Kancha aam	5.5.1.1.12.3
Kancha aam	5.5.1.1.3.2
Kancha aam	5.5.1.2.12.4
Kancha aam	5.5.2.1.12.3
Kancha aam	5.5.2.1.3.2
Kancha aam	5.5.2.2.12.3
Kancha aam	5.5.2.2.3.2
Kancha aam	5.5.2.3.12.3
Kancha aam	5.5.2.3.3.2
Kancha lanka	5.5.1.1.17.2
Kancha lanka	5.5.1.1.9.4
Kancha lanka	5.5.1.2.17.2
Kancha lanka	5.5.1.2.9.4
Kancha lanka	5.5.2.1.17.2
Kancha lanka	5.5.2.1.9.5
Kancha lanka	5.5.2.2.17.2
Kancha lanka	5.5.2.2.9.5
Kancha lanka	5.5.2.3.17.1
Kancha lanka	5.5.2.3.9.5
Kancha lanka bata	5.5.1.2.13.6
Kanda	5.5.2.3.1.14
Kanda	5.5.4.1.1.17
Kanda bhaji	5.4.5.1.7.7
Kanda lasun masala	5.4.2.2.13.5
Kanda lasun masala	5.4.2.2.18.5
Kanda leaf	5.8.1.1.23.2
kandaba	6.7.7.1.19.7
kandaba	6.7.7.1.2.14
kandaba leaves	6.7.7.1.7.4
Kandahar-Arghandab pomegranate	5.1.1.4.18.1
Kandahar-Arghandab pomegranate	5.1.1.4.3.1
Kandahari naan	5.1.1.4.1.6
Kandahari naan	5.1.1.4.18.5
Kandaki Konibodom apricot	8.1.4.2.18.8
Kandal brown goat cheese	2.9.2.2.11.13
Kandal brown goat cheese	2.9.2.2.18.12
Kandali	5.3.1.4.18.9
Kandali	5.3.1.4.19.1
kandierte Zitronenscheiben	2.5.2.3.17.9
Kandis	2.5.1.1.15.4
Kandis	2.5.1.2.15.3
Kandiszucker	2.5.1.2.15.4
Kandiszucker	2.5.1.4.15.3
Kandol	5.4.5.2.4.2
Kandul	5.5.2.3.4.1
Kandula	5.5.2.4.4.1
kanelada of Symi	2.7.2.2.20.6
Kanesaki natural torafugu	6.7.6.1.18.23
Kanesaki natural torafugu	6.7.6.1.6.15
Kangaroo	9.1.1.2.6.20
Kangaroo	9.1.1.3.6.14
Kangaroo	9.1.1.4.6.1
Kangaroo	9.1.4.3.6.7
Kangaroo apple ripe fruit	9.1.1.3.3.11
Kangaroo apple ripe fruit	9.1.3.1.3.15
Kangaroo fat	9.1.1.4.10.3
Kangaroo grass flour	9.1.1.3.1.13
Kangaroo grass flour	9.1.1.3.22.4
Kangaroo grass seed	9.1.1.3.5.2
Kangaroo grass seed	9.1.2.3.5.8
Kangaroo grass seed	9.1.3.1.1.14
Kangaroo grass seed	9.1.3.1.5.4
Kangaroo Island sea salt	9.1.3.3.18.7
Kangaroo Island sea salt	9.1.3.3.21.2
Kangaroo liver	9.1.1.1.6.8
kangaroo meat	7.3.7.3.18.3
kangaroo meat	7.3.7.3.6.10
Kangaroo stomach	9.1.1.1.6.9
Kangding red-skin radish	6.4.1.4.2.1
Kangkong	7.4.1.5.2.18
Kangkong	7.5.1.1.2.16
Kangkong	9.1.5.1.2.3
Kangkong	9.3.1.2.2.3
Kangkong	9.3.1.3.2.19
Kangkong	9.3.1.4.2.5
kangkong	9.4.2.1.2.6
kangkong	9.4.2.1.7.3
kangkong	9.4.2.2.2.7
kangkong	9.4.2.2.7.6
kangkong	9.4.3.1.2.14
kangkong	9.4.3.1.7.4
kangkong	9.4.3.3.2.16
kangkong	9.4.3.3.7.7
Kangkong tips	9.3.1.3.7.10
Kangkong tips	9.3.1.4.7.6
kangl leaves	9.4.4.2.19.7
Kanglang fish	6.4.2.1.18.10
Kanglang fish	6.4.2.1.6.14
Kangu	5.5.2.4.1.6
Kangun grapes	4.2.2.1.20.7
Kanji	5.3.2.1.14.6
Kanji	5.3.2.1.18.6
Kanji	5.3.2.1.20.6
Kanji	5.3.2.2.14.7
Kanji	5.3.2.2.18.5
Kanji	5.3.2.2.20.8
Kanji	5.3.2.3.14.7
Kanji	5.3.2.3.18.7
Kanji	5.3.2.3.20.6
Kanji	5.3.3.1.14.1
Kanji	5.3.3.1.19.10
Kanji	5.3.3.1.20.6
Kanji	5.3.3.2.14.1
Kanji	5.3.3.2.20.7
Kanji	5.3.3.3.14.6
Kanji	5.3.3.3.20.7
Kanji	5.3.3.4.14.1
Kanji	5.3.3.4.20.6
Kanji	5.3.4.4.14.9
Kanji	5.3.4.4.20.6
Kanji	5.3.5.1.14.10
Kanji	5.3.5.1.20.8
Kanji	5.3.5.2.14.6
Kanji	5.3.5.2.20.10
Kanji	5.3.5.4.14.10
Kanji	5.3.5.4.20.8
Kanji	5.4.2.1.16.5
Kanji vadagam	5.6.2.4.14.8
Kankada	5.5.2.1.6.7
Kankado	5.5.2.3.2.13
Kankolekole	3.7.5.2.18.1
Kankor	5.5.3.1.18.12
Kankor	5.5.3.1.6.6
Kankor chutney	5.5.3.1.13.6
kankoro	6.7.6.2.1.23
kankoro	6.7.6.2.14.11
kankoro mochi	6.7.6.2.1.24
kankoro mochi	6.7.6.2.14.12
kankoro mochi	6.7.6.2.18.2
Kanlıca yogurt, Kanlıca yogurt, Kanlıca yogurt	4.1.1.1.11.1
Kanlıca yogurt, Kanlıca yogurt, Kanlıca yogurt	4.1.1.1.18.5
Kanmon kaikyo tako	6.7.6.1.18.24
Kanmon kaikyo tako	6.7.6.1.6.21
Kanoya kanpachi	6.7.6.4.18.14
Kanoya kanpachi	6.7.6.4.6.14
kanpachi	6.7.6.4.6.13
kanpachi	6.7.7.3.6.15
kanpyo	6.7.3.2.14.3
kanpyo	6.7.3.2.18.12
kanpyo	6.7.3.2.8.4
kanpyo gourd	6.7.3.2.2.18
kanpyo strips	6.7.3.2.17.9
kanpyo strips	6.7.3.2.23.1
Kanssiyé, Kanssiyé, kanssiyé	3.4.2.1.13.7
Kanssiyé, Kanssiyé, kanssiyé	3.4.2.4.13.4
Kansui	6.5.1.1.21.4
Kansui	6.5.1.2.21.4
Kansui	6.5.1.3.21.4
Kansui	6.5.2.4.21.4
Kanta bhaji	5.5.2.4.2.3
Kanta bhaji	5.5.2.4.7.2
kantaron	4.1.2.1.19.7
Kanterkomijnekaas	2.3.8.2.11.8
Kanternagelkaas	2.3.8.2.11.7
Kanternagelkaas	2.3.8.2.18.4
Kanthari mulaku curry	5.6.1.1.13.11
kanuka and manuka clover blend honey, kanuka and manuka clover blend honey, kanuka and mānuka clover blend honey	9.2.2.4.15.4
kanuka and manuka clover blend honey, kanuka and manuka clover blend honey, kanuka and mānuka clover blend honey	9.2.2.4.19.3
kanuka leaves, kanuka leaves, kānuka leaves	9.2.1.2.7.5
kanuka leaves, kanuka leaves, kānuka leaves	9.2.1.3.7.5
kanuka wood, kanuka wood, kānuka wood	9.2.1.2.24.2
kanuka wood, kanuka wood, kānuka wood	9.2.1.3.24.2
kanuka wood, kanuka wood, kānuka wood	9.5.6.2.24.3
Kanwa	3.5.1.1.21.4
Kanwa	3.5.1.1.22.2
Kanwa	3.5.1.4.18.4
Kanwa	3.5.1.4.21.4
Kanwa	3.5.1.4.22.3
Kanwa	3.5.5.2.21.4
kanwa	3.4.6.5.21.4
kanwa	3.4.6.5.22.4
kanwa	3.4.6.6.21.4
kanwa	3.4.6.6.22.4
Kanyakumari Matti banana	5.6.2.5.3.1
Kanyanga	3.5.4.5.20.6
Kanye mushrooms	5.7.1.4.18.6
Kanyo kamulamu	3.7.5.4.2.35
kao	9.2.1.2.1.2
Kaohsiung No. 11 jujubes, Kaohsiung No. 11 jujubes, Kaohsiung No. 11 jujube	6.5.2.3.3.5
Kaohsiung No. 12 Jujube, Kaohsiung No. 12 Jujube, Kaohsiung No. 12 jujube	6.5.2.3.3.6
Kaorino strawberries	6.7.4.2.3.10
kapah clam	7.2.4.4.6.4
kapama	2.8.5.1.18.8
kapana onion-tomato salad	3.7.2.1.13.6
kapana spice	3.7.2.1.13.5
kaparosalata	2.7.2.1.13.2
Kapıdağ purple onion, Kapıdağ purple onion, Kapıdağ purple onion	4.1.1.3.18.18
Kapıdağ purple onion, Kapıdağ purple onion, Kapıdağ purple onion	4.1.1.3.2.17
Kapıdağ purple onion, Kapıdağ purple onion, Kapıdağ purple onion	4.1.1.3.9.1
Kapenta	3.5.4.4.14.7
Kapenta	3.5.4.4.18.1
Kapenta	3.5.4.4.6.5
kapenta	3.7.2.2.6.7
kapenta	3.7.4.1.6.8
kapenta	3.7.4.2.6.10
kapenta	3.7.5.1.6.9
kapenta	3.7.5.3.6.8
kapenta	3.7.6.2.6.8
kapi	7.1.6.1.13.4
kapi	7.1.6.1.14.4
kapi	7.1.6.2.13.5
kapi	7.1.6.2.14.4
kapi	7.1.6.3.13.4
kapi	7.1.6.3.14.3
kapi	7.1.6.4.13.3
kapi	7.1.6.4.14.3
kapi	7.1.6.5.13.7
kapi	7.1.6.5.14.3
kapi sauce	7.1.4.2.13.12
kapia	2.5.6.1.2.7
kapia pepper	2.8.4.2.2.12
kapia peppers	2.8.5.1.2.4
kapia peppers	2.8.5.2.2.3
kapia peppers	2.8.5.3.2.4
kapia peppers	2.8.5.4.2.6
kapia peppers	2.8.5.5.2.3
kapia peppers	2.8.6.3.2.7
Kapiti Island honey, Kapiti Island honey, Kāpiti Island honey	9.2.2.3.15.2
Kapiti Island honey, Kapiti Island honey, Kāpiti Island honey	9.2.2.3.19.2
kapok flower	6.3.1.1.18.6
kapok flower	6.3.1.1.19.1
kapok flower	6.3.1.2.19.9
kapok flowers	7.1.2.1.18.9
kapok flowers	7.1.2.1.2.26
kapor	2.5.6.1.6.17
kapor	2.5.6.2.6.25
kapor	2.5.6.3.6.12
Kappaphycus seaweed	7.4.2.1.18.1
Kappaphycus seaweed	7.4.2.3.18.6
Kappaphycus seaweed	7.4.4.4.18.3
kapr	2.5.5.1.6.2
kapr	2.5.5.2.6.2
kapr	2.5.5.3.6.7
kapul	7.3.4.2.3.12
kapul	7.3.4.4.18.10
kapul	7.3.4.4.3.2
kapusta	2.5.5.1.2.15
kapusta	2.5.5.2.2.16
kapusta	2.5.6.3.9.11
kapusu nosu	7.3.5.4.1.19
kapusu nosu	7.3.5.4.18.5
Kapuzinerkresse	2.5.2.4.7.12
kapya pepper	4.1.1.1.2.7
kapya pepper	4.1.2.2.2.5
kapya pepper	4.1.2.2.9.7
Kara chutney	5.6.2.4.13.1
kara kekik	4.1.2.3.8.5
kara sazan	4.1.1.2.6.36
kara-kyltyryk rice	8.1.2.4.1.10
kara-kyltyryk rice	8.1.2.4.18.4
Karacadağ Rice, Karacadağ Rice, Karacadağ Pirinci	4.1.5.2.1.1
Karacadağ Rice, Karacadağ Rice, Karacadağ Pirinci	4.1.5.2.18.3
karachi amarillo	1.6.4.1.18.8
karachi amarillo	1.6.4.1.6.13
karachi negro	1.6.4.1.6.14
Karadantu	5.6.3.4.18.7
Karadi	5.5.2.4.18.9
Karadi	5.5.2.4.2.1
Karadi achar	5.5.2.4.13.3
Karadi achar	5.5.2.4.14.5
karadut pekmezi	4.1.4.1.19.7
Karahalli Liver, Karahalli Liver, Karahallı Ciğeri	4.1.2.2.6.13
Karahalli Melon, Karahalli Melon, Karahallı Kavunu	4.1.2.2.18.9
Karahalli Melon, Karahalli Melon, Karahallı Kavunu	4.1.2.2.3.1
karahyang	6.6.3.2.18.7
karahyang	6.6.3.2.3.7
karaimo ame	6.7.6.4.15.4
Karak jameed	4.3.3.3.18.1
Karak tea	4.5.1.1.20.3
Karak tea	4.5.3.2.20.2
Karak tea	4.5.3.3.20.3
Karak tea	4.5.5.1.20.3
Karak tea	4.5.6.3.20.4
karaka berries	9.5.6.2.18.4
karaka berries	9.5.6.2.3.1
karaka berry flesh	9.2.1.1.3.1
karaka berry flesh	9.2.1.2.3.1
karaka kernels	9.2.1.1.5.4
karaka kernels	9.2.1.2.5.2
Karakanji	3.5.5.2.16.7
Karakanji	3.5.5.2.18.8
Karakanji	3.5.5.2.20.2
Karaköprü Pomegranate, Karaköprü Pomegranate, Karaköprü Narı	4.1.5.1.18.9
Karaköprü Pomegranate, Karaköprü Pomegranate, Karaköprü Narı	4.1.5.1.3.2
karalahana	4.1.4.1.2.16
karalahana	4.1.4.3.2.1
karalahana	4.1.4.3.9.9
karalahana leaves	4.1.4.3.23.3
karalahana leaves	4.1.4.3.7.5
Karamanga	5.5.2.4.2.6
Karamea lime	9.2.3.4.18.6
Karamea lime	9.2.3.4.3.8
karamel	2.5.5.3.13.6
karamel	2.5.5.3.15.4
Karamellzuckersirup	2.5.2.1.15.4
karami daikon	6.7.4.2.2.36
karamoo leaves, karamoo leaves, karamū leaves	9.2.1.1.7.7
karantika batter	3.1.2.1.18.7
karashi mentaiko	6.7.6.1.13.6
karashi mentaiko	6.7.6.1.14.1
karashi miso	6.7.2.2.13.8
karashi miso	6.7.4.1.13.9
karashi miso	6.7.5.1.13.8
karashi miso	6.7.6.3.13.6
karashi sumiso	6.7.4.2.13.9
karashi takana	6.7.6.1.14.4
Karask	2.9.6.1.1.14
Karask	2.9.6.2.1.15
Karask	2.9.7.2.1.13
Karask	2.9.7.3.1.17
karasumi	6.7.6.2.14.1
karasumi	6.7.6.2.18.19
karasumi powder	6.7.6.2.13.10
karasumi shavings	6.7.6.2.17.7
Karat banana	9.4.3.3.1.12
Karat banana	9.4.3.3.18.3
Karataş Senior, Karataş Senior, Karataş Kıddesi	4.1.5.4.18.8
Karatavian onion	8.1.1.2.7.2
Karatomari Ebisu kaki	6.7.6.1.18.22
Karatomari Ebisu kaki	6.7.6.1.6.11
Karayaka lamb	4.1.4.2.6.1
Karbalian dates	5.2.2.3.18.3
Karbalian dates	5.2.2.3.3.4
Kardamom	2.5.1.1.8.10
Kardamom	2.5.2.3.8.11
Kardenakhi	4.2.1.2.20.7
Kardi	5.5.2.3.18.1
Kardi	5.5.2.3.2.17
Kardi achar	5.5.2.3.14.2
kardin herb	4.6.3.2.18.1
kardin herb	4.6.3.2.19.6
kardin herb	4.6.3.2.2.10
Karditsa pork sausages	2.7.1.4.6.8
karedok peanut sauce	7.3.2.1.13.4
Karela	5.5.3.1.2.16
Karela	5.5.3.2.2.20
Karela	5.5.3.3.2.14
Karela	5.5.4.1.2.14
Karelian pie crust	2.9.4.2.23.2
Karelian pies	2.9.4.2.1.14
Karelian pies	2.9.4.2.18.2
karengo	9.2.1.1.18.1
karengo	9.2.1.2.18.1
karengo	9.2.1.3.18.2
karengo	9.5.6.1.17.8
karengo	9.5.6.1.18.2
karengo	9.5.6.2.17.1
karengo	9.5.6.2.23.1
karengo	9.5.6.4.17.1
karengo	9.5.6.4.18.8
karengo	9.5.6.4.23.1
karengo sheets	9.2.1.1.23.6
karengo sheets	9.2.1.2.23.6
karengya	5.2.2.4.18.11
karengya	5.2.2.4.2.6
Karfiol	2.5.3.2.2.20
karfiol	2.5.6.1.2.27
karfiol	2.5.6.2.2.24
kari spice paste	7.3.1.1.13.4
karides	4.1.1.1.6.22
karides	4.1.1.2.6.44
Karil	5.5.4.1.12.4
Karil	5.5.4.1.14.3
Karil	5.5.4.1.18.5
Karil	5.5.4.1.2.10
Karil achar	5.5.4.1.13.9
Karimeen masala	5.6.1.3.18.8
karimori	6.7.5.3.18.12
karimori	6.7.5.3.2.10
karimori kasuzuke	6.7.5.3.14.6
Karina cherries	2.3.8.3.3.7
Karish cheese	3.2.1.1.11.3
Karish cheese	3.2.1.2.11.5
Karish cheese	3.2.1.2.14.4
Karish cheese	3.2.1.3.11.5
Karish cheese	3.2.1.3.14.3
Karish cheese	3.2.1.4.11.6
Karish cheese	3.2.1.4.14.3
Karivepaku podi	5.6.5.3.13.13
Kariyakka noon	5.5.3.3.21.2
Karkadeh	3.2.1.4.20.1
Karkadeh	3.2.2.4.20.5
Karkadeh	3.2.2.5.20.1
Karkitchu apple	5.3.1.3.3.7
Karlovy Vary triangles, Karlovy Vary triangles, Karlovarské trojhránky	2.5.5.1.18.7
Karlovy Vary wafers, Karlovy Vary wafers, Karlovarské oplatky	2.5.5.1.18.6
Karmatta bhaji	5.4.5.1.7.8
Karmi saag	5.5.3.1.7.8
Karmi saag	5.5.3.3.7.11
Karmi saag	5.5.3.4.7.8
karnak	2.8.2.3.14.11
Karonda	5.3.1.2.3.19
Karonda	5.3.3.1.18.4
Karonda	5.3.5.3.3.14
Karonda	5.4.2.1.3.10
Karonda	5.4.3.2.3.12
Karonda	5.4.3.3.3.13
Karonda	5.4.4.3.3.14
Karonda	5.4.4.4.3.10
Karonda	5.4.5.3.3.10
Karoo goat	3.7.1.7.6.3
Karoo lamb	3.7.1.7.6.1
Karos shak	5.5.1.2.2.25
Karos shak	5.5.1.2.7.13
Karotten	2.5.1.2.2.19
Karotten	2.5.2.3.2.19
Karotten	2.5.2.3.9.7
Karotten	2.5.2.4.9.12
Karotten	2.5.3.1.2.18
Karotten	2.5.3.1.9.4
Karotten	2.5.3.2.2.30
Karotten	2.5.3.2.9.8
Karotten	2.5.3.3.2.9
Karotten	2.5.3.3.9.5
Karotten	2.5.3.4.2.16
Karotten	2.5.3.4.9.5
Karotten	2.5.4.1.2.4
Karotten	2.5.4.1.9.3
Karotten	2.5.4.4.2.5
Karotten	2.5.4.4.9.5
karp w zalewie octowej	2.8.1.3.14.6
Karpenissi sausages	2.7.1.4.6.10
Karpfen	2.5.1.2.6.22
Karpfen	2.5.1.3.6.8
Karpfen	2.5.2.4.6.24
Karpfenfilet	2.5.2.3.6.10
Karsenbranntwein	2.5.1.2.20.12
karshm	4.2.2.3.18.1
karshm	4.2.2.3.2.21
Karst dry-cured ham	2.6.1.2.14.2
Karst prosciutto	2.6.1.2.6.4
Karthakolomban mango	5.8.1.4.18.7
Karthakolomban mango	5.8.1.4.3.4
Kartli white wine	4.2.1.1.20.6
Kartoffeln	2.5.1.1.1.1
Kartoffeln	2.5.1.2.1.1
Kartoffeln	2.5.1.3.1.1
Kartoffeln	2.5.1.4.1.1
Kartoffeln	2.5.2.1.1.1
Kartoffeln	2.5.2.2.1.1
Kartoffeln	2.5.2.3.1.1
Kartoffeln	2.5.2.4.1.1
Kartoffeln	2.5.4.1.1.1
Kartoffeln	2.5.4.4.1.1
Kartoffelzwiebeln	2.5.4.4.2.18
Karuka	9.3.1.1.18.2
Karuka nut	9.3.1.1.5.1
Karupatti	5.6.2.4.18.12
Karupatti	5.6.2.5.15.3
Karupatti	5.6.2.5.18.11
Karuvadu	5.6.2.2.18.6
Karuvadu	5.6.2.5.18.8
Karuveppilai podi	5.6.2.2.18.10
Kasama chestnuts	6.7.3.2.18.13
Kasama chestnuts	6.7.3.2.3.20
Kasav	1.4.5.2.1.9
Kasav	1.4.5.3.1.8
